Namespace,Key,SourceString,LocalizedString
ARTICY,DFr_A8449BE5_0x01000121000065B2.Text,"Sing, muses, of fate and the mortal, watched by the gods, on Proti Island where the story begins.","Пойте, музы, о судьбе и смертном, за которым наблюдают боги, на острове Проти, где и начинается эта история."
ARTICY,DFr_F7ECA2D5_0x0100012100007190.Text,Tell of the mortal's victories...,Расскажите о победах смертных...
ARTICY,DFr_F371FB31_0x01000121000071AD.Text,Tell how brave Aristonoe prepared him for the hunt.,"Расскажите, как храбрая Аристоноя готовила его к охоте."
ARTICY,DFr_F18B6536_0x01000121000071A5.Text,Tell how brave Aristonoe prepared her for the hunt.,"Расскажите, как храбрая Аристоноя готовила ее к охоте."
ARTICY,DFr_D1DCE556_0x0100012100006C2F.Text,Tell how brave Aristonoe prepared them for the hunt.,"Расскажите, как храбрая Аристоноя готовила их к охоте."
ARTICY,DFr_A9D5789A_0x0100012100004744.Text,Talon marks. A gryphon.,Следы когтей. Грифон.
ARTICY,DFr_B140F819_0x010001210000659F.Text,It's getting more aggressive.,Он становится все более агрессивным.
ARTICY,DFr_6EA837F7_0x0100012100006597.Text,The gryphon grows more dangerous every day. Its mad cult of worshippers keeps growing.,Грифон становится все опаснее с каждым днем. Его безумный культ верующих продолжает расти.
ARTICY,DFr_4C73F273_0x0100012100007204.Text,It's time we hunted it down. Are you ready?,Пришло время выследить его. Ты готов?
ARTICY,Dlg_9F90D3B5_0x010001210000477D.Text,I'm ready.,Готов
ARTICY,DFr_7E7DFEE9_0x0100012100004785.Text,"Good. But first, there's something I must show you. I'll explain on the way.",Хорошо. Но сначала я должна тебе кое-что показать. Я объясню по дороге.
ARTICY,DFr_0806B471_0x0100012100004754.Text,"The time has come for you to prove yourself. Today, we hunt the gryphon.",Пришло время проявить себя. Сегодня мы охотимся на грифона.
ARTICY,DFr_18C0ABFE_0x010001210000658F.Text,"But before that, remember the shrine at the end of the beach? Let's go.",Но сначала... помнишь святилище в конце пляжа? Идем.
ARTICY,DFr_A4246DCA_0x01000121000047AD.Text,The gryphon's prowling. Watch out.,Грифон рыщет. Осторожно.
ARTICY,DFr_7012F15E_0x0100012100004796.Text,You've been training with me a long time. I have just one more thing to teach you.,"Ты уже давно тренируешься со мной. Осталась еще одна вещь, которой я могу тебя научить."
ARTICY,DFr_9882A038_0x01000121000047B7.Text,Not bad. You've been practicing.,Неплохо. Тренировки окупают свое.
ARTICY,DFr_E18BF1E1_0x0100012100004808.Text,"You've never fought the likes of a gryphon before. But if you are victorious, people will sing your legend.","Тебе еще не доводилось сражаться с такими грифонами. Но если вернешься с победой, люди будут воспевать твою легенду."
