"Namespace","Key","SourceString","LocalizedString"
"CSLocTools","NonCSVFile","CreateAndRegisterCSVStringTable was passed a non-CSV file: {0}.","CreateAndRegisterCSVStringTable was passed a non-CSV file: {0}."
"FlowGraphSettings","FlowAssetCategory","Flow","Flow"
"GrimEditorExtensions","Property_AttachmentPlaceholder","Attachment Target Name...","Attachment Target Name..."
"OUUTextLibrary","List.CombineFinalItemsInList","{0} and {1}","{0} и {1}"
"OUUTextLibrary","List.CombineGenericItemsInList","{0}, {1}","{0}, {1}"
"UICommands.FGrimChangelogModule","m_pOpenPluginWindow","Changelog","Changelog"
"UICommands.FGrimChangelogModule","m_pOpenPluginWindow_ToolTip","Bring up Changelog window","Bring up Changelog window"
"st_grim_ability","DamageOverTimeRangeFormat","{0} - {1}","{0} ~ {1}"
"st_grim_ability","DamageOverTimeFormat","{0} over {1}s","{0} за {1} сек."
"st_grim_ability","DamageOverTimeMainFormat","{0} Damage over {1}s","{0} урона за {1} сек."
"st_grim_ability","DamageTypesListSeparator",", ",", "
"st_grim_ability","CastTimeTitle_Neutral","Use Time","Время применения"
"st_grim_ability","CastTimeTitle_Attack","Attack Time","Время атаки"
"st_grim_ability","CastTimeTitle_Cast","Cast Time","Время сотворения"
"st_grim_ability","CastRangeDistance","{0} {0}|plural(one=Meter,other=Meters)","{0} {0}|plural(one=метр,other=метров)"
"st_grim_ability","CostPerSecondFormat","{0}/s","{0}/сек."
"st_grim_ability","CostFormat","{0} {1} ({2})","{1} {0} {2}"
"st_grim_ability","TooltipAbilityDamageFormat","{0} {1}","{0} {1}"
"st_grim_ability","TooltipAbilityDamageRangeFormat","{0}-{1} {2}","{0}~{1} {2}"
"st_grim_ability","TooltipListDelimiter",", ",", "
"st_grim_ability","TooltipListConjunction"," and "," и "
"st_grim_ability","TooltipWeaponDamage","{0} Weapon Damage","{0} урона оружием"
"st_grim_ability","TooltipWeaponDamageOverTime","{0} Weapon Damage over {1}s","{0} урона оружием за {1} сек."
"st_grim_core","NetworkErrorModal_Title","Network Error","Ошибка сети"
"st_grim_core","UnknownNetworkError","Unknown Network Error","Неизвестная ошибка сети"
"st_grim_core","CreateSessionFailed","Failed to create session. Please check your network settings.","Не удалось создать игровую сессию. Проверьте подключение к Интернету."
"st_grim_core","JoinSessionFailed","Failed to join session. Please check your network settings.","Не удалось присоединиться к игровой сессии. Проверьте подключение к Интернету."
"st_grim_core","Error_ServiceConnectionLost","Service Connection Lost","Подключение потеряно"
"st_grim_core","Error_ConnectionDropped","Connection Dropped","Подключение потеряно"
"st_grim_core","Error_NoNetworkConnection","No Network Connection","Нет соединения с Интернетом"
"st_grim_core","Error_InvalidSession","Invalid Session","Неправильная игровая сессия"
"st_grim_game_settings","GameplaySettingsCollection_Name","Gameplay","Геймплей"
"st_grim_game_settings","VideoSettingsCollection_Name","Video","Видео"
"st_grim_game_settings","AudioSettingsCollection_Name","Audio","Аудио"
"st_grim_game_settings","ControlsSettingsCollection_Name","Controls","Управление"
"st_grim_input","GamepadCollection_Name","Gamepad","Геймпад"
"st_grim_input","GamepadIcons_Name","Gamepad Icons","Иконки геймпада"
"st_grim_input","GamepadIcons_Description","Decides which gamepad icons to display. Automatic detects these based on connected gamepad. All other choices lock you into a specific icon set.","Определяет вид отображаемых иконок геймпада. Автоматическая настройка определяет их в зависимости от типа подключенного геймпада. Все остальные варианты устанавливают определенные виды иконок."
"st_grim_input","GamepadIcons_Automatic","Automatic","Автоматически"
"st_grim_input","StickDeadzone_Name","Stick Deadzone","Мертвая зона стиков"
"st_grim_input","StickDeadzone_Description","Increase or decrease the area surrounding the sticks that we ignore input from. Setting this value too low may result in the character continuing to move even after removing your finger from the stick.","Регулирует область вокруг стиков, которая не будет считаться нажимаемой. Слишком низкое значение может привести к тому, что персонаж продолжит двигаться даже после того, как вы уберете палец со стика."
"st_grim_input","MiddleMouseButtonShort","MMB","СКМ"
"st_grim_input","ThumbMouseButtonShort","TMB1","БКМ1"
"st_grim_input","ThumbMouseButton2Short","TMB2","БКМ2"
"st_grim_input","LeftAltShort","Alt","Alt"
"st_grim_input","RightAltShort","R Alt","R Alt"
"st_grim_input","LeftCtrlShort","Ctrl","Ctrl"
"st_grim_input","RightCtrlShort","R Ctrl","R Ctrl"
"st_grim_input","InputIndicatorSeparator"," + "," + "
"st_grim_save","MustRecoverBackups","A previous save operation has failed and backups must be recovered before attempting to save again.","Предыдущая операция сохранения завершилась неудачей, и перед повторной попыткой сохранения необходимо восстановить резервные копии."
