"Key","SourceString","DevComment"
"hair_color_tips","Кончики волос",""
"hair_color_main","Цвет волос",""
"head_type","Голова",""
"beard_style","Борода",""
"hair_style","Прическа",""
"appearance_code","Код внешности",""
"modal_selection","Выбор",""
"head_face","Пресеты лица",""
"head_detail","Детали",""
"head_hairstyle","Прическа",""
"head_hair","Детали прически",""
"head_beard","Детали бороды",""
"accessories_makeup","Макияж",""
"accessories_tattoo","Тату",""
"accessories_paint","Краска для тела",""
"accessories_extra","Дополнительно",""
"body_basic","Основное",""
"body_hair","Волосы",""
"body_details","Кожа",""
"face_eyebrows","Лицо",""
"face_eye_r","Правый глаз"," """""
"face_eye_l","Левый глаз"," """""
"face_details","Анатомия",""
