"Key","SourceString","DevComment"
"ba_bodyguard","Телохранитель",""
"ba_cutthroat","Прорезатель глоток",""
"ba_highwayman","Разбойник",""
"ba_leader","Атаман",""
"ba_leader_onetas","Онетас",""
"ba_marauder","Налетчик",""
"ba_ragged","Негодяй",""
"ba_ranger","Следопыт",""
"ba_scoundrel","Подлец",""
"ba_trainee_ice","Неофит",""
"ba_trainee_lightning","Неофит",""
"ba_trapper","Ловец",""
"ic_alchemist","Алхимик",""
"ic_alchemist_leader","Изводчик",""
"ic_brute","Дикарь",""
"ic_brute_leader","Исполин",""
"ic_crab","Краб",""
"ic_guard","Страж",""
"ic_hunter","Ловец",""
"ic_hydromancer","Гидрософист",""
"ic_hydromancer_leader","Призыватель волн",""
"ic_kingcrab","Королевский краб",""
"ic_kingcrab_leader","Императорский краб",""
"ic_militia","Воитель",""
"ic_ranger","Охотник",""
"ic_shaman","Знахарь",""
"ic_shaman_leader","Зачарователь",""
"ic_trooper","Воин",""
"un_skeleton_archer","Лучник",""
"un_skeleton_evoker_fire","Чародей",""
"un_skeleton_evoker_ice","Чародей",""
"un_skeleton_evoker_lightning","Чародей",""
"un_skeleton_fighter","Боец",""
"un_skeleton_guard","Страж",""
"un_skeleton_revenant_burning","Пылающий мститель",""
"un_skeleton_revenant_frost","Морозный мститель",""
"un_skeleton_revenant_storm","Грозовой мститель",""
"un_skeleton_warlock","Чернокнижник",""
"un_skeleton_warrior","Воитель",""
"wl_boar","Кабан",""
"wl_bomber_spider","Паук-едкобрюх",""
"wl_cobra","Кобра",""
"wl_entangling_spider","Паук-опутыватель",""
"wl_giant_bat","Гигантская летучая мышь",""
"wl_giant_eagle","Гигантский орел",""
"wl_horse","Лошадь",""
"wl_monstrous_boar","Чудовищный кабан",""
"wl_poison_spider","Паук-отравитель",""
"wl_snapping_turtle","Щелкун",""
"wl_spitting_turtle","Брызгун",""
"wl_swarming_spider","Паук-роитель",""
"wl_venomous_cobra","Кобра-ядоплюй",""
"wl_wolf","Волк",""
"wl_minyade","Миньяда",""
"ne_accusing_shadow","Обвиняющая тень",""
"ne_stalking_shadow","Преследующая тень",""
"boss_pan","Бог дикой природы","follows prefix: boss_pan_prefix"
"miniboss_hippocampus","Пожиратель заблудших","follows prefix: miniboss_hippocampus_prefix"
"miniboss_griffin","Бич острова Проти","follows prefix: miniboss_griffin_prefix"
"miniboss_aristomenes","Царь Мессении","follows prefix: miniboss_aristomenes_prefix"
"miniboss_aristomenes_charioteer","Возчик Аристомена","follows prefix: miniboss_aristomenes_charioteer_prefix"
"miniboss_aristomenes_champion","Чемпионка Аристомена","follows prefix: miniboss_aristomenes_champion_prefix"
"miniboss_aristomenes_tactician","Тактик Аристомена","follows prefix: miniboss_aristomenes_tactician_prefix"
"boss_pan_prefix","Пан","followed by: boss_pan"
"miniboss_aristomenes_prefix","Аристомен","followed by: miniboss_aristomenes"
"miniboss_aristomenes_champion_prefix","Отония","followed by: miniboss_aristomenes_champion"
"miniboss_aristomenes_charioteer_prefix","Гиллус","followed by: miniboss_aristomenes_charioteer"
"miniboss_aristomenes_tactician_prefix","Тидей","followed by: miniboss_aristomenes_tactician"
"miniboss_griffin_prefix","Апполония Грозная","followed by: miniboss_griffin"
"miniboss_hippocampus_prefix","Гиппокампус","followed by: miniboss_hippocampus"
"unique_01_ff_mr","Костежор","Ichthian Leader at Lookout's Vantage - Spawn: ""01_ff_s_mr_spawn_encounter_elite"""
"unique_01_ff_hh_1","Пламежелчь","Ichthian Commader at ""Roadside Encampment"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_1"""
"unique_01_ff_hh_2","Грязекожа","Ichthian Commader at ""Foggy Hideout"" - Spawn: ""01_ff_s_hh_spawn_ichthian_2_hunt"""
"unique_01_ff_hh_3","Багрянцеклык","Ichthian Commader at ""Butcher's Fort"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_3"""
"unique_01_ff_hh_4","Хребтогнет","Ichthian Commader at ""Clifftop Outpost"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_4"""
"unique_01_ff_mh","Зубокамень","Ichthian with Kaenas' sword - Spawn: ""01_ff_s_mh_kaenas_sword_thief_posse2"""
"unique_01_ff_ct","Мать-краб","The mother crab in ""Crab Threat"" - Spawn: ""01_ff_s_ct_spawn_reinforcements_king_crab"""
"ic_undead_trooper","Мертвый воин","Skeleton version of Ichthian Trooper"
"ic_undead_brute","Мертвый дикарь","Skeleton version of Ichthian Brute"
"ic_undead_militia","Мертвый воитель","Skeleton version of Ichthian Militia"
"ic_necromancer","Некромант",""
"ic_commander","Командир",""
"miniboss_ichthian_general","Король Приливов",""
"ne_empusa_punisher","Каратель",""
