"Key","SourceString","DevComment"
"bandit_gryphon_cult","Культ Грифона","Bandits in Chapter 0, Intro"
"bandit_bronze_lions","Бронзовые львы","Bandits in Chapter 1, Flooded Farmlands"
"ichthian_ichthians","Ихтиан","Ichthians in Chapter 1, Flooded Farmlands [creature default]"
"undead_skeletons","Скелет","Basic Skeletons in Chapter 1, Flooded Farmlands [creature default]"
"turtle_giant","Гигантская черепаха",""
"bandit_bandits","Бандит","Bandits undefined [creature default]"
"nemesis_empusa","Эмпуса","Nemesis goons in early chapters [creature default]"
"nemesis_tartaros","Tartaros Guards","Nemesis goons in the late game"
"undead_gilded","Позолоченные мертвецы","Golden varaint of skeletons, slightly stronger"
"centaur_centaurs","Кентавр","Centaurs undefined"
"undead_zombie","Ходячий труп","Zombie variant of skeletons, slow but tough"
"bandit_ghosts","Утонувший моряк","Ghost Bandits in Chapter 2, Northern Beaches"
"bandit_kraken","Кракеноподобный","Bandits in Chapter 2, Northern Beaches"
"ichthian_pale","Бледный ихтиан","Ichthians in Moirai Temple and Tartarus"
"Ichthian_coastal","Прибрежный ихтиан","Ichthians in Chapter 2, Northern Beaches"
"titan_titanic","Титанический",""
"boarmen_boarman","Кабанолюд","Boarmen undefined [creature default]"
"living_statues","Живая статуя","Statues undefined [creature default]"
"bandit_looters","Грабители","Bandits in Chapter 3, Arcadian Plains (rare, only name override)"
"undead_spartans_AP","Мертвый спартанец","Event skeletons in Chapter 3, Arcadian Plains (rare, only name override)"
"bandit_lostsouls","Потерянные души","Ghost Bandits in Chapter 3, Arcadian Plains (Ixion)"
"centaur_brandbearer","Brandbearer Centaur","Centaurs in Chapter 3, Arcadian Plains [creature default]"
"centaur_sophoi","Sophoi","Peaceful centaurs in Chapter 3, Arcadian Plains"
