"Key","SourceString","DevComment"
"map_toggle_questlog","Журнал заданий",""
"map_toggle_portals","Портал",""
"map_zoom","Приближение",""
"map_scroll","Отправиться",""
"generic_select","Выбрать",""
"generic_back","Назад",""
"inventory_special_drop","Выбросить",""
"inventory_special_sell","Продать",""
"inventory_special_store","Сложить",""
"inventory_equip","Надеть",""
"inventory_unequip","Снять",""
"inventory_buy","Купить",""
"inventory_special_withdraw","Взять",""
"tooltip_pick_up","Подобрать",""
"masteries_spell_pick_up","Подобрать",""
"masteries_modifier_level_up","Поднять уровень",""
"masteries_modifier_level_down","Понизить уровень",""
"generic_scroll","Листать",""
"generic_move","Отправиться",""
"masteries_spell_drop","Выбросить",""
"masteries_modifier_slot","Активировать",""
"masteries_modifier_unslot","Убрать",""
"character_selection_delete_character","Удалить",""
"character_selection_rotate","Повернуть персонажа",""
"credits_scroll_faster","Ускорить",""
"generic_close","Закрыть",""
"map_focus_player","Местоположение игрока",""
