"Key","SourceString","DevComment"
"dialogue_option_1","Выбор 1",""
"dialogue_option_2","Выбор 2",""
"dialogue_option_3","Выбор 3",""
"loot_tooltip_visibility","Видимость окна предметов",""
"attributes","Атрибуты",""
"inventory","Инвентарь",""
"map","Карта",""
"masteries","Мастерство",""
"game_menu","Меню",""
"continue_dialogue","Продолжить диалог",""
"dialogue_option_4","Выбор 4",""
"loot_plate_visibility","Видимость предметов",""
"loot_plate_interactability","Взаимодействие с предметами",""
"tooltip_advanced","Подробнее","For now only the nested tooltips are implemented. Will be changed back to 'Show Advanced Tooltip' once the full functionality is present"
"hide_ui","Скрыть интерфейс",""
