"Key","SourceString","DevComment"
"cha_hollowfang_name_01","Впалый клык",""
"cha_hollowfang_name_02","Благословенный впалый клык",""
"cha_hollowfang_name_03","Божественный впалый клык",""
"cha_hollowessence_name_01","Полая сущность",""
"cha_hollowessence_name_02","Благословенная полая сущность",""
"cha_hollowessence_name_03","Божественная полая сущность",""
"cha_glacialshard_name_01","Ледяной осколок",""
"cha_glacialshard_name_02","Благословенный ледяной осколок",""
"cha_glacialshard_name_03","Божественный ледяной осколок",""
"cha_felineclaw_name_01","Кошачий коготь",""
"cha_felineclaw_name_02","Благословенный кошачий коготь",""
"cha_felineclaw_name_03","Божественный кошачий коготь",""
"cha_equilibriumessence_name_01","Темная эссенция",""
"cha_equilibriumessence_name_02","Благословенная темная эссенция",""
"cha_equilibriumessence_name_03","Божественная темная эссенция",""
"cha_cyclopseye_name_01","Глаз циклопа",""
"cha_cyclopseye_name_02","Благословенный глаз циклопа",""
"cha_cyclopseye_name_03","Божественный глаз циклопа",""
"cha_centaurhoof_name_01","Копыто кентавра",""
"cha_centaurhoof_name_02","Благословенное копыто кентавра",""
"cha_centaurhoof_name_03","Божественное копыто кентавра",""
"cha_boarhide_name_01","Шкура вепря",""
"cha_boarhide_name_02","Благословенная шкура вепря",""
"cha_boarhide_name_03","Божественная шкура вепря",""
"cha_boarblood_name_01","Кровь кабанолюда",""
"cha_boarblood_name_02","Благословенная кровь кабанолюда",""
"cha_boarblood_name_03","Божественная кровь кабанолюда",""
"cha_leechbile_name_01","Желчь пиявки",""
"cha_leechbile_name_02","Благословенная желчь пиявки",""
"cha_leechbile_name_03","Божественная желчь пиявки",""
"cha_ichthianfin_name_01","Плавник ихтиана",""
"cha_ichthianfin_name_02","Благословенный плавник ихтиана",""
"cha_ichthianfin_name_03","Божественный плавник ихтиана",""
"cha_lupineclaw_name_01","Волчий коготь",""
"cha_lupineclaw_name_02","Благословенный волчий коготь",""
"cha_lupineclaw_name_03","Божественный волчий коготь",""
"cha_marbleheart_name_01","Мраморное сердце",""
"cha_marbleheart_name_02","Благословенное мраморное сердце",""
"cha_marbleheart_name_03","Божественное мраморное сердце",""
"cha_mechanicalparts_name_01","Запчасти",""
"cha_mechanicalparts_name_02","Благословенные запчасти",""
"cha_mechanicalparts_name_03","Божественные запчасти",""
"cha_membranewings_name_01","Перепончатые крылья",""
"cha_membranewings_name_02","Благословенные перепончатые крылья",""
"cha_membranewings_name_03","Божественные перепончатые крылья",""
"cha_necroticbones_name_01","Мертвые кости",""
"cha_necroticbones_name_02","Благословенные мертвые кости",""
"cha_necroticbones_name_03","Возвышенные мертвые кости",""
"cha_primalmagma_name_01","Первородная магма",""
"cha_primalmagma_name_02","Благословенная первородная магма",""
"cha_primalmagma_name_03","Божественная первородная магма",""
