"Key","SourceString","DevComment"
"axe2h_normal_winged_t4_nameMain","Топор минотавра",""
"axe2h_normal_winged_t4_nameAdjective","",""
"axe2h_normal_winged_t3_nameMain","Парный клевец",""
"axe2h_normal_winged_t3_nameAdjective","",""
"axe2h_normal_winged_t2_nameMain","Лабрис",""
"axe2h_normal_winged_t2_nameAdjective","",""
"axe2h_normal_winged_t1_nameMain","Секира",""
"axe2h_normal_winged_t1_nameAdjective","","Split names into Adjective+Main if 'Fire' etc sounds ok in between rather than in front."
"axe2h_normal_bearded_t4_nameMain","Убийца быков",""
"axe2h_normal_bearded_t4_nameAdjective","",""
"axe2h_normal_bearded_t3_nameMain","Боевой топор",""
"axe2h_normal_bearded_t3_nameAdjective","",""
"axe2h_normal_bearded_t2_nameMain","Сагарис",""
"axe2h_normal_bearded_t2_nameAdjective","",""
"axe2h_normal_bearded_t1_nameMain","Длинный топор",""
"axe2h_normal_bearded_t1_nameAdjective","",""
"axe2h_normal_all_flavortext","Когда-то топор был только церемониальным, но в последние годы он стал довольно популярным оружием.",""
"axe2h_light_glaive_t4_nameMain","Боевая коса",""
"axe2h_light_glaive_t4_nameAdjective","",""
"axe2h_light_glaive_t3_nameMain","Серп",""
"axe2h_light_glaive_t3_nameAdjective","",""
"axe2h_light_glaive_t2_nameMain","Ромфея",""
"axe2h_light_glaive_t2_nameAdjective","",""
"axe2h_light_glaive_t1_nameMain","Бердыш","Found in the base affixe in /affixes/implicits"
"axe2h_light_glaive_t1_nameAdjective","",""
"axe2h_light_all_flavortext","Закрепленный на посохе клинок, который полагается скорее на ловкость, чем на силу.","Found in the weapon file in /items"
"axe2h_magic_all_t4_nameMain","Ледяная грань",""
"axe2h_magic_all_t4_nameAdjective","",""
"axe2h_magic_all_t3_nameMain","Кристальный клевец",""
"axe2h_magic_all_t3_nameAdjective","",""
"axe2h_magic_all_t2_nameMain","Борейский топор",""
"axe2h_magic_all_t2_nameAdjective","",""
"axe2h_magic_all_t1_nameMain","Борейский топор","should not drop T1"
"axe2h_magic_all_t1_nameAdjective","",""
"axe2h_magic_all_flavortext","С ледяным сердцем — ледяной дух.",""
"axe1h_normal_all_flavortext","Топоры предлагают хороший баланс между скоростью и мощностью.","Found in the weapon file in /items"
"axe1h_normal_winged_t1_nameAdjective","","Split names into Adjective+Main if 'Fire' etc sounds ok in between rather than in front."
"axe1h_normal_winged_t1_nameMain","Пелекис","Found in the base affixe in /affixes/implicits"
"axe1h_normal_winged_t2_nameAdjective","",""
"axe1h_normal_winged_t2_nameMain","Крылатый топор",""
"axe1h_normal_winged_t3_nameAdjective","",""
"axe1h_normal_winged_t3_nameMain","Церемониальный топор",""
"axe1h_normal_winged_t4_nameAdjective","",""
"axe1h_normal_winged_t4_nameMain","Тесак",""
"axe1h_normal_nemo_t1_nameAdjective","",""
"axe1h_normal_nemo_t1_nameMain","Топорик",""
"axe1h_normal_nemo_t2_nameAdjective","",""
"axe1h_normal_nemo_t2_nameMain","Лиственный топор",""
"axe1h_normal_nemo_t3_nameAdjective","",""
"axe1h_normal_nemo_t3_nameMain","Боевой топор",""
"axe1h_normal_nemo_t4_nameAdjective","",""
"axe1h_normal_nemo_t4_nameMain","Золотой клевец",""
"axe1h_normal_bearded_t1_nameAdjective","",""
"axe1h_normal_bearded_t1_nameMain","Остистый колун",""
"axe1h_normal_bearded_t2_nameAdjective","",""
"axe1h_normal_bearded_t2_nameMain","Остистый резак",""
"axe1h_normal_bearded_t3_nameAdjective","",""
"axe1h_normal_bearded_t3_nameMain","Тесак",""
"axe1h_normal_bearded_t4_nameAdjective","",""
"axe1h_normal_bearded_t4_nameMain","Полумесяц",""
"blunt1h_normal_all_flavortext","Таким можно спокойно травмировать даже самые твердые цели.","Found in the weapon file in /items"
"blunt1h_normal_star_t1_nameAdjective","","Split names into Adjective+Main if 'Fire' etc sounds ok in between rather than in front."
