"Key","SourceString","DevComment"
"centaur_shield","Довольно легкая экипировка, но достаточно прочная, чтобы держать удар на бегу.","all"
"centaur_armor_rogue","Кожа и мех обеспечивают кентаврам базовую защиту, не препятствуя при этом их превосходной подвижности.","all"
"centaur_armor_bmage","Кентавры-ворожеи пользуются уважением в своем племени как умелые воины и могущественные шаманы.","all"
"centaur_armor_knight","Железная броня сильнейших кентавров-воинов, способная отражать лобовые удары на высокой скорости.","all"
"centaur_axe1h","Популярное оружие и инструмент в рядах кентавров.",""
"centaur_axe2h","Большой изогнутый клинок, идеально подходящий для того, чтобы рубить врагов на бегу.",""
"centaur_blunt1h","Грубое, но мощное оружие, которым обычно владеют кентавры.",""
"centaur_blunt2h","Кентавры пользуются своим огромным ростом, чтобы легко владеть огромным оружием.",""
"centaur_bow","Лук кентавров, применяемый для охоты на равнинах.",""
"centaur_blunt1h_MI","Тяжелое и мощное оружие, которым орудуют кентавры-чемпионы.",""
"centaur_dagger","Достаточно тяжелый поясной нож кентавров",""
"centaur_spear","Тяжелое копье, которым пользуются кентавры-охотники.",""
"centaur_spear_MI","Изящное копье, которым пользуются кентавры-охотники.",""
"centaur_sword","Жестокий клинок, часто используемый кентаврами-налетчниками.",""
"centaur_throwing","Требуется невиданная сила, чтобы метать такое оружие кентавров.",""
"centaur_staff_poison","Шаманы-кентавры используют это, чтобы высасывать силу из своих врагов.",""
"centaur_shield_MI","Усиленный щит кентавров, предназначенный для отражения стрел соперника.",""
"centaur_staff_fire","Огненный посох, применяемый заклинателями Клеймоносцев.",""
"centaur_staff_spirit_MI","Голоса предков кентавров говорят через этот жезл.",""
