"Key","SourceString","DevComment"
"armor_sorcerer","Защита волшебной брони:\r\n+{Value} энергобарьера",""
"armor_fighter","Подвижность средней брони:\r\n+{Value}% скорости перезарядки уклонения",""
"armor_knight","Отражение тяжелой брони:\r\n+{value}% шанса скользящих снарядов",""
"armor_bmage","Оберег плакированной брони:\r\n+{Value} энергобарьера",""
"armor_paladin","Красота узорчатой брони:\r\n+{Value}% термального и природного сопротивлений",""
"armor_rogue","Проворность легкой брони:\r\n+{Value}% скорости перезарядки уклонения",""
"shield_all","Щит: +{Value} барьера",""
"weapon_PerSpeedAttackCastCD","+{Value}% скорости атаки, сотворения и перезарядки",""
"weapon_DebuffOnHit_MoveSpeed","{Value}% снижения скорости движения врага на 3 сек. при ударе",""
"shield_all_ghc","Щит: +{Value}% шанса скользящих атак",""
