"Key","SourceString","DevComment"
"suffix_1_AilmentChanceOnUse.TooltipText","При применении дает +30% шанса хвори на 3 сек.",""
"suffix_1_CleanseChilledBurning.TooltipText","Очищает охлаждение и горение при применении",""
"suffix_1_CleansePlaguedShocked.TooltipText","Очищает чуму и шок при применении",""
"suffix_1_CleanseStaggerBleed.TooltipText","Очищает оглушение и кровотечение при применении.",""
"suffix_1_MaximumEnergyOnUse.TooltipText","При применении дает +50 запаса энергии на 5 сек.",""
"suffix_1_MovespeedOnPotion.TooltipText","При применении дает +25% скорости движения на 1 сек.",""
"suffix_0_LessMagicalShieldingCost.TooltipText","-{Value}% расхода энергии на энергобарьер",""
"suffix_0_PerAilmentRes.TooltipText","+{Value}% сопротивления хворям",""
"suffix_0_PerAllPetResistances.TooltipText","+{Value}% всех сопротивлений питомцев",""
"suffix_0_PerCritAilmentMod.TooltipText","+{Value}% шанса хвори при критическом ударе",""
"suffix_0_PerDmgReflectedToAttacker.TooltipText","+{Value}% получаемого урона отражается обратно",""
"suffix_0_PerEnergyCostReduction.TooltipText","-{Value}% расхода энергии",""
"suffix_0_PerIncreasedAbilityHealing.TooltipText","+{Value}% получаемого лечения от умений",""
"suffix_0_PerIncreasedAilmentEffectChance.TooltipText","+{Value}% шанса повторного эффекта хвори",""
"suffix_0_PerIncreasedDmgAgainstBeastmen.TooltipText","+{Value}% урона против зверолюдей",""
"suffix_0_PerIncreasedDmgAgainstBeasts.TooltipText","+{Value}% урона против зверей",""
"suffix_0_PerIncreasedDmgAgainstHumanoids.TooltipText","+{Value}% урона против гуманоидов",""
"suffix_0_PerIncreasedDmgAgainstUndeads.TooltipText","+{Value}% урона против мертвецов",""
"suffix_0_PerIncreasedHealthGainFromLifeDrain.TooltipText","+{Value}% лечения от похищения жизни",""
"suffix_0_PerIncreasedLootValue.TooltipText","+{Value}% increased Loot value",""
"suffix_0_PerIncreasedPowerToEarthActives.TooltipText","+{Value}% силы умений Земли",""
"suffix_0_PerIncreasedPowerToRogueActives.TooltipText","+{Value}% силы умений Тени",""
"suffix_0_PerIncreasedPowerToStormActives.TooltipText","+{Value}% силы умений Воздуха",""
"suffix_0_PerIncreasedPowerToWarfareActives.TooltipText","+{Value}% силы умений Ратного дела",""
"suffix_0_PerLessDmgFromBeastmen.TooltipText","{Value}% снижения урона от зверолюдей",""
"suffix_0_PerLessDmgFromBeasts.TooltipText","{Value}% снижения урона от зверей",""
"suffix_0_PerLessDmgFromHumanoids.TooltipText","{Value}% снижения урона от гуманоидов",""
"suffix_0_PerLessDmgFromUndeads.TooltipText","{Value}% снижения урона от мертвецов",""
"suffix_0_PerMorePetHealthAndArmor.TooltipText","+{Value}% здоровья и брони питомцев",""
"suffix_0_PerOfShieldedDmgGainedAsEnergy.TooltipText","{Value}% заблокированного урона превращается в энергию",""
"suffix_0_PerOfShieldedDmgGainedAsHealth.TooltipText","{Value}% заблокированного урона превращается в здоровье",""
"suffix_0_PerPetLifesteal.TooltipText","{Value} похищения жизни питомцев",""
"suffix_0_PerTargetMaxHealthRedOnHit.TooltipText","{Value}% снижения здоровья цели при ударе",""
"suffix_1_Agility.TooltipText","+{Value} ловкости",""
"suffix_1_Energy.TooltipText","+{Value} энергии",""
"suffix_1_EnergyBarrier.TooltipText","+{Value} энергобарьера",""
"suffix_1_EnergyRegenPerSecond.TooltipText","+{Value} регенерации энергии в секунду",""
"suffix_1_FreeBarrier.TooltipText","+{Value} барьера",""
"suffix_1_Health.TooltipText","+{Value} здоровья",""
"suffix_1_HealthRegenPerSecond.TooltipText","+{Value} регенерации здоровья в секунду",""
"suffix_1_IncrAttackCastSpeed.TooltipText","+{Value}% скорости атаки и сотворения",""
"suffix_1_IncrCritChance.TooltipText","+{Value}% шанса критического удара",""
"suffix_1_IncrCritDmgMultiplier.TooltipText","+{Value}% множителя критического урона",""
"suffix_1_Knowledge.TooltipText","+{Value} интеллекта",""
"suffix_1_LessEnergyReserved.TooltipText","-{value} занимаемой энергии",""
"suffix_1_Might.TooltipText","+{Value} силы",""
"suffix_1_PerGlancingHitsChance.TooltipText","+{Value}% шанса скользящих атак",""
"suffix_1_PerIncreasedAilmentChance.TooltipText","+{Value}% шанса хвори",""
"suffix_1_PerIncreasedAilmentDuration.TooltipText","+{Value}% длительности хвори",""
"suffix_1_PerIncreasedAilmentPower.TooltipText","+{Value}% силы хвори",""
"suffix_1_PerIncreasedAreaDmg.TooltipText","+{Value}% урона областными умениями",""
"suffix_1_PerIncreasedAttackSpeed.TooltipText","+{Value}% скорости атаки",""
