"Key","SourceString"
"prefix_0_x3_PerWeaponAilmentChance.TooltipText","Уникальное: {Value}|fmt(sign=true)% базового шанса хвори от оружия"
"prefix_1_MoreDmgWildlife_Quadrupeds.TooltipText","Уникальное: +30% урона против вепрей, волков и львов"
"suffix_1_MoreDmgT4+.TooltipText","Уникальное: +{Value}% урона против героев и предводителей"
"suffix_1_Unique_AbilityTagEarth_Cooldown.TooltipText","Уникальное: +20% скорости перезарядки умений Земли"
"suffix_1_Unique_AbilityTagLightning_LowerCosts.TooltipText","Уникальное: -30% затрат на умений молнии"
"suffix_1_Unique_AbilityTagStorm_LowerCosts.TooltipText","Уникальное: -15% затрат на умения Воздуха"
"suffix_1_Unique_AddedLifesteal_Physical.TooltipText","Уникальное: +2% добавляемого базового похищения жизни от физического урона"
"suffix_1_Unique_Ailment_MaxStack_Bleeding.TooltipText","Уникальное: +2 предела кровотечения"
"suffix_1_Unique_Ailment_MaxStack_Burning.TooltipText","Уникальное: +3 предела горения"
"suffix_1_Unique_Ailment_MaxStack_Chilled.TooltipText","Уникальное: +3 предела охлаждения"
"suffix_1_Unique_Ailment_MaxStack_Poison.TooltipText","Уникальное: +3 предела чумы"
"suffix_1_Unique_Ailment_MaxStack_Shocked.TooltipText","Уникальное: +3 предела шока"
"suffix_1_Unique_ChannelAbilities_MSpeedOnEnd.TooltipText","Уникальное: при поддерживании умения хотя бы 1 сек. дает +20% скорости движения на 2 сек."
"suffix_1_Unique_IncreasedLifesteal.TooltipText","Уникальное: +30% похищения жизни"
"suffix_1_Unique_OnBarrierCast_Explosion_pierce.TooltipText","Уникальное: активация барьера наносит колющий урон врагам вокруг"
"suffix_1_Unique_OnCrit_AddEnergy.TooltipText","Уникальное: при нанесении критических ударов восстанавливает 30 энергии, но не чаще раза в 3 сек."
"suffix_1_Unique_OnHit_CooldownProgress_Dodge.TooltipText","Уникальное: основная атака при ударе откатывает 10% текущей перезарядки уклонения"
"suffix_1_Unique_OnHit_Explosion_Fire_Chance.TooltipText","Уникальное: основная атака при ударе с {value}% шансом вызывает взрыв, наносящий урон огнем в 3м области вокруг"
"suffix_1_Unique_OnHit_Explosion_PoisonPlague_Chance.TooltipText","Уникальное: основная атака при ударе с 15% шансом вызывает взрыв, наносящий урон ядом с 30% шансом хвори в 3м области вокруг"
"suffix_1_Unique_OnHit_GainRage_chance.TooltipText","Уникальное: основная атака при ударе с 25% шансом дает 1 заряд ярости"
"suffix_1_Unique_OnHit_Lightning_ZapChance.m_Levels.TooltipText","Уникальное: каждые 3 сек. атака оружием или умениями молнии вызывают цепную молнию, поражающую всех врагов в 4м области вокруг"
"suffix_1_Unique_OnHit_RainOfArrows_Chance.TooltipText","Уникальное: основная атака при ударе с 5% шансом вызывает базовую версию Ливня стрел"
"suffix_1_Unique_OnHit_TempBuff_MovementSpeed.TooltipText","Уникальное: основная атака при ударе дает +15% скорости движения на 1 сек."
"suffix_1_Unique_OnOverload_GainRage.TooltipText","Уникальное: получение зарядов сокрушения с 20% шансом дает 1 заряд ярости"
"suffix_1_Unique_OnOverload_HPRegenBuff.TooltipText","Уникальное: получение зарядов перегрузки дает +20% силы регенерации здоровья на 2 сек."
"suffix_1_Unique_OnOverload_TempBuff_CastSpeed.TooltipText","Уникальное: получение зарядов перегрузки дает +15% скорости сотворения на 2 сек."
"suffix_1_Unique_OnOverload_TempBuff_CritChance.TooltipText","Уникальное: получение зарядов перегрузки дает +50% шанса критического удара на 2 сек."
"suffix_1_Unique_OnOverwhelmOverflow_Explosion_lightning.TooltipText","Уникальное: получение новых зарядов сокрушения при его предельном значении тратит их на взрыв, наносящий урон молнией в 3м области вокруг"
"suffix_1_Unique_OnOverwhelmOverflow_Explosion_strike.TooltipText","Уникальное: получение новых зарядов сокрушения при его предельном значении тратит их на взрыв, наносящий дробящий урон в 3м области вокруг"
"suffix_1_Unique_OnOverwhelmRemoval_Explosion_fire.TooltipText","Уникальное: трата сокрушения создает взрыв, наносящий урон огнем в 3м области вокруг"
"suffix_1_Unique_OnOverwhelmRemoval_Explosion_spirit.TooltipText","Уникальное: трата сокрушения создает взрыв, наносящий урон духом в 3м области вокруг"
"suffix_1_Unique_OnShock_LightningStrike.TooltipText","Уникальное: наложение зярадов шока на врага с 20% шансом вызывает грозовую кару"
"suffix_1_Unique_PerMoreDmgToVermin.TooltipText","Уникальное: +{Value}% урона против вредителей (пауков, летучих мышей и др.)"
"suffix_1_Unique_PerRageStack_DmgWeapon.TooltipText","Уникальное: +{Value}% урона оружием за каждый заряд ярости"
"suffix_1_Unique_RageMax+3.TooltipText","Уникальное: +3 предела ярости"
"suffix_1_Unique_RageMin2.TooltipText","Уникальное: +3 минимума ярости"
"suffix_1_Unique_RetaliationCold.TooltipText","Уникальное: +{Value} отражения холодом"
"suffix_1_Unique_RetaliationPierce.TooltipText","Уникальное: +{Value} колющего отражения"
"suffix_1_Unique_RetaliationPoison.TooltipText","Уникальное: +{Value} отражения ядом"
"suffix_1_Unique_RetaliationFire.TooltipText","Уникальное: +{Value} отражения огнем"
"suffix_1_Unique_RetaliationStrike.TooltipText","Уникальное: +{Value} дробящего отражения"
"suffix_1_Unique_RetaliationLight.TooltipText","Уникальное: +{Value} отражения молнией"
"suffix_1_Unique_SummonScorpy.TooltipText","Уникальное: призывает скорпиончика"
"suffix_1_Unique_TagAreaSpell_CooldownSpeed.TooltipText","Уникальное: +20% ускорения перезарядки областных чар"
"suffix_1_Unique_TagChannelSpell_Dmg.TooltipText","Уникальное: +10% урона поддерживаемыми чарами"
"suffix_1_Unique_TagColdSpell_Dmg.TooltipText","Уникальное: +10% урона чарами холода"
"suffix_1_Unique_TagFireSpell_Dmg.TooltipText","Уникальное: +10% урона чарами огня"
"suffix_1_Unique_TagLightningSpell_Dmg.TooltipText","Уникальное: +10% урона чарами молнии"
"suffix_1_Unique_TagPoisonAbility_CooldownSpeed.TooltipText","Уникальное: +10% ускорения перезарядки умений яда"
"suffix_1_Unique_TagPoisonAbility_Dmg.TooltipText","Уникальное: +10% урона чарами яда"
"suffix_1_Unique_TagProjectileSpell_CooldownSpeed.TooltipText","Уникальное: +10% ускорения перезарядки умений снарядов"
"suffix_1_Unique_TagWarfare_Dmg.TooltipText","Уникальное: +10% урона умениями Ратного дела"
"suffix_1_Unique_TagWeaponAttack_Dmg.TooltipText","Уникальное: +15% урона от оружия"
"suffix_1_Unique_TagWeaponMelee_Dmg.TooltipText","Уникальное: +10% урона ближними умениями"
"suffix_1_Unique_TagWeaponProjectile_Dmg.TooltipText","Уникальное: +10% урона снарядами от оружия"
"suffix_1_Unique_TagWeaponRanged_Dmg.TooltipText","Уникальное: +10% дальнего урона от оружия"
"suffix_1_Unique_TargetBleeding_TempSlow.TooltipText","Уникальное: кровотечение также замедляет врагов на 20%"
"suffix_1_Unique_TargetCounter_Rupture.TooltipText","Уникальное: 20% шанса вызвать разрыв при ударе по поддерживающих умение врагам"
"suffix_1_Unique_TargetCrab_Dmg30.TooltipText","Уникальное: +10% урона против крабов"
"suffix_1_Unique_TargetFrozen_Crit.TooltipText","Уникальное: +40% шанса критического удара против замороженных врагов"
"suffix_1_Unique_TargetIchthian_Dmg15.TooltipText","Уникальное: +15% урона против ихтианов"
"suffix_1_Unique_TargetIncapacitated_Crit.TooltipText","Уникальное: +20% шанса критического удара против выведенных из строя врагов"
"suffix_1_Unique_TargetNemesis_Dmg20.TooltipText","Уникальное: +20% урона против теневых созданий"
