"Key","SourceString","DevComment"
"armor_bmage_adjective_greek_t3","С защитой",""
"armor_knight_adjective_greek_t3","Со стременем",""
"armor_rogue_adjective_greek_t1","Из льна",""
"armor_knight_adjective_greek_t4","Джаггернаута",""
"armor_knight_adjective_greek_t2","С гиппарами",""
"armor_knight_adjective_greek_t1","С укреплением",""
"armor_fighter_adjective_greek_t4","С гордостью",""
"armor_fighter_adjective_greek_t1","С уплотнением",""
"armor_fighter_adjective_greek_t2","С подкладом",""
"armor_fighter_adjective_greek_t3","Со знаком",""
"armor_bmage_adjective_greek_t4","С прикрытием",""
"armor_bmage_adjective_greek_t1","С отделкой",""
"armor_sorcerer","Защита волшебной брони: \n+{Value} энергобарьера",""
"armor_fighter","Подвижность средней брони: \n+{Value}% скорости перезарядки уклонения",""
"armor_bmage_adjective_greek_t2","С плакированием",""
"armor_knight","Отражение тяжелой брони:\n+{value}% шанса скользящих снарядов",""
"armor_bmage","Оберег плакированной брони:\n+{Value} энергобарьера",""
"armor_paladin","Красота узорчатой брони:  \n+{Value}% термального и природного сопротивлений",""
"armor_rogue","Проворность легкой брони: \n+{Value}% скорости перезарядки уклонения",""
"armor_rogue_adjective_greek_t2","С псилосом",""
"armor_rogue_adjective_greek_t3","С удалью",""
"armor_rogue_adjective_greek_t4","С торакитосом",""
"armor_paladin_adjective_greek_t1","С узором",""
"armor_paladin_adjective_greek_t2","С филаком",""
"armor_paladin_adjective_greek_t3","С чарами",""
"armor_paladin_adjective_greek_t4","С охраной",""
"armor_sorcerer_adjective_greek_t4","С позолотой",""
"armor_sorcerer_adjective_greek_t3","Из шелка",""
"armor_sorcerer_adjective_greek_t2","С магией",""
"armor_sorcerer_adjective_greek_t1","Со знанием",""
"weapon_slow_movement_onhit","-{Value}% скорости движения врага на 3 сек. при ударе",""
