"Key","SourceString","DevComment"
"item_name_format","{Prefix}|empty(no=""{Prefix} ""){ProperName}{Adjective}|empty(no="" {Adjective}""){Suffix}|empty(no="" {Suffix}"")",""
"damage_type_thermal_cold","Ледо","In weapon name"
"damage_type_thermal_fire","Огне","In weapon name"
"damage_type_natural_lightning","Громо","In weapon name"
"damage_type_natural_poison","Ядо","In weapon name"
"damage_type_universal_true","Истинно","In weapon name - never used!"
"damage_type_universal_spirit","Духо","In weapon name"
"damage_type_universal_energydrain","Энерго","In weapon name"
"damage_type_universal_vitalitydrain","Жизне","In weapon name"
"damage_type_physical_pierce","","In weapon name - never used!"
"damage_type_physical_strike","","In weapon name - never used!"
