"Key","SourceString","DevComment"
"ichthian_armor_all_fighter_adjective","Раковины","specifically seashell"
"ichthian_armor_all_pala_adjective","Рифа","toughest fish armor"
"ichthian_armor_all_sorc_adjective","Рыбокости","not so protective mage gear"
"ichthian_generic_pala_adjective_MI","Острозубости",""
"ichthian_generic_sorc_adjective_MI","Острозубости",""
"ichthian_generic_fighter_adjective_mi","Острозубости",""
"ichthian_armor_head_fighter_name","Забрало",""
"ichthian_armor_head_pala_name","Шлем",""
"ichthian_armor_head_sorc_name","Головной убор",""
"ichthian_armor_shoulder_sorc_name","Плащ",""
"ichthian_armor_shoulder_fighter_name","Наплечники",""
"ichthian_armor_shoulder_pala_name","Бармы",""
"ichthian_armor_arms_sorc_name","Браслеты",""
"ichthian_armor_arms_fighter_name","Наручи",""
"ichthian_armor_arms_pala_name","Нарукавники",""
"ichthian_armor_legs_sorc_name","Ботинки",""
"ichthian_armor_legs_pala_name","Наголенники",""
"ichthian_armor_legs_fighter_name","Поножи",""
"ichthian_armor_torso_sorc_name","Облачение",""
"ichthian_armor_torso_fighter_name","Торакс",""
"ichthian_armor_torso_pala_name","Панцирь",""
"centaur_armor_all_bmage_adjective","Шамана",""
"centaur_armor_all_rogue_adjective","Кентавров",""
"centaur_armor_all_knight_adjective","Грубости",""
"centaur_generic_knight_adjective_MI","Наездника",""
"centaur_generic_bmage_adjective_MI","Говорящего с духами",""
"centaur_generic_rogue_adjective_mi","Ловчего",""
"centaur_armor_arms_bmage_name","Запястья",""
"centaur_armor_legs_bmage_name","Обмотки",""
"centaur_armor_head_bmage_name","Маска",""
"centaur_armor_torso_bmage_name","Роба",""
"centaur_armor_shoulder_bmage_name","Накидка",""
"centaur_armor_legs_knight_name","Кнемиды",""
"centaur_armor_legs_rogue_name","Накладки",""
"centaur_armor_arms_rogue_name","Нарукавники",""
"centaur_armor_arms_knight_name","Наручи",""
"centaur_armor_torso_rogue_name","Жилет",""
"centaur_armor_torso_knight_name","Кираса",""
"centaur_armor_shoulder_rogue_name","Подложки",""
"centaur_armor_shoulder_knight_name","Наплечники",""
"centaur_armor_head_rogue_name","Колпак",""
"centaur_armor_head_knight_name","Тюбетейка",""
