"Key","SourceString","DevComment"
"prefix_1_Potion_Energy.TitleText","Энергичное",""
"prefix_1_Potion_EnergyRegen.TitleText","Омолаживающее",""
"prefix_1_Potion_Health.TitleText","Стойкое",""
"prefix_1_Potion_Health.Levels(2).TitleText","Извечное",""
"prefix_1_Potion_Health.Levels(4).TitleText","Негасимое",""
"prefix_1_Potion_Health.Levels(6).TitleText","Оживляющее",""
"prefix_1_Potion_Health.Levels(8).TitleText","Постоянное",""
"prefix_1_Potion_Health.Levels(10).TitleText","Бессмертное",""
"prefix_1_Potion_HealthRegen.Levels(0).TitleText","Молодящее",""
"prefix_1_Potion_HealthRegen.Levels(2).TitleText","Освещающее",""
"prefix_1_Potion_HealthRegen.Levels(4).TitleText","Восстанавливающее",""
"prefix_1_Potion_HealthRegen.Levels(6).TitleText","Омолаживающее",""
"prefix_1_Potion_HealthRegen.Levels(8).TitleText","Регенерирующее",""
"prefix_1_Potion_HealthRegen.Levels(10).TitleText","Наполняющее",""
"prefix_1_ColdDmg.Levels(0).TitleText","Онемения",""
"prefix_1_ColdDmg.Levels(2).TitleText","Изморози",""
"prefix_1_ColdDmg.Levels(4).TitleText","Стужи",""
"prefix_1_ColdDmg.Levels(6).TitleText","Хлада",""
"prefix_1_ColdDmg.Levels(8).TitleText","Озноба",""
"prefix_1_ColdDmg.Levels(10).TitleText","Ледника",""
"prefix_1_FireDmg.Levels(0).TitleText","Тления",""
"prefix_1_FireDmg.Levels(2).TitleText","Пламени",""
"prefix_1_FireDmg.Levels(4).TitleText","Пылкости",""
"prefix_1_FireDmg.Levels(6).TitleText","Полыхания",""
"prefix_1_FireDmg.Levels(8).TitleText","Обжигания",""
"prefix_1_FireDmg.Levels(10).TitleText","Вулкана",""
"prefix_1_IncreasedTotalDmg.Levels(0).TitleText","Тирана",""
"prefix_1_IncreasedTotalDmg.Levels(1).TitleText","Тирана",""
"prefix_1_IncreasedTotalDmg.Levels(2).TitleText","Тирана",""
"prefix_1_IncreasedTotalDmg.Levels(3).TitleText","Тирана",""
"prefix_1_LightningDmg.Levels(0).TitleText","Искр",""
"prefix_1_LightningDmg.Levels(2).TitleText","Заряда",""
"prefix_1_LightningDmg.Levels(4).TitleText","Треска",""
"prefix_1_LightningDmg.Levels(6).TitleText","Трещания",""
"prefix_1_LightningDmg.Levels(8).TitleText","Грома",""
"prefix_1_LightningDmg.Levels(10).TitleText","Раскатов",""
"prefix_1_MoreDmgElites.TitleText","Героизма",""
"prefix_1_MoreDmgHumanoids.TitleText","Побоища",""
"prefix_1_MoreDmgIchthians.TitleText","Рыболюбителя",""
"prefix_1_MoreDmgUndeads.TitleText","Расхитителя",""
"prefix_1_MoreDmgWildlife.TitleText","Расхитителя",""
"prefix_1_PerAllResistance.TitleText","Отмены",""
"prefix_1_PerArmorValues.TitleText","Изгнанника",""
"prefix_1_PerBleedAndPoisonRes.TitleText","Упрямства",""
"prefix_1_PerColdRes.TitleText","Оберега",""
"prefix_1_PerFireRes.TitleText","Оберега",""
"prefix_1_PerImpairRes.TitleText","Джаггернаута",""
"prefix_1_PerIncreasedAgility.TitleText","Быстроты",""
"prefix_1_PerIncreasedAttributes.TitleText","Власти",""
"prefix_1_PerIncreasedColdDmg.Levels(0).TitleText","Свежести",""
"prefix_1_PerIncreasedColdDmg.Levels(1).TitleText","Холода",""
"prefix_1_PerIncreasedColdDmg.Levels(2).TitleText","Пронизывания",""
"prefix_1_PerIncreasedColdDmg.Levels(3).TitleText","Мороза",""
"prefix_1_PerIncreasedColdDmg.Levels(4).TitleText","Изморози",""
"prefix_1_PerIncreasedColdDmg.Levels(5).TitleText","Северных ветров",""
"prefix_1_PerIncreasedCunning.TitleText","Коварства",""
"prefix_1_PerIncreasedDoTDmg.TitleText","Эрозии",""
"prefix_1_PerIncreasedEnergy.TitleText","Энергичности",""
"prefix_1_PerIncreasedFireDmg.Levels(0).TitleText","Разжигания",""
"prefix_1_PerIncreasedFireDmg.Levels(1).TitleText","Тления",""
"prefix_1_PerIncreasedFireDmg.Levels(2).TitleText","Полыхания",""
"prefix_1_PerIncreasedFireDmg.Levels(3).TitleText","Магмы",""
"prefix_1_PerIncreasedFireDmg.Levels(4).TitleText","Преисподней",""
"prefix_1_PerIncreasedFireDmg.Levels(5).TitleText","Прометея",""
"prefix_1_PerIncreasedFitness.TitleText","Храбрости",""
"prefix_1_PerIncreasedHealth.TitleText","Крепкости",""
"prefix_1_PerIncreasedKnowledge.TitleText","Сократа",""
"prefix_1_PerIncreasedLightningDmg.Levels(0).TitleText","Искристости",""
"prefix_1_PerIncreasedLightningDmg.Levels(1).TitleText","Вспыхивания",""
"prefix_1_PerIncreasedLightningDmg.Levels(2).TitleText","Трещания",""
"prefix_1_PerIncreasedLightningDmg.Levels(3).TitleText","Буйности",""
"prefix_1_PerIncreasedLightningDmg.Levels(4).TitleText","Ярости небес",""
"prefix_1_PerIncreasedLightningDmg.Levels(5).TitleText","Зевса",""
"prefix_1_PerIncreasedMight.TitleText","Силы",""
"prefix_1_PerIncreasedPierceDmg.Levels(0).TitleText","Резкости",""
"prefix_1_PerIncreasedPierceDmg.Levels(1).TitleText","Остроты",""
"prefix_1_PerIncreasedPierceDmg.Levels(2).TitleText","Шипов",""
"prefix_1_PerIncreasedPierceDmg.Levels(3).TitleText","Пронзания",""
"prefix_1_PerIncreasedPierceDmg.Levels(4).TitleText","Копейщика",""
"prefix_1_PerIncreasedPierceDmg.Levels(5).TitleText","Прокалывания",""
"prefix_1_PerIncreasedPoisonDmg.Levels(0).TitleText","Подлости",""
"prefix_1_PerIncreasedPoisonDmg.Levels(1).TitleText","Гнусности",""
"prefix_1_PerIncreasedPoisonDmg.Levels(2).TitleText","Едкости",""
"prefix_1_PerIncreasedPoisonDmg.Levels(3).TitleText","Заразы",""
"prefix_1_PerIncreasedPoisonDmg.Levels(4).TitleText","Разложения",""
"prefix_1_PerIncreasedPoisonDmg.Levels(5).TitleText","Гидры",""
"prefix_1_PerIncreasedResolve.TitleText","Решимости",""
"prefix_1_PerIncreasedSpellDmg.TitleText","Колдовства",""
"prefix_1_PerIncreasedSpiritDmg.Levels(0).TitleText","Бледности",""
"prefix_1_PerIncreasedSpiritDmg.Levels(1).TitleText","Одержимости",""
"prefix_1_PerIncreasedSpiritDmg.Levels(2).TitleText","Призрачности",""
"prefix_1_PerIncreasedSpiritDmg.Levels(3).TitleText","Эфирности",""
"prefix_1_PerIncreasedSpiritDmg.Levels(4).TitleText","Духовности",""
"prefix_1_PerIncreasedSpiritDmg.Levels(5).TitleText","Гекаты",""
"prefix_1_PerIncreasedStrikeDmg.Levels(0).TitleText","Плотности",""
"prefix_1_PerIncreasedStrikeDmg.Levels(1).TitleText","Твердости",""
"prefix_1_PerIncreasedStrikeDmg.Levels(2).TitleText","Разорения",""
"prefix_1_PerIncreasedStrikeDmg.Levels(3).TitleText","Неумолимости",""
"prefix_1_PerIncreasedStrikeDmg.Levels(4).TitleText","Опустошения",""
"prefix_1_PerIncreasedStrikeDmg.Levels(5).TitleText","Колосса",""
"prefix_1_PerIncreasedVigor.TitleText","Живучести",""
"prefix_1_PerIncreasedVitalityDmg.Levels(0).TitleText","Увядания",""
"prefix_1_PerIncreasedVitalityDmg.Levels(1).TitleText","Осквернения",""
"prefix_1_PerIncreasedVitalityDmg.Levels(2).TitleText","Зловредности",""
"prefix_1_PerIncreasedVitalityDmg.Levels(3).TitleText","Жизневытягивания",""
"prefix_1_PerIncreasedVitalityDmg.Levels(4).TitleText","Танатоса",""
"prefix_1_PerIncreasedVitalityDmg.Levels(5).TitleText","Стикса",""
"prefix_1_PerIncreasedWeaponDmg.TitleText","Убийцы",""
"prefix_1_PerLightningRes.TitleText","Оберега",""
"prefix_1_PerMagicalDmg_PerElementalRes.TitleText","Призмы",""
"prefix_1_PerPoisonRes.TitleText","Оберега",""
"prefix_1_PerStunRes.Levels(0).TitleText","Почетного стража",""
"prefix_1_PierceArmor.Levels(0).TitleText","Обитости",""
"prefix_1_PierceArmor.Levels(2).TitleText","Многослойности",""
"prefix_1_PierceArmor.Levels(4).TitleText","Твердости",""
"prefix_1_PierceArmor.Levels(6).TitleText","Защищенности",""
"prefix_1_PierceArmor.Levels(8).TitleText","Твердыни",""
"prefix_1_PierceArmor.Levels(10).TitleText","Непробиваемости",""
"prefix_1_PierceDmg.Levels(0).TitleText","Зазубренности",""
"prefix_1_PierceDmg.Levels(2).TitleText","Колючести",""
"prefix_1_PierceDmg.Levels(4).TitleText","Остроты",""
"prefix_1_PierceDmg.Levels(6).TitleText","Проникания",""
"prefix_1_PierceDmg.Levels(8).TitleText","Зубастости",""
"prefix_1_PierceDmg.Levels(10).TitleText","Нанизывания",""
"prefix_1_PoisonDmg.Levels(0).TitleText","Порчи",""
"prefix_1_PoisonDmg.Levels(2).TitleText","Отравы",""
"prefix_1_PoisonDmg.Levels(4).TitleText","Вредности",""
"prefix_1_PoisonDmg.Levels(6).TitleText","Ядовитости",""
"prefix_1_PoisonDmg.Levels(8).TitleText","Заражения",""
"prefix_1_PoisonDmg.Levels(10).TitleText","Погибели",""
"prefix_1_StrikeArmor.Levels(0).TitleText","Крепкости",""
"prefix_1_StrikeArmor.Levels(2).TitleText","Прочности",""
"prefix_1_StrikeArmor.Levels(4).TitleText","Надежности",""
"prefix_1_StrikeArmor.Levels(6).TitleText","Закаленности",""
"prefix_1_StrikeArmor.Levels(8).TitleText","Незыблемости",""
"prefix_1_StrikeArmor.Levels(10).TitleText","Непоколебимости",""
"prefix_1_StrikeDmg.Levels(0).TitleText","Тяжести",""
"prefix_1_StrikeDmg.Levels(2).TitleText","Массивности",""
"prefix_1_StrikeDmg.Levels(4).TitleText","Переламывания",""
"prefix_1_StrikeDmg.Levels(6).TitleText","Ломания",""
"prefix_1_StrikeDmg.Levels(8).TitleText","Раскалывания",""
"prefix_1_StrikeDmg.Levels(10).TitleText","Разрушения",""
"prefix_1_VitalityDmg.Levels(0).TitleText","Затухания",""
"prefix_1_VitalityDmg.Levels(2).TitleText","Похищения",""
"prefix_1_VitalityDmg.Levels(4).TitleText","Иссушения",""
"prefix_1_VitalityDmg.Levels(6).TitleText","Гибели",""
"prefix_1_VitalityDmg.Levels(8).TitleText","Высасывания",""
"prefix_1_VitalityDmg.Levels(10).TitleText","Вытягивания",""
"prefix_0_PerIncreasedCombatXP.TitleText","Церемонии",""
"prefix_0_PointsToAllActives.TitleText","Полубога",""
"prefix_0_PerDisruptRes.TitleText","Дисциплины",""
"prefix_0_PointsToAllPassives.TitleText","Божественности",""
"prefix_0_PointsToEarthPassives.TitleText","Землерожденного",""
"prefix_0_LifeDrainDmg.TitleText","Мрака",""
"prefix_0_PerThisItemReqReduction.TitleText","Озарения",""
"prefix_0_PerIncreasedProjectileRange.TitleText","Лучника",""
"prefix_0_PerIncreasedProjectileVelocity.TitleText","Беспощадности",""
"prefix_0_PointsToRoguePassives.TitleText","Тени",""
"prefix_0_PerResistancePenetration.TitleText","Проникания",""
"prefix_0_PointsToEarthActives.TitleText","Пироманта",""
"prefix_0_PointsToRogueActives.TitleText","Тени",""
"prefix_0_PointsToStormPassives.TitleText","Шторморожденного",""
"prefix_0_PointsToStormActives.TitleText","Призывателя гроз",""
"prefix_0_PerIncreasedRetaliation.TitleText","Возмездия",""
"prefix_0_PointsToWarfareActives.TitleText","Воителя",""
"prefix_0_x3_PerWeaponAilmentChance.Levels(0).TitleText","Изобилия",""
"prefix_0_PointsToWarfarePassives.TitleText","Битворожденного",""
"prefix_1_Summons_PerIncreasedSpeed_All","Командира","replaced ""pet"" string 11/6/25"
"prefix_1_Summons_PerIncreasedDamage_All","Призывателя","replaced ""pet"" string 11/6/25"
"prefix_1_Summons_PerIncreasedActivations","Ремесленника","added 11/6/25"
