"Key","SourceString","DevComment"
"suffix_1_AilmentChanceOnUse.TitleText","Изобилия","will be removed"
"suffix_1_CleanseChilledBurning.TitleText","Очищения",""
"suffix_1_CleansePlaguedShocked.TitleText","Очищения",""
"suffix_1_CleanseStaggerBleed.TitleText","Очищения",""
"suffix_1_MaximumEnergyOnUse.TitleText","Притока",""
"suffix_1_MovespeedOnPotion.TitleText","Отхода",""
"suffix_0_LessMagicalShieldingCost.TitleText","Ограды",""
"suffix_0_PerAilmentRes.TitleText","Горгоны",""
"suffix_0_PerAllPetResistances.TitleText","Разведения",""
"suffix_0_PerCritAilmentMod.TitleText","Порочности",""
"suffix_0_PerDmgReflectedToAttacker.TitleText","Отражения",""
"suffix_0_PerEnergyCostReduction.TitleText","Эффективности",""
"suffix_0_PerIncreasedAbilityHealing.TitleText","Лечения",""
"suffix_0_PerIncreasedAilmentEffectChance.TitleText","Усугубления",""
"suffix_0_PerIncreasedDmgAgainstBeastmen.TitleText","Истребления чудовищ",""
"suffix_0_PerIncreasedDmgAgainstBeasts.TitleText","Охоты",""
"suffix_0_PerIncreasedDmgAgainstHumanoids.TitleText","Кровопролития",""
"suffix_0_PerIncreasedDmgAgainstUndeads.TitleText","Некромантии",""
"suffix_0_PerIncreasedHealthGainFromLifeDrain.TitleText","Вампира",""
"suffix_0_PerIncreasedLootValue.TitleText","Собирателя",""
"suffix_0_PerIncreasedPowerToEarthActives.TitleText","Гефеста",""
"suffix_0_PerIncreasedPowerToRogueActives.TitleText","Танатоса",""
"suffix_0_PerIncreasedPowerToStormActives.TitleText","Эолы",""
"suffix_0_PerIncreasedPowerToWarfareActives.TitleText","Энио",""
"suffix_0_PerLessDmgFromBeastmen.TitleText","Лабиринта",""
"suffix_0_PerLessDmgFromBeasts.TitleText","Поляны",""
"suffix_0_PerLessDmgFromHumanoids.TitleText","Битвы",""
"suffix_0_PerLessDmgFromUndeads.TitleText","Склепа",""
"suffix_0_PerMorePetHealthAndArmor.TitleText","Служения",""
"suffix_0_PerOfShieldedDmgGainedAsEnergy.TitleText","Поглощения",""
"suffix_0_PerOfShieldedDmgGainedAsHealth.TitleText","Неповиновения",""
"suffix_0_PerPetLifesteal.TitleText","Созыва",""
"suffix_0_PerTargetMaxHealthRedOnHit.TitleText","Горести",""
"suffix_1_Energy.Levels(0).TitleText","Проблеска",""
"suffix_1_Energy.Levels(2).TitleText","Ученых",""
"suffix_1_Energy.Levels(4).TitleText","Мудрости",""
"suffix_1_Energy.Levels(6).TitleText","Философов",""
"suffix_1_Energy.Levels(8).TitleText","Мыслителей",""
"suffix_1_Energy.Levels(10).TitleText","Нюкты",""
"suffix_1_EnergyBarrier.Levels(0).TitleText","Опеки",""
