"Key","SourceString","DevComment"
"00_in_ares_jar_description","Старый сосуд, закупоренный так плотно, что его невозможно открыть.",""
"00_in_ares_jar_flavor","Этот сосуд определенно разговаривает...",""
"00_in_ares_jar_name","Странный сосуд",""
"01_ff_kaenas_sword_description","Этот меч принадлежал Кенею, воину Пиргоса.",""
"01_ff_kaenas_sword_flavor","Фамильный меч. Старый, но хорошо смазанный и острый.",""
"01_ff_kaenas_sword_name","Меч Кенея",""
"01_ff_m_bs_militia_badge_description","Обозначает вас как ополченца Пиргоса.",""
"01_ff_m_bs_militia_badge_flavor","Выветренная железная булавка, прослужившая уже много лет.",""
"01_ff_m_bs_militia_badge_name","Значок ополченца",""
"01_ff_m_bs_quest_areion_charm_description","Вырезанный вручную амулет, содержащий дух божественного коня Ариона. Подарок от вашей наставницы Аристонои.",""
"01_ff_m_bs_quest_areion_charm_flavor","Сделан из неизвестного металла. От него так и исходит магическое тепло.",""
"01_ff_m_bs_quest_areion_charm_name","Амулет Ариона",""
"01_ff_m_moc_dye_phial_description","Некогда божественный инструмент Немезиды, использовавшийся для поглощения ее потраченной божественной энергии. Мойры устроили все так, что он попал в ваши руки.",""
"01_ff_m_moc_dye_phial_flavor","Наполнена темной силой, которая реагирует на ваше прикосновение.",""
"01_ff_m_moc_dye_phial_name","Окрашенная амфора",""
"01_ff_m_vy_pan_horn_description","Отрубленный в бою кусок рога Бога дикой природы.",""
"01_ff_m_vy_pan_horn_flavor","Пульсирует странной силой и пахнет густыми лесами.",""
"01_ff_m_vy_pan_horn_name","Рог Пана",""
"01_ff_s_ct_trophy_description","Командир ополчения в анклаве, вероятно, захочет это увидеть.",""
"01_ff_s_ct_trophy_flavor","Кусок панциря краба-матери. Кажется, отпугивает крабов.",""
"01_ff_s_ct_trophy_name","Переливающийся крабий панцирь",""
"01_ff_s_gns_snake_blood_description","Ключевой ингредиент в приготовлении лекарства от укуса змеи Горгоны.",""
"01_ff_s_gns_snake_blood_flavor","Кровь побежденной змеи Горгоны.",""
"01_ff_s_gns_snake_blood_name","Кровь змеи Горгоны",""
"01_ff_s_gns_snakebite_cure_description","Зелье, которое должно вылечить окаменевший укус змеи Горгоны.",""
"01_ff_s_gns_snakebite_cure_flavor","Снадобье, приготовленное из крови побежденной змеи Горгоны.",""
"01_ff_s_gns_snakebite_cure_name","Средство от укуса змеи",""
"01_ff_s_gs_statue_piece_head_description","Отломанная часть головы большой статуи, которую можно было бы собрать... если бы у нее были все части.",""
"01_ff_s_gs_statue_piece_head_flavor","Скульптурное каменное изображение морского бога Главка... или, по крайней мере, его головы.",""
"01_ff_s_gs_statue_piece_head_name","Отломанная голова статуи",""
"01_ff_s_gs_statue_piece_staff_description","Сломанный посох принадлежал большой статуе, которую можно было собрать... если бы у нее были все части.",""
"01_ff_s_gs_statue_piece_staff_flavor","Посох, который представляет собой это каменное подобие, по-видимому, был сделан из лодочного весла.",""
"01_ff_s_gs_statue_piece_staff_name","Отломанный посох статуи",""
"01_ff_s_gs_statue_piece_tail_description","Отломанная хвостовая часть большой статуи, которую можно было бы собрать... если бы у нее были все части.",""
"01_ff_s_gs_statue_piece_tail_flavor","Скульптурный хвост, похожий на рыбий, отколотый от более крупной каменной фигуры.",""
"01_ff_s_gs_statue_piece_tail_name","Отломанный хвост статуи",""
"01_ff_s_gs_statue_piece_torso_description","Разбитый кусок торса большой статуи, который можно было бы собрать... если бы у нее были все части.",""
"01_ff_s_gs_statue_piece_torso_flavor","Мощное каменное подобие торса морского бога.",""
"01_ff_s_gs_statue_piece_torso_name","Отломанное тело статуи",""
"01_ff_s_gy_incense_description","Инструмент, данный вам Нефелой для восстановления захваченного кладбища.",""
"01_ff_s_gy_incense_flavor","Теплый аромат ладана помогает успокоить умерших.",""
"01_ff_s_gy_incense_name","Благовония",""
"01_ff_s_hh_headhunter_badge_description","Командир ополчения в Пиргосе наверняка захочет это увидеть.",""
"01_ff_s_hh_headhunter_badge_flavor","Символ власти воина-ихтиана — зуб, вырванный из пасти акулы во время одного из темных испытаний ихтианов.",""
"01_ff_s_hh_headhunter_badge_name","Медальон командира",""
