"Key","SourceString","DevComment"
"active_points","Очко умений",""
"passive_points","Очко способностей",""
"mastery_tier","Ступень: {Tier}",""
"modifier_details_title","Модификаторы",""
"modifier_details_available","Доступные модификаторы",""
"feat_details_title","Модификаторы",""
"feat_details_available","Доступные модификаторы",""
"capacity_tooltip_unlock","Открывается на {RequiredPoints} уровне",""
"primary_mastery_pre_selection","Мастерство 1","Label shown in the mastery screen for the first mastery before it was selected."
"secondary_mastery_pre_selection","Мастерство 2","Label shown in the mastery screen for the second mastery before it was selected."
"notification_level_up","Новый уровень!",""
"mastery_choose","Выберите мастерство","Title shown before a mastery to preview was selected."
"masteries_explanation","Выберите области специализации для своей божественной силы. Каким героем вы станете? Вы можете выбрать любые два мастерства в любом порядке и сочетать их силы интересным образом. Каждое мастерство можно специализировать по мере развития.","This is where the concept of masteries is explained in a paragraph."
"mastery_earth_description","Мастера земли применяют силу огня и камня из самих недр, чтобы формировать и воспламенять поле боя, сокрушая и сжигая врагов.","Original: Masters of earth magic don't just control the power of rock to defend themselves and shape the battlefield, but also call forth fire from deep underground, setting their foes ablaze.
Proposal to reflect EA mastery more"
"mastery_storm_description","Мастера воздуха управляют полем боя вызыванием молний и льда, которые обрушиваются на их врагов, и даже могут воплощать саму бурю.","Maybe get rid of the ""or?"" Up the fanciness a bit?"
"mastery_warfare_description","Мастера ратного дела умеют противостоять врагам напрямую, уничтожая целые армии на поле боя с помощью разнообразного оружия и дерзких тактик.","Masters of warfare wade into the front lines and attack their foes directly. They excel at ripping enemies to shreds using physical weapons and bolstering the attacks of themselves and their allies."
"mastery_rogue_description","Мастерам тени подвластны точность, подготовка и уклонения. Они бьют по слабым местам врага, используют яды, а затем скрываются, прежде чем у противника появится шанс дать отпор.","Original: Rogues are masters of precision, preparation, and evasion. They strike at their enemies' weak points, utilize poisons and traps, then vanish before the enemy has a chance to fight back.
Propoal to reflect EA mastery more"
"mastery_earth_slogan","Сгибайте саму землю по своей воле!","This is kinda doubled with battlefield etc in the description"
"mastery_rogue_slogan","Бейте из тени!",""
"mastery_storm_slogan","Метайте молнии с кончиков пальцев!","Struggling with ""wreak havoc"" a bit, what could be a good other verb?"
"mastery_warfare_slogan","Доминируйте на поле боя!","This sounds cool, but what about the others?"
"mastery_earth","Земля",""
"mastery_rogue","Тень",""
