"Key","SourceString","DevComment"
"SWA_0Name","Основная атака",""
"SWA_1Description","Атакует вашим оружием, нанося <b>{data.WeaponDmgScale_UI}|floor()%</> урона.\nПри ударе дает <b>сокрушение</>, если у вас есть активное <b>сокрушающее умение</>.",""
"SWA_Mod_Tailwind_0Name","Попутный ветер",""
"SWA_Mod_Tailwind_1Description","Снаряды пробивают <b>+{ProjPenetration}|round()</> {ProjPenetration}|plural(one=врага,other=врагов).\n<b>+{ProjSpeedMod_UI}|round()%</> скорости полета снарядов.\n<b>+{MPCostMod}|round()</> расхода энергии.\nТребует дальнее оружие.",""
"SWA_Mod_Tailwind_2DescriptionShort","Снаряды пробивают <b>+{ProjPenetration}|round()</> {ProjPenetration}|plural(one=врага,other=врагов).\n<b>+{ProjSpeedMod_UI}|round()%</> скорости полета снарядов.\nТребует дальнее оружие.",""
"SWA_Mod_Volley_0Name","Град",""
"SWA_Mod_Volley_1Description","Вы можете с <b>{Chance_UI}|round()%</> шансом выстрелить <b>{ProjMod}|round()</> дополнительными снарядами в конусе.\nДополнительные снаряды наносит на <b>{SideDmgMod_UI}|round()%</> меньше урона и на <b>{SideDmgMod_UI}|round()%</> реже вызывают хвори.\n<b>+{MPCostMod}|round()</> расхода энергии.\nТребует дальнее оружие.",""
"SWA_Mod_Volley_2DescriptionShort","Вы можете с <b>{Chance_UI}|round()%</> шансом выстрелить <b>+{ProjMod}|round()</> дополнительными снарядами в конусе.\nДополнительные снаряды наносит на <b>{SideDmgMod_UI}|round()%</> меньше урона и на <b>{SideDmgMod_UI}|round()%</> реже вызывают хвори.\nТребует дальнее оружие. ",""
"SWA_Mod_EnhancedAilment_0Name","Мощная хворь",""
"SWA_Mod_EnhancedAilment_1Description","<b>+{AilmentAddMod_UI}|round()%</> базового шанса хвори.\n<b>+{AilmentMoreMod_UI}|round()%</> шанса хвори.\n<b>+{MPCostMod}|round()</> расхода энергии",""
"SWA_Mod_Punish_0Name","Наказание",""
"SWA_Mod_Punish_1Description","<b>+{DmgMod_UI}|round()%</> урона по выведенным из строя или поддерживающим умение врагам.",""
"SWA_Mod_VitalityDrain_0Name","Похищение жизни",""
"SWA_Mod_VitalityDrain_1Description","Наносит <b>{VitDmgMod_UI}|round()%</> урона оружием как дополнительный урон здоровьем.",""
"SWA_Mod_Indomitable_0Name","Неукротимость",""
"SWA_Mod_Indomitable_1Description","При атаке вводит в состояние неукротимости на <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>\nНеукротимость дает <b>+{Armor}|round()</> брони и наносит <b>{WeaponDmgScale_UI}|round()%</> урона оружием врагам, которые атакуют вас в <b>{Range_UI}|round()м</> области вокруг.\n<b>+{MPCostMod}|round()</> расхода энергии.\nТребует ближнее оружие.",""
"SWA_Mod_Indomitable_2DescriptionShort","При атаке вводит в состояние неукротимости на <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>\nНеукротимость дает <b>+{Armor}|round()</> брони и наносит <b>{WeaponDmgScale_UI}|round()%</> урона оружием врагам, которые атакуют вас в <b>{Range_UI}|round()м</> области вокруг.\nТребует ближнее оружие.",""
"SWA_Mod_Hamstring_0Name","Подрезанное сухожилие",""
"SWA_Mod_Hamstring_1Description","При попадании замедляет врагов на <b>{Slow_UI}|round()%</> в течение <b>{SlowDuration}|fmt(min_frac=1,max_frac=1) сек.</>\n<b>+{MPCostMod}|round()</> расхода энергии.\nТребует ближнее оружие.",""
"SWA_Mod_Hamstring_2DescriptionShort","При попадании замедляет врагов на <b>{Slow_UI}|round()%</> в течение <b>{SlowDuration}|fmt(min_frac=1,max_frac=1) сек.</>\nТребует ближнее оружие.",""
"SWA_Mod_Onslaught_0Name","Натиск",""
"SWA_Mod_Onslaught_1Description","Дает <b>ярость</> при попадании по врагу.\n<b>+{ASMod_UI}|fmt(min_frac=0,max_frac=1)%</> скорости атаки за заряд <b>ярости</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"SWA_Mod_Onslaught_2DescriptionShort","Дает <b>ярость</> при попадании по врагу.\n<b>+{ASMod_UI}|fmt(min_frac=0,max_frac=1)%</> скорости атаки за заряд <b>ярости</>.",""
"SWA_Mod_FireExplosion_0Name","Взрыв огня",""
"SWA_Mod_FireExplosion_1Description","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в урон огнем.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{Dmg}|round()</> урона огнем в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области с <b>{AilmentChance_UI}|round()%</> шансом хвори.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"SWA_Mod_FireExplosion_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в урон огнем.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{Dmg}|round()</> урона огнем в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области с <b>{AilmentChance_UI}|round()%</> шансом хвори.",""
"SWA_Mod_HeavyImpact_0Name","Тяжелый удар",""
"SWA_Mod_HeavyImpact_1Description","<b>{ConversionMod_UI}%</> урона преобразовывается в дробящий урон.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{Dmg}|round()</> дробящего урона в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"SWA_Mod_HeavyImpact_2DescriptionShort","<b>{ConversionMod_UI}%</> урона преобразовывается в дробящий урон.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{Dmg}|round()</> дробящего урона в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.",""
"SWA_Mod_LightningStrike_0Name","Грозовая кара",""
"SWA_Mod_LightningStrike_1Description","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в урон молнией.\n<b>При ударе по врагу с {Chance_UI}|round()%</> шансом поражает его <b>грозовой карой</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"SWA_Mod_LightningStrike_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в урон молнией.\n<b>При ударе по врагу с {Chance_UI}|round()%</> шансом поражает его <b>грозовой карой</>.",""
"SWA_Mod_FrostExplosion_0Name","Взрыв льда",""
"SWA_Mod_FrostExplosion_1Description","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в урон холодом.\nПри ударе с <b>{FreezeChance_UI}|round()%</> шансом замораживает на <b>{FreezeDuration}|fmt(min_frac=1,max_frac=1) сек.</>\nУдары по замороженным врагам наносят <b>{Dmg}|round()</> урона холодом в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
