"Key","SourceString","DevComment"
"RoilingMagma_0Name","Кипящая магма",""
"RoilingMagma_1Description","Запускает огромный шар из магмы, который взрывается при столкновении с врагами или препятствиями.\nНаносит <b>{data.Damage}|round()</> урона огнем в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.",""
"RoilingMagma_Mod_Fragmentation_0Name","Фрагментация",""
"RoilingMagma_Mod_Fragmentation_1Description","При взрыве выпускает <b>{ProjAmountMin}|floor()</> - <b>{ProjAmountMax}|floor()</> каменных обломков во все стороны, каждый из которых наносит <b>{Damage}|round()</> колющего урона.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"RoilingMagma_Mod_Fragmentation_2DescriptionShort","При взрыве выпускает <b>{ProjAmountMin}|floor()</> - <b>{ProjAmountMax}|floor()</> каменных обломков во все стороны, каждый из которых наносит <b>{Damage}|round()</> колющего урона.",""
"RoilingMagma_Mod_Overload_0Name","Перегрузка",""
"RoilingMagma_Mod_Overload_1Description","<b>{DmgMod_UI}|round()%</> more Damage.\nRefund <b>{MPRefundMod_UI}|round()%</> of Energy spent over <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.\nGain <b>1 Overload</> per <b>30</> Energy spent.\n<b>+{MPCostMod}|round()</> Energy Cost.",""
"RoilingMagma_Mod_Overload_2DescriptionShort","Refund <b>{MPRefundMod_UI}|round()%</> of Energy spent over <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.\nGain <b>1 Overload</> per <b>30</> Energy spent.",""
"RoilingMagma_Mod_Overwhelm_0Name","Сокрушение",""
"RoilingMagma_Mod_Overwhelm_1Description","Тратит все <b>сокрушение</> и наносит на <b>{DmgMod_UI}|round()%</> больше урона, также получая <b>+{DmgMod_UI}|round()%</> шанса хвори, <b>+{DmgMod_UI}|round()%</> области и <b>+{ProjSpdMod_UI}|round()%</> скорости полета снарядов.\nТеги: +Сокрушение",""
"RoilingMagma_Mod_Overwhelm_2DescriptionShort","Тратит все <b>сокрушение</> и наносит на <b>{DmgMod_UI}|round()%</> больше урона, также получая <b>+{DmgMod_UI}|round()%</> шанса хвори, <b>+{DmgMod_UI}|round()%</> области и <b>+{ProjSpdMod_UI}|round()%</> скорости полета снарядов.",""
"RoilingMagma_Mod_Grandeur_0Name","Величие",""
"RoilingMagma_Mod_Grandeur_1Description","Взрыв наносит <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> от расходуемой на это умение энергии в виде дополнительного урона огнем.\n<b>+{MPCostMod_UI}|round()%</> текущей энергии тратится на применение.",""
"RoilingMagma_Mod_Vortex_0Name","Пламеворот",""
"RoilingMagma_Mod_Vortex_1Description","Теперь не взрывается при столкновении с врагами.\r\nНаносит <b>{Damage}|round()</> урона огнем каждые <b>0.5 сек.</> в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\r\nТолько <b>1</> магмовый шар может существовать в одно и то же время.\r\nПри применении взрывает старый магмовый шар.\r\n<b>-{ExplosionDmgMod_UI}|round()%</> урона взрывом.\r\n<b>-{ProjSpdMod_UI}|round()%</> скорости полета.\r\n<b>-{ProjRangeMod_UI}|round()%</> дальности полета.",""
"RoilingMagma_Mod_EnhancedAilment_0Name","Хворь",""
"RoilingMagma_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> шанса хвори.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"Fissure_0Name","Разлом",""
"Fissure_1Description","Раскалывает землю впереди, нанося <b>{data.Damage}|round()</> дробящего урона в <b>{data.Length_UI}|fmt(min_frac=0,max_frac=1)м</> области.\nРазлом остается <b>{data.Duration}|fmt(min_frac=0,max_frac=1) сек.</> и замедляет врагов на <b>20%</>.\nТратит все <b>сокрушение</> и наносит на <b>50%</> больше урона.",""
"Fissure_Mod_LavaFissure_0Name","Лавовый разлом",""
