"Key","SourceString","DevComment"
"GrandMagic_0Name","Великая магия",""
"GrandMagic_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> урона чарами\n<b>+{MPCurrent}|floor()</> запаса энергии\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> урона чарами\n<b>+{MPNext}|floor()</> запаса энергии",""
"GrandMagic_Feat_Cost_0Name","Урон чарами и затраты",""
"GrandMagic_Feat_Cost_1Description","<b>+30%</> урона чарами\n<b>+10%</> расхода энергии на чары",""
"GrandMagic_Feat_Energy_0Name","Урон чарами","unused"
"GrandMagic_Feat_Energy_1Description","Дает <b>+1%</> урона чарами за каждые <b>20</> запаса энергии","unused"
"GrandMagic_Feat_Overwhelm_0Name","Сокрушающий урон","unused"
"GrandMagic_Feat_Overwhelm_1Description","<b>+20%</> урона сокрушающими чарами","unused"
"GrandMagic_Feat_Ailment_0Name","Шанс хвори",""
"GrandMagic_Feat_Ailment_1Description","<b>+30%</> шанса хвори от чар",""
"GrandMagic_Feat_Crit_0Name","Крит. шанс",""
"GrandMagic_Feat_Crit_1Description","<b>+30%</> шанса критического удара чарами",""
"EarthAttunement_0Name","Гармония тверди",""
"EarthAttunement_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{FireDmgCurrent}|floor()%</> урона огнем\n<b>+{PhysDmgCurrent}|floor()%</> физического урона\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{FireDmgNext}|floor()%</> урона огнем\n<b>+{PhysDmgNext}|floor()%</> физического урона",""
"EarthAttunement_Feat_Weapon_0Name","Оружие",""
"EarthAttunement_Feat_Weapon_1Description","<b>+{WeaponDmg}%</> физического урона и урона огнем от оружия\n<b>+{AttackSpeed}%</> скорости атаки",""
"EarthAttunement_Feat_Spell_0Name","Чары",""
"EarthAttunement_Feat_Spell_1Description","<b>{SpellDmg}%</> физического урона и урона огнем от чар\n<b>+{CastSpeed}%</> скорости сотворения",""
"EarthAttunement_Feat_Area_0Name","Область",""
"EarthAttunement_Feat_Area_1Description","<b>+15%</> урона областными умениями.",""
"ArcaneAbundance_0Name","Изобилие магии",""
"ArcaneAbundance_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{MPCurrent}|floor()</> энергии\n<b>+{PerEnergyCurrent}|floor()%</> энергии\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{MPNext}|floor()</> энергии\n<b>+{PerEnergyNext}|floor()%</> энергии",""
"ArcaneAbundance_Feat_Energy_0Name","Энергия",""
"ArcaneAbundance_Feat_Energy_1Description","<b>+30</> энергии\nОткрывает <b>Эфирный щит</>\n\n<b>Эфирный щит</>: при запасе энергии в <b>50%</> или более, <b>10%</> получаемого урона поглощается энергией.",""
"ArcaneAbundance_Feat_Cost_0Name","Затраты",""
"ArcaneAbundance_Feat_Cost_1Description","<b>+15%</> энергии\n<b>+10%</> расхода энергии на умения",""
"ArcaneAbundance_Feat_Regen_0Name","Регенерация",""
"ArcaneAbundance_Feat_Regen_1Description","Регенерирует <b>1%</> энергии в секунду",""
"Combustion_0Name","Сожжение",""
"Combustion_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> урона огнем\nПри убийстве горящего врага вы с 25% шансом вызываете взрыв, наносящий <b>{Dmg}|floor()</> урона огнем в <b>{RadiusCurrent}|fmt(min_frac=1,max_frac=1)м</> области.\n\n<b_gold>Уровень {NextLevel}:</>\n<b>{DmgNext}|floor()%</> урона огнем\nПри убийстве горящего врага вы с 25% шансом вызываете взрыв, наносящий <b>{Dmg}|floor()</> урона огнем в <b>{RadiusNext}|fmt(min_frac=1,max_frac=1)м</> области.",""
"Combustion_Feat_Radius_0Name","Область",""
"Combustion_Feat_Radius_1Description","Взрыв получает <b>+0.5м</> области",""
"Combustion_Feat_Chance_0Name","Шанс",""
"Combustion_Feat_Chance_1Description","<b>+10%</> шанса взрыва",""
"Combustion_Feat_Damage_0Name","Урон",""
"Combustion_Feat_Damage_1Description","Взрыв получает <b>-0.5м</> области и <b>+50%</> урона",""
"ConcussiveForce_0Name","Сотрясающая сила",""
"ConcussiveForce_1Description","<b_gold>Уровень {CurrentLevel}:</>\nОткрывает <b>Оглушающее ошеломление</>\n<b>+{PhysDmgCurrent}|floor()%</> физического урона\n<b>+{StaggerChanceCurrent}|floor()%</> шанса оглушения\n<b>+{PowerCurrent}|floor()%</> силы оглушения\n<b>+{StunDurationCurrent}|floor()%</> длительности ошеломления\n\n<b_gold>Уровень {NextLevel}:</>\nОткрывает <b>Оглушающее ошеломление</>\n<b>+{PhysDmgNext}|floor()%</> физического урона\n<b>+{StaggerChanceNext}|floor()%</> шанса оглушения\n<b>+{PowerNext}|floor()%</> силы оглушения\n<b>+{StunDurationNext}|floor()%</> длительности ошеломления\n\n<b>Оглушающее ошеломление</>: при накладывании оглушения вы с <b>+1%</> шансом за каждый заряд оглушения на враге ошеломляете его на <b>1.5</> сек.",""
"ConcussiveForce_Feat_StunDuration_0Name","Длительность ошеломления",""
"ConcussiveForce_Feat_StunDuration_1Description","<b>+{StunDuration}%</> длительности ошеломления",""
"ConcussiveForce_Feat_StaggerAmount_0Name","Предел оглушения",""
"ConcussiveForce_Feat_StaggerAmount_1Description","<b>+{MaxStagger}</> предела оглушения",""
"ConcussiveForce_Feat_Damage_0Name","Урон по обездвиженным",""
"ConcussiveForce_Feat_Damage_1Description","<b>+{Damage}%</> урона по обездвиженным врагам",""
"Cremation_0Name","Кремация",""
"Cremation_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{ChanceCurrent}|floor()%</> шанса горения\n<b>+{PowerCurrent}|floor()%</> силы горения\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{ChanceNext}|floor()%</> шанса горения\n<b>+{PowerNext}|floor()%</> силы горения",""
"Cremation_Feat_Power_0Name","Сила",""
"Cremation_Feat_Power_1Description","<b>+50%</> силы горения\n<b>-20%</> шанса горения",""
"Cremation_Feat_Chance_0Name","Шанс",""
"Cremation_Feat_Chance_1Description","<b>+50%</> шанса горения\n<b>-20%</> силы горения",""
"Cremation_Feat_Ignite_0Name","Воспламенение",""
"Cremation_Feat_Ignite_1Description","При наложении горения с <b>2%</> шансом за каждый заряд вызывает воспламенение",""
"EarthBarrier_0Name","Каменный барьер",""
"EarthBarrier_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{BarrierCurrent}|round()%</> барьера\n<b>+{ArmorCurrent}|round()%</> брони\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{BarrierNext}|round()%</> барьера\n<b>+{ArmorNext}|round()%</> брони",""
"EarthBarrier_Feat_Armor_0Name","Броня",""
"EarthBarrier_Feat_Armor_1Description","<b>+{Armor}</> брони",""
"EarthBarrier_Feat_BarrierDecay_0Name","Распад барьера",""
"EarthBarrier_Feat_BarrierDecay_1Description","<b>-{Decay}|round()%</> скорости распада барьера",""
"EarthBarrier_Feat_DecayThreshold_0Name","Предел распада барьера",""
"EarthBarrier_Feat_DecayThreshold_1Description","Дает <b>{Ratio}|round()%</> от энергии в виде предела распада барьера",""
"Overheat_0Name","Перегрев",""
"Overheat_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|round()%</> урона перегружаемыми умениями\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|round()%</> урона перегружаемыми умениями",""
"Overheat_Feat_Damage_0Name","Урон огнем",""
"Overheat_Feat_Damage_1Description","<b>+2%</> урона огнем за каждый заряд перегрузки",""
"Overheat_Feat_Energy_0Name","Энергия",""
