"Key","SourceString","DevComment"
"FortifiedArmor_0Name","Крепкая броня",""
"FortifiedArmor_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[IncreasedHealth]}\n{DescriptionComponent[IncreasedArmor]}\n{DescriptionComponent[SummonIncreasedHealth]}\n{DescriptionComponent[SummonIncreasedArmor]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[IncreasedHealth2]}\n{DescriptionComponent[IncreasedArmor2]}\n{DescriptionComponent[SummonIncreasedHealth2]}\n{DescriptionComponent[SummonIncreasedArmor2]}",""
"FortifiedArmor_Feat_Health_0Name","Здоровье",""
"FortifiedArmor_Feat_Health_1Description","{DescriptionComponent[IncreasedHealth]}",""
"FortifiedArmor_Feat_SummonHealth_0Name","Здоровье прислужников",""
"FortifiedArmor_Feat_SummonHealth_1Description","{DescriptionComponent[SummonIncreasedHealth]}",""
"FortifiedArmor_Feat_Armor_0Name","Броня",""
"FortifiedArmor_Feat_Armor_1Description","{DescriptionComponent[AddArmor]}",""
"Salvager_0Name","Сбор трофеев",""
"Salvager_1Description","{DescriptionComponent[PassiveCurrent]}\r\nПодбирание <me_DivineCore>ядер богов</> дает вам и <me_Summon>прислужникам</> <b>+{DmgCurrent}|floor()%</> урона на <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>\r\n{DescriptionComponent[AddDoubleScrapChance]}\r\n\r\n{DescriptionComponent[PassiveNext]}\r\nПодбирание <me_DivineCore>ядер богов</> дает вам и <me_Summon>прислужникам</> <b>+{DmgNext}|floor()%</> урона на <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>\r\n{DescriptionComponent[AddDoubleScrapChance2]}",""
"Salvager_Feat_SummonDamage_0Name","Урон прислужников",""
"Salvager_Feat_SummonDamage_1Description","Подбирание <me_DivineCore>ядер богов</> дополнительно повышает урон <me_Summon>прислужников</> на <b>{Dmg}|fmt(min_frac=0,max_frac=1)%</>",""
"Salvager_Feat_MaxScrap_0Name","Предел ядер",""
"Salvager_Feat_MaxScrap_1Description","{DescriptionComponent[AddScrapMax]}",""
"Salvager_Feat_DoubleScrap_0Name","Двойные ядра",""
"Salvager_Feat_DoubleScrap_1Description","{DescriptionComponent[AddDoubleScrapChance]}",""
"Salvager_Buff_0Name","Сбор трофеев",""
"Salvager_Buff_1Description","Повышение урона",""
"ForgedLegion_0Name","Кованный легион",""
"ForgedLegion_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[SummonIncreasedDamage]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[SummonIncreasedDamage2]}",""
"ForgedLegion_Feat_SummonDamage_0Name","Урон прислужников",""
"ForgedLegion_Feat_SummonDamage_1Description","{DescriptionComponent[SummonIncreasedDamage]}",""
"ForgedLegion_Feat_SummonCritChance_0Name","Крит. шанс прислужников",""
"ForgedLegion_Feat_SummonCritChance_1Description","{DescriptionComponent[SummonAddCritChance]}",""
"ForgedLegion_Feat_MinionMaster_0Name","Мастер прислужников",""
"ForgedLegion_Feat_MinionMaster_1Description","Открывает <me_MinionMaster>Мастера прислужников</>\n{DescriptionComponent[SummonMoreDamage]}",""
"CurioCollector_0Name","Коллекционирование",""
"CurioCollector_1Description","{DescriptionComponent[PassiveCurrent]}\r\n{DescriptionComponent[AddScrapMax]}\r\n{DescriptionComponent[AddDoubleScrapChance]}\r\n{DescriptionComponent[IncreasedScrapCollectionRange]}\r\n\r\n{DescriptionComponent[PassiveNext]}\r\n{DescriptionComponent[AddScrapMax2]}\r\n{DescriptionComponent[AddDoubleScrapChance2]}\r\n{DescriptionComponent[IncreasedScrapCollectionRange2]}",""
"CurioCollector_Feat_MaxScrap_0Name","Предел ядер",""
"CurioCollector_Feat_MaxScrap_1Description","{DescriptionComponent[AddScrapMax]}",""
"CurioCollector_Feat_ScrapCollectionRange_0Name","Радиус подбора ядер",""
"CurioCollector_Feat_ScrapCollectionRange_1Description","{DescriptionComponent[IncreasedScrapCollectionRange]}",""
"CurioCollector_Feat_ScrapGenerator_0Name","Создание ядер",""
"CurioCollector_Feat_ScrapGenerator_1Description","При запасе <me_DivineCore>ядер богов</> ниже <b>{Threshold}|fmt(min_frac=0,max_frac=1)</> дает <b>{Scrap}|fmt(min_frac=0,max_frac=1)</> {Scrap}|plural(one=<me_DivineCore>ядро богов</>,other=<me_DivineCore>ядра богов</>) каждые <b>{Period}|fmt(min_frac=0,max_frac=1) сек.</>",""
"ReinforcedWeaponry_0Name","Усиленное вооружение",""
"ReinforcedWeaponry_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[IncreasedPhysicalDamage]}\n{DescriptionComponent[IncreasedBleedDamage]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[IncreasedPhysicalDamage2]}\n{DescriptionComponent[IncreasedBleedDamage2]}",""
"ReinforcedWeaponry_Feat_PhysicalDamage_0Name","Физический урон",""
"ReinforcedWeaponry_Feat_PhysicalDamage_1Description","{DescriptionComponent[IncreasedPhysicalDamage]}",""
"ReinforcedWeaponry_Feat_BleedStaggerPower_0Name","Сила хвори",""
"ReinforcedWeaponry_Feat_BleedStaggerPower_1Description","{DescriptionComponent[IncreasedBleedDamage]}\n{DescriptionComponent[IncreasedStaggerPower]}",""
"ReinforcedWeaponry_Feat_DamageAgainstAilment_0Name","Урон по хворям",""
"ReinforcedWeaponry_Feat_DamageAgainstAilment_1Description","<b>+{DmgIncrease}|fmt(min_frac=0,max_frac=1)%</> урона по <me_Bleed>кровоточащим</> или <me_Stagger>ошеломленным</> врагам",""
"ElementalUtilization_0Name","Взывание к стихиям",""
"ElementalUtilization_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[IncreasedElementalDamage]}\n<b>+{DmgBuffCurrent}|fmt(min_frac=0,max_frac=1)%</> стихийного урона при затрачивании  <me_ElementalInfusion>стихийной инфузии</> за последние <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[IncreasedElementalDamage2]}\n<b>+{DmgBuffNext}|fmt(min_frac=0,max_frac=1)%</> стихийного урона при затрачивании  <me_ElementalInfusion>стихийной инфузии</> за последние <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"ElementalUtilization_Feat_ElementalBalance_0Name","Стихийный баланс",""
"ElementalUtilization_Feat_ElementalBalance_1Description","<b>+25%</> общего стихийного урона при затрачивании всех трех типов <me_ElementalInfusion>стихийных инфузий</> за последние <b>6 сек.</>",""
"ElementalUtilization_Feat_ElementalDamage_0Name","Стихийный урон",""
"ElementalUtilization_Feat_ElementalDamage_1Description","{DescriptionComponent[IncreasedElementalDamage]}",""
"ElementalUtilization_Feat_ElementalInfusion_0Name","Стихийная инфузия",""
"ElementalUtilization_Feat_ElementalInfusion_1Description","Затрачивание <me_ElementalInfusion>стихийной инфузии</> дополнительно повышает стихийный урон на <b>{EleDmgIncrease}|fmt(min_frac=0,max_frac=1)%</>",""
"ArmorSpikes_0Name","Колючая броня",""
"ArmorSpikes_1Description","{DescriptionComponent[PassiveCurrent]}\r\n{DescriptionComponent[IncreasedRetaliationDamage]}\r\n<b>+{PierceRetaliationAdd}|floor()</> <me_PierceDam>колющего</> <me_Retaliate>отражения</> (повышается количеством <me_Armor>брони</>)\r\n\r\n{DescriptionComponent[PassiveNext]}\r\n{DescriptionComponent[IncreasedRetaliationDamage2]}\r\n<b>+{PierceRetaliationAdd2}|floor()</> <me_PierceDam>колющего</> <me_Retaliate>отражения</> (повышается количеством <me_Armor>брони</>)",""
"ArmorSpikes_Feat_Thorns_0Name","Шипы",""
"ArmorSpikes_Feat_Thorns_1Description","Открывает <me_Thorns>Шипы</>\r\n{DescriptionComponent[MoreRetaliationDamage]}",""
"ArmorSpikes_Feat_RetaliationRange_0Name","Радиус отражения",""
"ArmorSpikes_Feat_RetaliationRange_1Description","{DescriptionComponent[IncreasedRetaliationRange]}",""
"ArmorSpikes_Feat_RetaliationDamage_0Name","Физическое отражение",""
"ArmorSpikes_Feat_RetaliationDamage_1Description","{DescriptionComponent[IncreasedPhysicalRetaliationDamage]}",""
"FortifiedConstruction_0Name","Укрепленные творения",""
"FortifiedConstruction_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[SummonIncreasedHealth]}\n{DescriptionComponent[SummonIncreasedArmor]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[SummonIncreasedHealth2]}\n{DescriptionComponent[SummonIncreasedArmor2]}",""
"FortifiedConstruction_Feat_HealthArmor_0Name","Здоровье и броня",""
"FortifiedConstruction_Feat_HealthArmor_1Description","{DescriptionComponent[SummonIncreasedHealth]}\n{DescriptionComponent[SummonIncreasedArmor]}",""
"FortifiedConstruction_Feat_ShieldHealth_0Name","Щит",""
"FortifiedConstruction_Feat_ShieldHealth_1Description","<b>+{SmnHealthIncrease}|fmt(min_frac=0,max_frac=1)%</> здоровья <me_Summon>прислужников</> при наличии щита",""
"FortifiedConstruction_Feat_HealthRegeneration_0Name","Регенерация",""
"FortifiedConstruction_Feat_HealthRegeneration_1Description","<b>{SmnHealthRegen}|fmt(min_frac=0,max_frac=1)%</> регенерации здоровья <me_Summon>прислужников</> каждую секунду",""
"ExpertBlueprints_0Name","Точные чертежи",""
"ExpertBlueprints_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[IncreasedDeviceSkillSpeed]}\n{DescriptionComponent[DeviceIncreasedDamage]}\n{DescriptionComponent[DeviceIncreasedActivationSpeed]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[IncreasedDeviceSkillSpeed2]}\n{DescriptionComponent[DeviceIncreasedDamage2]}\n{DescriptionComponent[DeviceIncreasedActivationSpeed2]}",""
"ExpertBlueprints_Feat_ActivationSpeed_0Name","Скорость срабатывания",""
"ExpertBlueprints_Feat_ActivationSpeed_1Description","{DescriptionComponent[DeviceIncreasedActivationSpeed]}",""
"ExpertBlueprints_Feat_DeviceDamage_0Name","Урон механизмов",""
"ExpertBlueprints_Feat_DeviceDamage_1Description","{DescriptionComponent[DeviceIncreasedDamage]}",""
"ExpertBlueprints_Feat_Explosion_0Name","Взрывное появление",""
"ExpertBlueprints_Feat_Explosion_1Description","При создании <me_Summon>призываемого</> <me_Device>механихма</> наносит <b>{StrikeDmg}|floor()</> <me_StrikeDam>дробящего урона</> в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> радиусе вокруг этого <me_Device>механизма</>",""
"OverwhelmingForces_0Name","Сокрушающая сила",""
"OverwhelmingForces_1Description","{DescriptionComponent[PassiveCurrent]}\nТрата <me_Overwhelm>сокрушения</> дает вам и <me_Summon>прислужникам</> <b>+{DmgCurrent}|fmt(min_frac=0,max_frac=1)%</> урона на <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>\n\n{DescriptionComponent[PassiveNext]}\nnТрата <me_Overwhelm>сокрушения</> дает вам и <me_Summon>прислужникам</> <b>+{DmgNext}|fmt(min_frac=0,max_frac=1)%</> урона на <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"OverwhelmingForces_Feat_Damage_0Name","Урон",""
"OverwhelmingForces_Feat_Damage_1Description","Трата <me_Overwhelm>сокрушения</> дополнительно повышает урон на <b>{DmgIncrease}|fmt(min_frac=0,max_frac=1)%</>",""
"OverwhelmingForces_Feat_DeviceActivations_0Name","Срабатывания",""
