"Key","SourceString","DevComment"
"LethalStrike_0Name","Смертельный удар",""
"LethalStrike_1Description","Наносит <b>{data.WeaponDmg_UI}|round()%</> урона оружием по одиночному врагу.\nТратит <me_Flow>поток</> и наносит на <b>{data.FlowDmgMod_UI}|round()%</> больше урона.\nЕсли умение тратит <me_Flow>поток</> или убивает врага, перезарядка мгновенно откатывается.",""
"LethalStrike_Mod_ShadowStrike_0Name","Фантомный удар",""
"LethalStrike_Mod_ShadowStrike_1Description","Телепортирует к цели перед атакой.\n<b>{TravelDistance_UI}|fmt(min_frac=0,max_frac=1)м</> дальности.\n<b>+{MPCostMod}|round()</> расхода энергии.\n<b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности перезарядки.\nТеги: +Движение, +Телепорт",""
"LethalStrike_Mod_ShadowStrike_4Ability_Description","Телепортирует к цели и наносит <b>{data.WeaponDmg_UI}|round()%</> урона оружием.\n<b>{data.TravelDistance_UI}|fmt(min_frac=0,max_frac=1)м</> дальности.\nТратит <me_Flow>поток</> и наносит на <b>{data.FlowDmgMod_UI}|round()%</> больше урона.\nЕсли умение тратит <me_Flow>поток</> или убивает врага, перезарядка мгновенно откатывается.",""
"LethalStrike_Mod_ShadowDagger_0Name","Фантомные чары",""
"LethalStrike_Mod_ShadowDagger_1Description","Превращает в чары дальнего боя, поражающие одиночную цель.\nТеги: +Фантомное",""
"LethalStrike_Mod_ShadowDagger_4Ability_Description","Наносит <b>{data.SpellDmg}|floor()</> <me_PierceDam>колющего урона</> по врагу.\nТратит <me_Flow>поток</> и наносит на <b>{data.FlowDmgMod_UI}|round()%</> больше урона.\nЕсли умение тратит <me_Flow>поток</> или убивает врага, перезарядка мгновенно откатывается.",""
"LethalStrike_Mod_Rupture_0Name","Разрыв",""
"LethalStrike_Mod_Rupture_1Description","При ударе с <b>{RuptureChance_UI}|floor()%</> шансом вызывает <me_Rupture>разрыв</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"LethalStrike_Mod_Rupture_2DescriptionShort","При ударе с <b>{RuptureChance_UI}|floor()%</> шансом вызывает <me_Rupture>разрыв</>.",""
"LethalStrike_Mod_Doom_0Name","Рок",""
"LethalStrike_Mod_Doom_1Description","Тратит весь <me_Doom>рок</> на враге и наносит на <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> больше урона по нему за каждый потраченный заряд <me_Doom>рока</>.\nПри убийстве накладывает <b>{Doom}|floor()</> <b>рока</> на всех врагов в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"LethalStrike_Mod_Doom_2DescriptionShort","Тратит весь <me_Doom>рок</> на враге и наносит на <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> больше урона по нему за каждый потраченный заряд <me_Doom>рока</>.\nПри убийстве накладывает <b>{Doom}|floor()</> <b>рока</> на всех врагов в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области.",""
"LethalStrike_Mod_FlowGain_0Name","Поток",""
"LethalStrike_Mod_FlowGain_1Description","Больше не тратит <me_Flow>поток</> на дополнительный эффект.\nДает <me_Flow>поток</> при убийстве <me_Mark>отмеченного</> врага этой атакой.",""
