"Key","SourceString"
"Accuracy_0Name","Точность"
"Accuracy_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> общего урона\n<b>+{CritChanceCurrent}|floor()%</> шанса <me_Critical>критического удара</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> общего урона\n<b>{CritChanceNext}|floor()%</> шанса <me_Critical>критического удара</>"
"Accuracy_Feat_CritChance_0Name","Крит. шанс"
"Accuracy_Feat_CritChance_1Description","<b>+20%</> шанса <me_Critical>критического удара</>"
"Accuracy_Feat_CritDmg_0Name","Крит. урон"
"Accuracy_Feat_CritDmg_1Description","<b>+15%</> <me_CritDamMult>критического урона</>"
"Accuracy_Feat_SpecialCrit_0Name","Высокий крит. шанс"
"Accuracy_Feat_SpecialCrit_1Description","<b>+100%</> шанса <me_Critical>критического удара</>\n<b>-50%</> <me_CritDamMult>критического урона</>"
"DeftHands_0Name","Искусные руки"
"DeftHands_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> общего урона\n<b>+{ASCurrent}|floor()%</> скорости атаки\n<b>+{CSCurrent}|floor()%</> скорости сотворения\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> общего урона\n<b>+{ASNext}|floor()%</> скорости атаки\n<b>+{CSNext}|floor()%</> скорости сотворения"
"DeftHands_Feat_AbilitySpeed_0Name","Скорость атаки и сотворения"
"DeftHands_Feat_AbilitySpeed_1Description","<b>+6%</> скорости атаки\n<b>+6%</> скорости сотворения"
"DeftHands_Feat_CritChance_0Name","Крит. шанс"
"DeftHands_Feat_CritChance_1Description","<b>+20%</> шанса <me_Critical>критического удара</>"
"DeftHands_Feat_AilmentChance_0Name","Шанс хвори"
"DeftHands_Feat_AilmentChance_1Description","<b>+20%</> <me_AilmentChance>шанса хвори</>"
"Anatomy_0Name","Знание анатомии"
"Anatomy_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{PierceDmgCurrent}|floor()%</> <me_PierceDam>колющего урона</>\n<b>+{BleedChanceCurrent}|floor()%</> шанса <me_Bleed>кровотечения</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{PierceDmgNext}|floor()%</> <me_PierceDam>колющего урона</>\n<b>+{BleedChanceNext}|floor()%</> шанса <me_Bleed>кровотечения</>"
"Anatomy_Feat_PierceDmg_0Name","Колющий урон"
"Anatomy_Feat_PierceDmg_1Description","<b>+{PierceDmg}%</> <me_PierceDam>колющего урона</>\n<b>+{PiercePen}%</> <me_PierceDam>колющего</> <me_Penetration>пробивания</>"
"Anatomy_Feat_BleedChance_0Name","Шанс кровотечения"
"Anatomy_Feat_BleedChance_1Description","<b>+{BleedChance}%</> шанса <me_Bleed>кровотечения</>\n<b>+{BleedPower}%</> <me_AilmentPower>силы</> <me_Bleed>кровотечения</>"
"Anatomy_Feat_ShadowSpell_0Name","Теневые чары"
"Anatomy_Feat_ShadowSpell_1Description","Преобразовывает <b>100%</> урона фантомных чар в <me_PierceDam>колющий урон</>\n<b>+{PierceDmg}%</> <me_PierceDam>колющего урона</>\n<b>+{BleedChance}%</> шанса <me_Bleed>кровотечения</>"
"ToxinDistillation_0Name","Дистилляция токсинов"
"ToxinDistillation_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{PoisonDmgCurrent}|floor()%</> <me_PoisonDam>урона ядом</>\n<b>+{PlaguedChanceCurrent}|floor()%</> шанса <me_Plague>чумы</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{PoisonDmgNext}|floor()%</> <me_PoisonDam>урона ядом</>\n<b>+{PlaguedChanceNext}|floor()%</> шанса <me_Plague>чумы</>"
"ToxinDistillation_Feat_PoisonDmg_0Name","Урон ядом"
"ToxinDistillation_Feat_PoisonDmg_1Description","<b>+{PoisonDmg}%</> <me_PoisonDam>урона ядом</>\n<b>+{PoisonPen}%</> <me_Penetration>пробивания</> <me_PoisonDam>ядом</>"
"ToxinDistillation_Feat_PlaguedChance_0Name","Шанс чумы"
"ToxinDistillation_Feat_PlaguedChance_1Description","<b>+{PlaguedChance}%</> шанса <me_Plague>чумы</>\n<b>+{PlaguedPower}%</> <me_AilmentPower>силы</> <me_Plague>чумы</>"
"ToxinDistillation_Feat_ShadowSpell_0Name","Теневые чары"
"ToxinDistillation_Feat_ShadowSpell_1Description","Преобразовывает <b>100%</> урона фантомных чар в <me_PoisonDam>урон ядом</>\n<b>+{PoisonDmg}%</> <me_PoisonDam>урона ядом</>\n<b>+{PlaguedChance}%</> шанса <me_Plague>чумы</>"
"DeadlyAffliction_0Name","Смертельный недуг"
"DeadlyAffliction_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{AilmentChanceCurrent}|floor()%</> <me_AilmentChance>шанса хвори</>\n<b>+{AilmentPowerCurrent}|floor()%</> <me_AilmentPower>силы хвори</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{AilmentChanceNext}|floor()%</> <me_AilmentChance>шанса хвори</>\n<b>+{AilmentPowerNext}|floor()%</> <me_AilmentPower>силы хвори</>"
"DeadlyAffliction_Feat_AilmentChance_0Name","Шанс хвори"
"DeadlyAffliction_Feat_AilmentChance_1Description","<b>+{AilmentChance}%</> <me_AilmentChance>шанса хвори</>"
"DeadlyAffliction_Feat_AilmentMaxStacks_0Name","Предел хвори"
"DeadlyAffliction_Feat_AilmentMaxStacks_1Description","<b>+{AilmentStacks}</> предела всех <me_Ailment>хворей</>"
"DeadlyAffliction_Feat_AilmentPower_0Name","Сила хвори"
"DeadlyAffliction_Feat_AilmentPower_1Description","<b>+{AilmentPower}%</> <me_AilmentPower>силы хвори</>"
"NimbleDefense_0Name","Верткая оборона"
"NimbleDefense_1Description","<b_gold>Уровень {CurrentLevel}:</>\r\n<b>+{MovementCDCurrent}|floor()%</> скорости перезарядки умений движения\r\n<b>+{GlancingCurrent}|floor()%</> шанса <me_Glancing>скользящих</> атак\r\n<b_gold>Уровень {NextLevel}:</>\r\n<b>+{MovementCDNext}|floor()%</> скорости перезарядки умений движения\r\n<b>+{GlancingNext}|floor()%</> шанса <me_Glancing>скользящих</> атак"
"NimbleDefense_Feat_GlancingProjectile_0Name","Скользящие снаряды"
"NimbleDefense_Feat_GlancingProjectile_1Description","<b>+{GlancingProjChance}%</> шанса <me_Glancing>скользящих</> снарядов\n<b>-{GlancingBlowChance}%</> шанса <me_Glancing>скользящих</> ударов"
"NimbleDefense_Feat_GlancingBlow_0Name","Скользящие удары"
"NimbleDefense_Feat_GlancingBlow_1Description","<b>+{GlancingBlowChance}%</> шанса <me_Glancing>скользящих</> ударов\n<b>-{GlancingProjChance}%</> шанса <me_Glancing>скользящих</> снарядов"
"NimbleDefense_Feat_MovementCD_0Name","Перезарядка умений"
"NimbleDefense_Feat_MovementCD_1Description","<b>+{MovementCD}%</> скорости перезарядки умений движения"
"TasteForBlood_0Name","Привкус крови"
"TasteForBlood_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{VitalityDmgCurrent}|floor()%</> <me_VitalityDam>урона здоровьем</>\n<b>+{LifestealCurrent}|floor()%</> <me_Lifesteal>похищения жизни</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{VitalityDmgNext}|floor()%</> <me_VitalityDam>урона здоровьем</>\n<b>+{LifestealNext}|floor()%</> <me_Lifesteal>похищения жизни</>"
"TasteForBlood_Feat_VitalityDmg_0Name","Урон здоровьем"
"TasteForBlood_Feat_VitalityDmg_1Description","<b>+{VitalityDmg}%</> <me_VitalityDam>урона здоровьем</>\n<b>+{VitalityPen}%</> <me_Penetration>пробивания</> <me_VitalityDam>здоровьем</>"
"TasteForBlood_Feat_LifestealDmg_0Name","Похищение жизни"
"TasteForBlood_Feat_LifestealDmg_1Description","<b>+{BaseLifesteal}%</> базового <me_Lifesteal>похищения жизни</> от <me_VitalityDam>урона здоровьем</>\n<b>+{Lifesteal}%</> силы <me_Lifesteal>похищения жизни</>"
"TasteForBlood_Feat_ShadowSpell_0Name","Теневые чары"
"TasteForBlood_Feat_ShadowSpell_1Description","Преобразовывает <b>100%</> урона фантомных чар в <me_VitalityDam>урон здоровьем</>\n<b>+{VitalityDmg}%</> <me_VitalityDam>урона здоровьем</>\n<b>+{Lifesteal}%</> <me_Lifesteal>похищения жизни</>"
"VolatileConcoction_0Name","Летучая смесь"
"VolatileConcoction_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{FireDmgCurrent}|floor()%</> <me_FireDam>урона огнем</>\n<b>+{BurnChanceCurrent}|floor()%</> шанса <me_Burn>горения</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{FireDmgNext}|floor()%</> <me_FireDam>урона огнем</>\n<b>+{BurnChanceNext}|floor()%</> шанса <me_Burn>горения</>"
"VolatileConcoction_Feat_FireDmg_0Name","Урон огнем"
"VolatileConcoction_Feat_FireDmg_1Description","<b>+{FireDmg}%</> <me_FireDam>урона огнем</>\n<b>+{FirePen}%</> <me_Penetration>пробивания</> <me_FireDam>огнем</>"
"VolatileConcoction_Feat_BurnChance_0Name","Шанс горения"
"VolatileConcoction_Feat_BurnChance_1Description","<b>+{BurnChance}%</> шанса <me_Burn>горения</>\n<b>+{BurnPower}%</> <me_AilmentPower>силы</> <me_Burn>горения</>"
"VolatileConcoction_Feat_ShadowSpell_0Name","Теневые чары"
