"Key","SourceString","DevComment"
"IceShards_0Name","Льдинки",""
"IceShards_1Description","Выпускает <b>{data.ProjCount}|floor()</> осколков льда в конусе, каждый из которых наносит <b>{data.MinDmg}|floor() - {data.MaxDmg}|floor()</> <me_ColdDam>урона холодом</>. Попадания по тому же врагу наносит на <b>80%</> меньше урона.\nПри применении дает <me_Overwhelm>сокрушение</>, если у вас есть активное <me_Overwhelm>сокрушающее</> умение.",""
"IceShards_Mod_Torrent_0Name","Поток",""
"IceShards_Mod_Torrent_1Description","<b>+{ProjCountMod}|round()</> выпускаемых снарядов.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"IceShards_Mod_Penetration_0Name","Пронзание",""
"IceShards_Mod_Penetration_1Description","Снаряды <me_Penetration>пронзают</> <b>{ProjPenMod}|round()</> {ProjPenMod}|plural(one=врага,other=врагов).\n<b>-{DmgMod_UI}|round()%</> урона после первого попадания.","old:
Projectiles penetrate <b>{ProjPenMod}|round()</> targets.
<b>{ProjSpdMod_UI}|round()%</> more Projectile Speed.
<b>+{MPCostMod}|round()</> Energy Cost."
"IceShards_Mod_Penetration_2DescriptionShort","Снаряды <me_Penetration>пронзают</> <b>{ProjPenMod}|round()</> {ProjPenMod}|plural(one=врага,other=врагов).\n<b>-{DmgMod_UI}|round()%</> урона после первого попадания.","old:
Projectiles penetrate <b>{ProjPenMod}|round()</> targets.
<b>{ProjSpdMod_UI}|round()%</> more Projectile Speed."
"IceShards_Mod_FrostExplosion_0Name","Морозный взрыв",""
"IceShards_Mod_FrostExplosion_1Description","При поражении <me_Freeze>замороженного</> врага вызывается взрыв, наносящий <b>{Damage}|round()</> <me_ColdDam>урона холодом</> в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.",""
"IceShards_Mod_Homing_0Name","Преследование",""
"IceShards_Mod_Homing_1Description","<b>+{HomingAccMod_UI}|fmt(min_frac=0,max_frac=1)</> силы преследования снарядов.\r\n<b>-{ProjSpdMod_UI}|round()%</> скорости полета снарядов.",""
"IceShards_Mod_Chaos_0Name","Хаос",""
"IceShards_Mod_Chaos_1Description","Снаряды выпускаются в случайных направлениях и движутся по спирали наружу.\r\n<b>+{ProjAmountMod_UI}|round()%</> выпускаемых снарядов.\r\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"IceShards_Mod_Chaos_2DescriptionShort","Снаряды выпускаются в случайных направлениях и движутся по спирали наружу.",""
"IceShards_Mod_Orbit_0Name","Кружение",""
"IceShards_Mod_Orbit_1Description","Преследующие снаряды без цели возвращаются и кружат вокруг вас.\n<b>+{ProjRangeMod_UI}|round()%</> дальности полета снарядов.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"IceShards_Mod_Orbit_2DescriptionShort","Преследующие снаряды без цели возвращаются и кружат вокруг вас.\n<b>+{ProjRangeMod_UI}|round()%</> дальности полета снарядов.",""
"IceShards_Mod_InfusedShard_0Name","Сосульки",""
"IceShards_Mod_InfusedShard_1Description","Наносит дополнительный <me_ColdDam>урон холодом</> в размере <b>{InfusedDmg}|fmt(min_frac=0,max_frac=1)%</> от <me_Reserve>занятой</> энергии.",""
"IceShards_Mod_EnhancedAilment_0Name","Хворь","unused"
"IceShards_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|floor()%</> добавляемого базового <me_AilmentChance>шанса хвори</>.","unused"
"IceShards_Mod_LongShot_0Name","Дальность","unused"
"IceShards_Mod_LongShot_1Description","Наносит до <b>{DmgMod_UI}%</> больше урона в зависимости от дистанции. Предельное увеличение достигается при <b>{DistMod}|fmt(min_frac=1,max_frac=1)м</>.","unused"
"IceNova_0Name","Кольцо льда",""
"IceNova_1Description","Наносит <b>{data.Damage}|round()</> <me_ColdDam>урона холодом</> в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области вокруг.\n<b>{data.FreezeChance_UI}|round()%</> шанса <me_Freeze>заморозки</> на <b>{data.FreezeDuration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"IceNova_Mod_CooldownCharge_0Name","Заряд",""
"IceNova_Mod_CooldownCharge_1Description","<b>+{CDChargeMod}|round()</> {CDChargeMod}|plural(one=заряд,other=заряда) умения.",""
"IceNova_Mod_FlashFreeze_0Name","Мгновенная заморозка",""
"IceNova_Mod_FlashFreeze_1Description","Всегда замораживает.\n<b>+{FreezeDurationMod}|fmt(min_frac=0,max_frac=1) сек.</> базовой длительности <me_Freeze>заморозки</>\n<b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности перезарядки.\nТеги: +<me_Disruption>Прерывание</>",""
"IceNova_Mod_FlashFreeze_2DescriptionShort","Всегда замораживает.\n<b>+{FreezeDurationMod}|fmt(min_frac=0,max_frac=1) сек.</> базовой длительности <me_Freeze>заморозки</>, <b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности перезарядки.",""
"IceNova_Mod_EnhancedFreeze_0Name","Ледниковая заморозка",""
"IceNova_Mod_EnhancedFreeze_1Description","<b>+{DmgMod_UI}|round()%</> урона.\n<b>+{FreezeDurationMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности <me_Freeze>заморозки</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"IceNova_Mod_EnhancedAilment_0Name","Хворь",""
"IceNova_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> добавляемого базового <me_AilmentChance>шанса хвори</>.",""
"IceNova_Mod_DoubleCast_0Name","Двойное сотворение",""
"IceNova_Mod_DoubleCast_1Description","Кольцо льда применяется повторно.\n<b>-{FreezeDurationMod_UI}|round()%</> базового шанса <me_Freeze>заморозки</>.\n<b>-{DmgMod_UI}|round()%</> урона и <me_AilmentChance>шанса хвори</>.\n<b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности перезарядки.",""
"IceNova_Mod_DoubleCast_2DescriptionShort","Кольцо льда применяется повторно.",""
"IceNova_Mod_FrostExplosion_0Name","Морозный взрыв",""
