"Key","SourceString","DevComment"
"StormAttunement_0Name","Гармония катаклизмов",""
"StormAttunement_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{LightDmgCurrent}|floor()%</> <me_LightningDam>урона молнией</>\n<b>+{ColdDmgCurrent}|floor()%</> <me_ColdDam>урона холодом</>\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{LightDmgNext}|floor()%</> <me_LightningDam>урона молнией</>\n<b>+{ColdDmgNext}|floor()%</> <me_ColdDam>урона холодом</>",""
"StormAttunement_Feat_Weapon_0Name","Урон оружием",""
"StormAttunement_Feat_Weapon_1Description","<b>+{WeaponDmg}|floor()%</> <me_ColdDam>урона холодом</> и <me_LightningDam>молнией</> от оружия\n<b>+{AttackSpeed}|floor()%</> скорости атаки",""
"StormAttunement_Feat_Spell_0Name","Урон чарами",""
"StormAttunement_Feat_Spell_1Description","<b>+{SpellDmg}|floor()%</> <me_ColdDam>урона холодом</> и <me_LightningDam>молнией</> от чар\n<b>+{CastSpeed}|floor()%</> скорости сотворения",""
"StormAttunement_Feat_Projectile_0Name","Урон снарядов",""
"StormAttunement_Feat_Projectile_1Description","<b>+{ProjDmg}|floor()%</> урона снарядов",""
"ArcaneInflux_0Name","Магический поток",""
"ArcaneInflux_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{EnergyRegenCurrent}|floor()%</> силы регенерации энергии\n<b>+{EnergyCurrent}|floor()%</> энергии\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{EnergyRegenNext}|floor()%</> силы регенерации энергии\n<b>+{EnergyNext}|floor()%</> энергии",""
"ArcaneInflux_Feat_MaxMP_0Name","Энергия",""
"ArcaneInflux_Feat_MaxMP_1Description","<b>+{MaxMP}|floor()</> максимальной энергии\nОткрывает <me_EtherShield>Эфирный щит</>\n\n<me_EtherShield>Эфирный щит</>: при наличии <b>50%</> энергии или выше <b>10%</> получаемого урона поглощается энергией",""
"ArcaneInflux_Feat_ReservedMP_0Name","Занимание энергии",""
"ArcaneInflux_Feat_ReservedMP_1Description","<me_Reserve>Занимает</> <b>{ReservedMP}%</> энергии.\nДает <b>{Ratio}%</> от <me_Reserve>занимаемой</> энергии в виде регенерации энергии",""
"ArcaneInflux_Feat_MPRegen_0Name","Регенерация энергии",""
"ArcaneInflux_Feat_MPRegen_1Description","<b>+{MPRegen}|floor()%</> силы регенерации энергии",""
"RagingMind_0Name","Бушующий разум",""
"RagingMind_1Description","<b_gold>Уровень {CurrentLevel}:</>\nОткрывает <me_SpellRage>Ярость магии</>.\n<b>+{DmgCurrent}|floor()%</> урона чарами\n<b>+{CSCurrent}|floor()%</> скорости сотворения\n\n<b_gold>Уровень {NextLevel}:</>\nОткрывает <me_SpellRage>Ярость магии</>.\n<b>+{DmgNext}|floor()%</> урона чарами\n<b>+{CSNext}|floor()%</> скорости сотворения\n\n<me_SpellRage>Ярость магии</>: <me_Rage>ярость</> также дает:\n<b>+1%</> общего урона чарами за каждый заряд\n<b>+1%</> скорости сотворения за каждый заряд",""
"RagingMind_Feat_CastSpeed_0Name","Скорость сотворения",""
"RagingMind_Feat_CastSpeed_1Description","<b>+8%</> скорости сотворения",""
"RagingMind_Feat_Spell_0Name","Урон чарами","unused"
"RagingMind_Feat_Spell_1Description","<b>+12%</> урона чарами","unused"
"RagingMind_Feat_Energy_0Name","Энергия","unused"
"RagingMind_Feat_Energy_1Description","Каждые <b>2</> секунды восстанавливает <b>2</> энергии за каждый заряд <me_Rage>ярости</>","unused"
"RagingMind_Feat_Ailment_0Name","Шанс хвори",""
"RagingMind_Feat_Ailment_1Description","<b>+30%</> <me_AilmentChance>шанса хвори</> от чар",""
"RagingMind_Feat_Crit_0Name","Крит. шанс",""
"RagingMind_Feat_Crit_1Description","<b>+30%</> шанса <me_Critical>критического удара</> чарами",""
"StormGuidance_0Name","Штормовое наставление",""
"StormGuidance_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> урона снарядами\n<b>+{HomingCurrent}|floor()%</> силы преследования снарядов\n<b>+{RangeCurrent}|floor()%</> дальности полета снарядов\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> урона снарядами\n<b>+{HomingNext}|floor()%</> силы преследования снарядов\n<b>+{RangeNext}|floor()%</> дальности полета снарядов",""
"StormGuidance_Feat_Homing_0Name","Преследование",""
"StormGuidance_Feat_Homing_1Description","<b>+30%</> силы преследования снарядов\n<b>-20%</> скорости полета снарядов",""
"StormGuidance_Feat_Penetration_0Name","Пронзание",""
"StormGuidance_Feat_Penetration_1Description","<b>+30%</> <me_Penetration>пронзания</> снарядами",""
"StormGuidance_Feat_Speed_0Name","Скорость",""
"StormGuidance_Feat_Speed_1Description","<b>+30%</> скорости полета снарядов\n<b>+20%</> дальности полета снарядов",""
"StormAffliction_0Name","Грозовое бедствие",""
