"Key","SourceString","DevComment"
"LeapSlam_0Name","Прыжок",""
"LeapSlam_1Description","Совершает прыжок к цели, нанося <b>{data.LandingDamage}|round()</> дробящего урона в <b>{data.LandingRadius_UI}|fmt(min_frac=1,max_frac=1)м</> области при приземлении.",""
"LeapSlam_Mod_CooldownCharge_0Name","Заряд",""
"LeapSlam_Mod_CooldownCharge_1Description","<b>+{CDCharge}|round()</> {CDCharge}|plural(one=заряд,other=заряда) умения.\n<b>+{BaseCD}|round() сек.</> длительности перезарядки.",""
"LeapSlam_Mod_EnhancedStagger_0Name","Вастега",""
"LeapSlam_Mod_EnhancedStagger_1Description","<b>+{MoreDmg_UI}|round()%</> урона.\nПолучает повторный <b>{Chance_UI}|round()%</> шанс на оглушение.",""
"LeapSlam_Mod_EnhancedStagger_2DescriptionShort","Получает повторный шанс оглушения в <b>{Chance_UI}|round()%</>.",""
"LeapSlam_Mod_ForcefulJump_0Name","Сейсмический прыжок",""
"LeapSlam_Mod_ForcefulJump_1Description","<b>+{Dmg_UI}|round()%</> урона при приземлении.\nНаносит <b>{LaunchDmg}|round()</> дробящего урона в <b>{data.LaunchRadius_UI}|fmt(min_frac=1,max_frac=1)м</> области вокруг начальной позиции.",""
"LeapSlam_Mod_ForcefulJump_2DescriptionShort","Наносит <b>{LaunchDmg}|round()</> дробящего урона в <b>{data.LaunchRadius_UI}|fmt(min_frac=1,max_frac=1)m</> области вокруг начальной позиции.",""
"LeapSlam_Mod_Leap_0Name","Отход",""
"LeapSlam_Mod_Leap_1Description","<b>-{MPCost_UI}|round()%</> расхода энергии.\n<b>-{CDMod_UI}|round()%</> длительности перезарядки.\nПрыжок не наносит урона.\nТеги: -Усталость",""
"LeapSlam_Mod_RageGain_0Name","Ярость",""
"LeapSlam_Mod_RageGain_1Description","Дает <b>{Rage}|round()</> <b>{Rage}|plural(one=ярость,other=ярости)</> при поражении врага при приземлении.",""
"LeapSlam_Mod_SlamAttack_0Name","Удар по земле",""
"LeapSlam_Mod_SlamAttack_1Description","Теперь наносит <b>{WeaponDmg_UI}|round()%</> урона оружием при приземлении.\nТребует ближнее оружие или посох.",""
"LeapSlam_Mod_SlamAttack_4Ability_Description","Совершает прыжок к цели, нанося <b>{data.WeaponDmg_UI}|round()%</> урона оружием в <b>{data.LandingRadius_UI}|fmt(min_frac=1,max_frac=1)м</> области при приземлении.",""
"LeapSlam_Mod_Stun_0Name","Ошеломление",""
"LeapSlam_Mod_Stun_1Description","Начало прыжка и падение с <b>{StunChance_UI}|round()%</> шансом ошеломляет врагов на <b>{StunDuration}|fmt(min_frac=1,max_frac=1) сек.</>\n<b>+{BaseCD}|round() сек.</> длительности перезарядки.",""
"LeapSlam_Mod_Stun_2DescriptionShort","Начало прыжка и падение с <b>{StunChance_UI}|round()%</> шансом ошеломляет врагов на <b>{StunDuration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"Stomp_0Name","Топот",""
"Stomp_1Description","С силой бьет по земле, нанося <b>{data.Dmg}|round()</> дробящего урона в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области вокруг и ошеломляя врагов на <b>{data.StunDuration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"Stomp_Mod_Overwhelm_0Name","Сокрушение",""
"Stomp_Mod_Overwhelm_1Description","Тратит все <b>сокрушение</> и получает <b>+{DmgMod_UI}|round()%</> урона, <b>+{RadiusMod_UI}|fmt(min_frac=1,max_frac=1)м</> области и <b>+{StunDuration}|fmt(min_frac=1,max_frac=1) сек.</> длительности ошеломления.\nТеги: +Сокрушение",""
"Stomp_Mod_Overwhelm_2DescriptionShort","Тратит все <b>сокрушение</> и получает <b>+{DmgMod_UI}|round()%</> урона, <b>+{RadiusMod_UI}|fmt(min_frac=1,max_frac=1)м</> области и <b>+{StunDuration}|fmt(min_frac=1,max_frac=1) сек.</> длительности ошеломления.",""
"Stomp_Mod_EnhancedAilment_0Name","Хворь",""
"Stomp_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> базового шанса хвори.\n<b>-{DmgMod_UI}|round()%</> урона.",""
"Stomp_Mod_RagingStomp_0Name","Яростный топот",""
"Stomp_Mod_RagingStomp_1Description","При применении дает <b>{RageGain}|round()</> <b>{RageGain}|plural(one=ярость,other=ярости)</>.\n<b>+{AilmentMod_UI}|round()%</> шанса хвори за каждый заряд ярости.",""
"Stomp_Mod_Slow_0Name","Замедление",""
"Stomp_Mod_Slow_1Description","Пораженные враги замедляются на <b>{Slow_UI}|round()%</> в течение <b>{SlowDuration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"Stomp_Mod_EnhancedStun_0Name","Ошеломление",""
"Stomp_Mod_EnhancedStun_1Description","<b>+{StunDurationMod}|fmt(min_frac=1,max_frac=1) сек.</> длительности ошеломления.\n<b>-{DmgMod_UI}|round()%</> урона.\n<b>+{CDMod}|round() сек.</> длительности перезарядки.\nТеги: +Прерывание",""
"Stomp_Mod_EnhancedStun_2DescriptionShort","<b>+{StunDurationMod}|fmt(min_frac=1,max_frac=1) сек.</> длительности ошеломления.\n<b>-{DmgMod_UI}|round()%</> урона.\n<b>+{CDMod}|round() сек.</> длительности перезарядки.",""
"Stomp_Mod_QuickStomp_0Name","Быстрый топот",""
"Stomp_Mod_QuickStomp_1Description","Может применяться во время поддержания других умений.",""
"Stomp_Mod_Interrupt_0Name","Прерывание",""
"Stomp_Mod_Interrupt_1Description","При поражении поддерживающего умение врага длительность ошеломления повышается на <b>0.4 сек.</>, а перезарядка снижается на <b>{CDRefresh}%</> (срабатывает единожды).",""
"Stomp_Mod_SappingStomp_0Name","Истощающий топот",""
"Stomp_Mod_SappingStomp_1Description","Пораженные враги теряют <b>{MPRemoval}</> энергии.",""
"HeavyAttack_0Name","Тяжелая атака",""
"HeavyAttack_1Description","Наносит <b>{data.WeaponDmg_UI}|round()%</> урона оружием.\nТратит все <b>сокрушение</> и наносит на <b>50%</> больше урона.\nБлижний бой: <b>2.5м</> дальности.\nДальний бой: <b>+100%</> скорости полета снарядов. Пробивает <b>+1</> врага.",""
"HeavyAttack_Mod_Shatter_0Name","Землетрясение",""
"HeavyAttack_Mod_Shatter_1Description","<b>+{DmgPen_UI}%</> пробивания снижения урона.\nПри попадании снижает броню врагов на <b>-{ArmorRed}|round()</> в течение <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</> (не суммируется).",""
"HeavyAttack_Mod_SecondHit_0Name","Второй удар",""
"HeavyAttack_Mod_SecondHit_1Description","Бьет сразу <b>2</> раза.\n<b>+20%</> времени на атаку.\n<b>-30%</> урона.\nТребует ближнее оружие.",""
"HeavyAttack_Mod_SecondHit_2DescriptionShort","Бьет сразу <b>2</> раза. <b>+20%</> времени на атаку.\nТребует ближнее оружие.",""
"HeavyAttack_Mod_RagingDamage_0Name","Яростная атака",""
"HeavyAttack_Mod_RagingDamage_1Description","<b>+{DmgRageMod_UI}%</> урона за каждый заряд <b>ярости</>.",""
"HeavyAttack_Mod_ProjectilePenetration_0Name","Пробивание",""
"HeavyAttack_Mod_ProjectilePenetration_1Description","<b>+{ProjPen}</> пробивания снарядами.\n<b>+{ProjSpeedMod_UI}%</> скорости полета снарядов.\nТребует дальнее оружие.",""
"HeavyAttack_Mod_StaggeringForce_0Name","Ошеломляющая сила",""
"HeavyAttack_Mod_StaggeringForce_1Description","<b>+{DmgMod_UI}%</> урона.\n<b>{StunChance_UI}|round()%</> шанса ошеломления на <b>{StunDuration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"HeavyAttack_Mod_WindUp_0Name","Разрушение",""
"HeavyAttack_Mod_WindUp_1Description","<b>+{DmgMod_UI}%</> урона.\n<b>-{ASMod_UI}%</> скорости атаки.",""
"DoomHorn_0Name","Горн судьбы",""
"DoomHorn_1Description","Зов вашего горна ослабляет врагов в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\nСопротивления врагов снижаются на <b>-{data.ResRed_UI}|round()%</> в течение <b>{data.DebuffDuration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"DoomHorn_Mod_ThunderingHorn_0Name","Громовой горн",""
"DoomHorn_Mod_ThunderingHorn_1Description","При прямом применении наносит <b>{Damage}|round()</> дробящего урона с <b>25%</> шансом хвори.\n<b>-{ActionSpeedMod_UI}|round()%</> скорости сотворения.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"DoomHorn_Mod_ThunderingHorn_4Ability_Description","Зов вашего горна ранит и ослабляет врагов в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\nПри прямом применении наносит <b>{data.Damage}|round()</> дробящего урона в <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\nСопротивления врагов снижаются на <b>-{data.ResRed_UI}|round()%</> в течение <b>{data.DebuffDuration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"DoomHorn_Mod_Intensity_0Name","Интенсивность",""
"DoomHorn_Mod_Intensity_1Description","Громовой горн наносит на <b>{DmgMod_UI}|round()%</> больше урона по врагам в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.\n<b>+{MPCostMod}</> расхода энергии.",""
"DoomHorn_Mod_Intensity_2DescriptionShort","Наносит на <b>{DmgMod_UI}|round()%</> больше урона врагам в <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)м</> области.",""
"DoomHorn_Mod_Frail_0Name","Болезненность",""
"DoomHorn_Mod_Frail_1Description","Горн судьбы дополнительно снижает сопротивления врагов на <b>{ResRedMod_UI}|round()%</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"DoomHorn_Mod_Siphon_0Name","Вытягивание жизни",""
"DoomHorn_Mod_Siphon_1Description","После поражения врага горном судьбы ваш следующий удар по этому врагу другим умением наносит <b>{Damage}|round()</> урона здоровьем.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"DoomHorn_Mod_Siphon_2DescriptionShort","После поражения врага горном судьбы ваш следующий удар по этому врагу другим умением наносит <b>{Damage}|round()</> урона здоровьем.",""
"DoomHorn_Mod_CrushingSpirit_0Name","Крушащий дух",""
"DoomHorn_Mod_CrushingSpirit_1Description","Когда вы поражаете врага под действием горна судьбы, он получает <b>{Dmg}|round()</> урона духом.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"DoomHorn_Mod_CrushingSpirit_2DescriptionShort","Когда вы поражаете врага под действием горна судьбы, он получает <b>{Dmg}|round()</> урона духом.",""
"DoomHorn_Mod_FollowUp_0Name","Воодушевление",""
"DoomHorn_Mod_FollowUp_1Description","При прямом применении повышает скорость атаки и сотворения на <b>{ASMod_UI}|round()%</> и урон на <b>{DmgMod_UI}|round()%</> в течение <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"DoomHorn_Mod_LongRange_0Name","Дальность",""
"DoomHorn_Mod_LongRange_1Description","<b>+{RadiusMod_UI}|fmt(min_frac=1,max_frac=1)м</> области.\n<b>-{CSMod_UI}|round()%</> скорости сотворения.",""
"Barrage_0Name","Град ударов",""
"Barrage_1Description","После небольшой подготовки атакует <b>5</> раз, каждым ударом нанося <b>{data.WeaponDmg_UI}|round()% урона оружием</>.\r\nТребует кинжал, меч, копье или дальнее оружие.\nОтменяется движением.",""
"Barrage_Mod_Punish_0Name","Наказание",""
"Barrage_Mod_Punish_1Description","Наносит на <b>{DmgMod_UI}|round()%</> больше урона по выведенным из строя или поддерживающим умение врагам",""
"Barrage_Mod_EnhancedAilment_0Name","Хворь",""
"Barrage_Mod_EnhancedAilment_1Description","Первая атака получает <b>+30%</> базового шанса хвори.\n<b>+{AilmentMoreMod_UI}|round()%</> шанса хвори.",""
"Barrage_Mod_EnhancedAilment_2DescriptionShort","Первая атака получает <b>+30%</> базового шанса хвори.",""
"Barrage_Mod_RampUp_0Name","Наращивание",""
"Barrage_Mod_RampUp_1Description","Каждая последующая атака наносит на <b>{DmgMod_UI}|round()%</> больше урона с <b>{AilmentMod_UI}|round()%</> большим шансом хвори, чем предыдущая.",""
"Barrage_Mod_ExtendedBarrage_0Name","Продлевание",""
"Barrage_Mod_ExtendedBarrage_1Description","<b>+3</> дополнительные атаки.",""
"Barrage_Mod_ProjectilePenetration_0Name","Пробивание",""
"Barrage_Mod_ProjectilePenetration_1Description","Снаряды пробивают <b>+{ProjPenMod}|round()</> {ProjPenMod}|plural(one=врага,other=врагов).\n<b>+{ProjSpeedMod_UI}|round()%</> скорости полета снарядов.\nТребует дальнее оружие.",""
"Barrage_Mod_EnhancedPrecision_0Name","Точность",""
"Barrage_Mod_EnhancedPrecision_1Description","<b>+{CritMod_UI}|round()%</> шанса критического удара.",""
"Barrage_Mod_Lunge_0Name","Выпад",""
"Barrage_Mod_Lunge_1Description","Теперь атакует одиночным быстрым выпадом.\nНаносит на <b>{DmgMod_UI}|round()%</> больше урона по поддерживающим умение врагам, оглушая их на <b>1 сек.</> и возвращая <b>{MPRefund_UI}|round()%</> потраченной на умение энергии.\nТребует кинжал, меч или копье.",""
"Barrage_Mod_Riposte_0Name","Контратака",""
"Barrage_Mod_Riposte_1Description","Когда вы получаете удар от врага, <b>{StoredDmg_UI}|round()%</> получаемого урона сохраняется и накапливается, вплоть до <b>{MaxDmg}|round()</>.\nПри применении высвободождает накопленный урон и наносит его как колющий урон.",""
"SweepingStrike_0Name","Сметающий удар",""
"SweepingStrike_1Description","Проводит круговую атаку, нанося <b>{data.WeaponDmg_UI}|round()%</> урона оружием в <b>4м</> области вокруг.\nТребует ближнее оружие.",""
"SweepingStrike_Mod_Whirlwind_0Name","Вихрь",""
"SweepingStrike_Mod_Whirlwind_1Description","Умение становится поддерживаемым, нанося <b>{WeaponDmg_UI}|fmt(min_frac=0,max_frac=1)%</> урона оружием в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области.\n<b>-{MSMod_UI}|fmt(min_frac=0,max_frac=1)%</> скорости движения при поддержании.\nТеги: +Поддерживаемое",""
"SweepingStrike_Mod_RampUp_0Name","Наращивание",""
"SweepingStrike_Mod_RampUp_1Description","За <b>3 сек.</> поддержания умения урон повышается вплоть до <b>{DmgRampUp_UI}|round()%</> и область поражения повышается вплоть до <b>{AreaRampUp_UI}|round()%</>.\n<b>+{MPCostMod}|round()</> расхода энергии в секунду.",""
"SweepingStrike_Mod_RampUp_2DescriptionShort","За <b>3 сек.</> поддержания умения урон повышается вплоть до <b>{DmgRampUp_UI}|round()%</> и область поражения повышается вплоть до <b>{AreaRampUp_UI}|round()%</>.",""
"SweepingStrike_Mod_RageGain_0Name","Ярость",""
"SweepingStrike_Mod_RageGain_1Description","Дает <b>ярость</> при ударе, но не чаще раза в <b>{RageGainCD}|fmt(min_frac=1,max_frac=1) сек.</>\n<b>+{DmgMod_UI}|round()%</> урона за каждый заряд <b>ярости</>.\n<b>+{MPCostMod}|round()</> расхода энергии.\nВихрь: <b>+{MPTickCostMod}|round()</> расхода энергии в секунду.",""
"SweepingStrike_Mod_RageGain_2DescriptionShort","Дает <b>ярость</> при ударе, но не чаще раза в <b>{RageGainCD}|fmt(min_frac=1,max_frac=1) сек.</>\n<b>+{DmgMod_UI}|round()%</> урона за каждый заряд <b>ярости</>.",""
"SweepingStrike_Mod_ConcentratedFury_0Name","Яростная атака",""
"SweepingStrike_Mod_ConcentratedFury_1Description","Тратит всю <b>ярость</> и наносит на <b>{DmgRageMod_UI}|round()%</> больше урона за каждый потраченный заряд <b>ярости</>.",""
"SweepingStrike_Mod_ConcentratedFury_2DescriptionShort","Тратит всю <b>ярость</> и наносит на <b>{DmgRageMod_UI}|round()%</> больше урона за каждый потраченный заряд <b>ярости</>.",""
"SweepingStrike_Mod_DeadlyReach_0Name","Смертельный охват",""
"SweepingStrike_Mod_DeadlyReach_1Description","<b>+{DmgEdgeMod_UI}|round()%</> урона по краям.",""
"SweepingStrike_Mod_DeadlyReach_2DescriptionShort","<b>+{DmgEdgeMod_UI}|round()%</> урона по краям.",""
"SweepingStrike_Mod_Overwhelm_0Name","Сокрушение",""
"SweepingStrike_Mod_Overwhelm_1Description","Тратит все <b>сокрушение</> и получает <b>+{DmgMod_UI}|round()%</> урона и <b>+{AilmentMod_UI}|round()%</> базового шанса хвори.\nТеги: +Сокрушение",""
"SweepingStrike_Mod_Overwhelm_2DescriptionShort","Тратит все <b>сокрушение</> и получает <b>+{DmgMod_UI}|round()%</> урона и <b>+{AilmentMod_UI}|round()%</> базового шанса хвори.",""
"SweepingStrike_Mod_Siphon_0Name","Вытягивание жизни",""
"SweepingStrike_Mod_Siphon_1Description","Наносит <b>{VitDmg}|round()</> урона здоровьем.\nПораженные враги получают <b>{VitDot}|round()</> урона здоровьем каждую секунду, а их сопротивление кровотечению снижается на <b>15%</> в течение <b>4 сек.</>\n<b>-{DmgMod_UI}|round()%</> урона оружием.\n<b>+{MPCostMod}|round()</> расхода энергии.\nВихрь: <b>+{MPTickCostMod}|round()</> расхода энергии в секунду.",""
"SweepingStrike_Mod_Siphon_2DescriptionShort","Пораженные враги получают <b>{VitDot}|round()</> урона здоровьем каждую секунду, а их сопротивление кровотечению снижается на <b>15%</> в течение <b>4 сек.</>",""
"SweepingStrike_Mod_Sunder_0Name","Замедление",""
"SweepingStrike_Mod_Sunder_1Description","Пораженные враги замедляются на <b>{Slow_UI}|round()%</>, а их броня снижается на <b>{ArmorReduction}|round()</> в течение <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</> (не суммируется).\n<b>+{MPCostMod}|round()</> расхода энергии.\nВихрь: <b>+{MPTickCostMod}|round()</> расхода энергии в секунду.",""
"SweepingStrike_Mod_Sunder_2DescriptionShort","Пораженные враги замедляются на <b>{Slow_UI}|round()%</>, а их броня снижается на <b>{ArmorReduction}|round()</> в течение <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</> (не суммируется).",""
"SweepingStrike_Mod_LastingSweep_0Name","Остаточный взмах",""
"SweepingStrike_Mod_LastingSweep_1Description","После окончания применения умения вихрь продолжает наносить <b>{Dmg_UI}|round()%</> урона оружием каждые <b>0.25 сек.</> в течение <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"SweepingStrike_Mod_LastingSweep_2DescriptionShort","После окончания применения умения вихрь продолжает наносить <b>{Dmg_UI}|round()%</> урона оружием каждые <b>0.25 сек.</> в течение <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"SweepingStrike_Mod_LastingWhirl_0Name","Остаточный вихрь",""
"SweepingStrike_Mod_LastingWhirl_1Description","После окончания поддерживания умения вихрь остается на <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</> и наносит на <b>{DmgMod_UI}|round()%</> меньше урона.\nЭффекты от Наращивания снижаются со временем.\n<b>+{MPTickCostMod}|round()</> расхода энергии в секунду.",""
"RainOfArrows_0Name","Ливень стрел",""
"RainOfArrows_1Description","Множественные волны стрел падают с неба, нанося <b>{data.WeaponDmg_UI}|round()%</> урона оружием в <b>5м</> области каждые <b>0.6</> сек. \nЗапускает <b>{data.Repetitions}|round()</> волны стрел.\nТребует лук.",""
"RainOfArrows_Mod_Downpour_0Name","Град",""
"RainOfArrows_Mod_Downpour_1Description","<b>+{AddedReps}|round()</> {AddedReps}|plural(one=волна стрел,other=волны стрел).\n<b>-{DmgMod_UI}|round()%</> урона.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"RainOfArrows_Mod_EnhancedAilment_0Name","Хворь",""
"RainOfArrows_Mod_EnhancedAilment_1Description","<b>+10%</> базового шанса хвори.\n<b>+{AilmentMoreMod_UI}|round()%</> шанса хвори.\n<b>-{DmgMod_UI}|round()%</> урона.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"RainOfArrows_Mod_Slow_0Name","Замедление",""
"RainOfArrows_Mod_Slow_1Description","Пораженные враги замедляются на <b>{Slow_UI}|round()%</> в течение <b>1 сек.</> (не суммируется).\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"RainOfArrows_Mod_Slow_2DescriptionShort","Пораженные враги замедляются на <b>{Slow_UI}|round()%</> в течение <b>1 сек.</> (не суммируется).",""
"RainOfArrows_Mod_Overwhelm_0Name","Сокрушение",""
"RainOfArrows_Mod_Overwhelm_1Description","Тратит все <b>сокрушение</> и наносит первой волной на <b>{DmgMod_UI}|round()%</> больше урона, также опутывая врагов на <b>{Duration}|fmt(min_frac=1,max_frac=1) сек.</>",""
"RainOfArrows_Mod_Pincushion_0Name","Игольница",""
