"Key","SourceString","DevComment"
"WeaponProficiency_0Name","Владение оружием",""
"WeaponProficiency_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> урона оружием\n<b>+{ASCurrent}|floor()%</> скорости атаки\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> урона оружием\n<b>+{ASNext}|floor()%</> скорости атаки",""
"WeaponProficiency_Feat_AttackSpeed_0Name","Скорость атаки",""
"WeaponProficiency_Feat_AttackSpeed_1Description","<b>+{AttackSpeed}|floor()%</> скорости атаки",""
"WeaponProficiency_Feat_Damage_0Name","Урон оружием","unused"
"WeaponProficiency_Feat_Damage_1Description","<b>+{Dmg}|floor()%</> урона оружием","unused"
"WeaponProficiency_Feat_Ailment_0Name","Шанс хвори",""
"WeaponProficiency_Feat_Ailment_1Description","<b>+{Ailment}|floor()%</> шанса хвори от оружия",""
"WeaponProficiency_Feat_Crit_0Name","Крит. шанс",""
"WeaponProficiency_Feat_Crit_1Description","<b>+30%</> шанса критического удара оружием",""
"BattleHardened_0Name","Крепкая закалка",""
"BattleHardened_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{FlatHPCurrent}|floor()</> здоровья\n<b>+{IncrHPCurrent}%</> здоровья\n<b>+{IncrArmorCurrent}%</> брони\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{FlatHPNext}|floor()</> здоровья\n<b>+{IncrHPNext}%</> здоровья\n<b>+{IncrArmorNext}%</> брони",""
"BattleHardened_Feat_Armor_0Name","Броня",""
"BattleHardened_Feat_Armor_1Description","<b>+{Armor}|floor()%</> брони",""
"BattleHardened_Feat_Health_0Name","Здоровье",""
"BattleHardened_Feat_Health_1Description","<b>+{MaxHP}|floor()%</> здоровья",""
"BattleHardened_Feat_HealthRegen_0Name","Регенерация",""
"BattleHardened_Feat_HealthRegen_1Description","<b>+{HPRegen}|floor()%</> силы регенерации здоровья",""
"HeartOfBattle_0Name","Сердце битвы",""
"HeartOfBattle_1Description","<b_gold>Уровень {CurrentLevel}:</>\nЗа каждого врага в <b>{Radius}|fmt(min_frac=1,max_frac=1)м</> области повышает урон на <b>{Dmg}|round()%</>, вплоть до <b>{LimitCurrent}|round()%</>\n\n<b_gold>Уровень {NextLevel}:</>\nЗа каждого врага в <b>{Radius}|fmt(min_frac=1,max_frac=1)м</> области повышает урон на <b>{Dmg}|round()%</>, вплоть до <b>{LimitNext}|round()%</>",""
"HeartOfBattle_Feat_Damage_0Name","Урон",""
"HeartOfBattle_Feat_Damage_1Description","Дает еще <b>+{Dmg}|round()%</> урона за каждого врага в области. Предел увеличения урона остается таким же",""
"HeartOfBattle_Feat_Limit_0Name","Предел",""
"HeartOfBattle_Feat_Limit_1Description","<b>+{Limit}|round()%</> предела повышения урона",""
"HeartOfBattle_Feat_Armor_0Name","Броня",""
"HeartOfBattle_Feat_Armor_1Description","Дает <b>+{Armor}|round()%</> брони за каждого врага в области, вплоть до <b>{Limit_UI}|round()%</> (половина от предела повышения урона)",""
"BattleRage_0Name","Боевая ярость",""
"BattleRage_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> общего урона\n<b>+{RageEffectCurrent}|floor()%</> силы эффекта ярости\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> общего урона\n<b>+{RageEffectNext}|floor()%</> силы эффекта ярости",""
"BattleRage_Feat_RageOnKill_0Name","Ярость при убийстве",""
"BattleRage_Feat_RageOnKill_1Description","При убийстве вы с <b>{Chance}%</> шансом получаете <b>{RageAmount}</> ярости",""
"BattleRage_Feat_RageAmount_0Name","Предел ярости",""
"BattleRage_Feat_RageAmount_1Description","<b>+{MaxRage}</> предела ярости",""
"BattleRage_Feat_RageOverflow_0Name","Переполнение ярости",""
"BattleRage_Feat_RageOverflow_1Description","Когда ярость переполняется, вы исцеляетесь на <b>{Heal}</>",""
"MartialExpert_0Name","Ратное мастерство",""
"MartialExpert_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> физического урона\n<b>+{AilmentCurrent}|floor()%</> шанса кровотечения и оглушения\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> физического урона\n<b>+{AilmentNext}|floor()%</> шанса кровотечения и оглушения",""
"MartialExpert_Feat_Pierce_0Name","Колющий урон",""
"MartialExpert_Feat_Pierce_1Description","<b>+10%</> колющего урона и силы кровотечения",""
"MartialExpert_Feat_Strike_0Name","Дробящий урон",""
"MartialExpert_Feat_Strike_1Description","<b>+10%</> дробящего урона и силы оглушения",""
"MartialExpert_Feat_Damage_0Name","Физический урон",""
"MartialExpert_Feat_Damage_1Description","<b>+10%</> физического урона",""
"CombatRush_0Name","Боевая лихорадка",""
"CombatRush_1Description","<b_gold>Уровень {CurrentLevel}:</>\nПри поражении врага умением ближнего боя повышает урон на <b>{DmgCurrent}|floor()%</> и скорость движения на <b>20%</> в течение <b>1 сек.</>\n\n<b_gold>Уровень {NextLevel}:</>\nПри поражении врага умением ближнего боя повышает урон на <b>{DmgNext}|floor()%</> и скорость движения на <b>20%</> в течение <b>1 сек.</>",""
"CombatRush_Feat_Armor_0Name","Броня",""
"CombatRush_Feat_Armor_1Description","Действие боевой лихорадки повышает броню на <b>15%</>",""
"CombatRush_Feat_Damage_0Name","Урон",""
"CombatRush_Feat_Damage_1Description","Действие боевой лихорадки повышает урон оружием на <b>12%</>",""
"CombatRush_Feat_Regeneration_0Name","Регенерация",""
"CombatRush_Feat_Regeneration_1Description","Действие боевой лихорадки повышает восстановление здоровья на <b>15%</>",""
"VersatileDefense_0Name","Идеальная защита",""
"VersatileDefense_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{ArmorCurrent}|floor()%</> брони\n<b>+{MagicResCurrent}%</> термального и природного сопротивлений\n<b>+{DodgeCDSpdCurrent}|floor()%</> скорости перезарядки уклонения\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{ArmorNext}|floor()%</> брони\n<b>+{MagicResNext}%</> термального и природного сопротивлений\n<b>+{DodgeCDSpdNext}|floor()%</> скорости перезарядки уклонения",""
"VersatileDefense_Feat_Armor_0Name","Броня",""
"VersatileDefense_Feat_Armor_1Description","<b>+{Armor}%</> брони",""
"VersatileDefense_Feat_Dodge_0Name","Движение",""
"VersatileDefense_Feat_Dodge_1Description","<b>+{MovementCD}%</> скорости перезарядки умений движения",""
"VersatileDefense_Feat_Barrier_0Name","Барьер",""
"VersatileDefense_Feat_Barrier_1Description","<b>+{Barrier}%</> барьера при использовании щита",""
"Marksmanship_0Name","Меткая стрельба",""
"Marksmanship_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{DmgCurrent}|floor()%</> урона снарядами\n<b>+{ProjSpeedCurrent}|floor()%</> скорости полета снарядов\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{DmgNext}|floor()%</> урона снарядами\n<b>+{ProjSpeedNext}|floor()%</> скорости полета снарядов",""
"Marksmanship_Feat_Penetration_0Name","Пробивание",""
"Marksmanship_Feat_Penetration_1Description","<b>+40%</> пробивания снарядами",""
"Marksmanship_Feat_Damage_0Name","Урон",""
"Marksmanship_Feat_Damage_1Description","<b>+25%</> урона снарядами\n<b>-40%</> скорости полета снарядов",""
"Marksmanship_Feat_Range_0Name","Дальность",""
"Marksmanship_Feat_Range_1Description","<b>+25%</> скорости полета снарядов и дальности полета снарядов",""
"FrenziedRage_0Name","Бешеная ярость",""
"FrenziedRage_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{RageEffectCurrent}|floor()%</> силы эффекта ярости\n<b>+{RageDurationCurrent}|floor()%</> длительности ярости\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{RageEffectNext}|floor()%</> силы эффекта ярости\n<b>+{RageDurationNext}|floor()%</> длительности ярости",""
"FrenziedRage_Feat_Overflow_0Name","Переполнение ярости",""
"FrenziedRage_Feat_Overflow_1Description","Когда ярость переполняется, повышает колющий и дробящий урон от оружия на <b>+{WeaponDmg}</> и скорость движения на <b>{MSmod}%</> в течение <b>{Duration} сек.</>",""
"FrenziedRage_Feat_MinMax_0Name","Заряды ярости",""
"FrenziedRage_Feat_MinMax_1Description","<b>+{MinRage}</> минимальной ярости\n<b>-{MaxRage}</> предела ярости",""
"FrenziedRage_Feat_Duration_0Name","Длительность ярости",""
"FrenziedRage_Feat_Duration_1Description","<b>+{Duration}%</> длительности ярости",""
"Skullbreaker_0Name","Крошитель черепов",""
"Skullbreaker_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{StaggerChanceCurrent}|floor()%</> шанса оглушения\n<b>+{StunDurationCurrent}|floor()%</> длительности ошеломления\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{StaggerChanceNext}|floor()%</> шанса оглушения\n<b>+{StunDurationNext}|floor()%</> длительности ошеломления",""
"Skullbreaker_Feat_MaxStagger_0Name","Предельное оглушение",""
"Skullbreaker_Feat_MaxStagger_1Description","<b>+{MaxStagger}</> предела оглушения",""
"Skullbreaker_Feat_StaggerDuration_0Name","Длительность оглушения",""
"Skullbreaker_Feat_StaggerDuration_1Description","<b>+{Duration}%</> длительности оглушения",""
"Skullbreaker_Feat_StunDuration_0Name","Длительность ошеломления",""
"Skullbreaker_Feat_StunDuration_1Description","<b>+{Duration}%</> длительности ошеломления",""
"Unyielding_0Name","Непреклонность",""
"Unyielding_1Description","<b_gold>Уровень {CurrentLevel}:</>\n<b>+{HealthCurrent}%</> здоровья\n<b>+{VitalityResCurrent}|floor()%</> сопротивления здоровью\n\n<b_gold>Уровень {NextLevel}:</>\n<b>+{HealthNext}%</> здоровья\n<b>+{VitalityResNext}|floor()%</> сопротивления здоровью",""
"Unyielding_Feat_VitalityRes_0Name","Сопротивление здоровью",""
"Unyielding_Feat_VitalityRes_1Description","<b>+{VitalityRes}%</> сопротивления здоровью\n<b>+{MaxRes}%</> предельного сопротивления здоровью",""
"Unyielding_Feat_HealthPerVigor_0Name","Живучесть",""
"Unyielding_Feat_HealthPerVigor_1Description","<b>+{Health}</> здоровья за каждые <b>{Vigor}</> очков живучести",""
"Unyielding_Feat_Health_0Name","Здоровье",""
"Unyielding_Feat_Health_1Description","<b>+{Health}%</> здоровья",""
"SecondWind_0Name","Второе дыхание",""
"SecondWind_1Description","<b_gold>Уровень {CurrentLevel}:</>\nРегенерирует <b>{HealthRegenCurrent}%</> здоровья в секунду\n<b>+{IncrRegenCurrent}|floor()%</> силы регенерации здоровья\n\n<b_gold>Уровень {NextLevel}:</>\nРегенерирует <b>{HealthRegenNext}%</> здоровья в секунду\n<b>+{IncrRegenNext}|floor()%</> силы регенерации здоровья",""
