"Key","SourceString","DevComment"
"dt_lore_IchthianChapter_FloodedFarmlands.DestroyedHouse.Heading","Оставленный очаг",""
"dt_lore_IchthianChapter_FloodedFarmlands.DestroyedHouse.TextBody","На золе в очаге стоит запах плесени. Остатки трапезы, оставленные на растерзание.",""
"dt_lore_IchthianChapter_FloodedFarmlands.AbandonedHouse.Heading","Пропитанное слезами письмо",""
"dt_lore_IchthianChapter_FloodedFarmlands.AbandonedHouse.TextBody","Текмесса, твоя дорогая и верная сестра. С любовью для Хрисанте.\n\nЯ ждала твоего возвращения столько, сколько могла, надеясь, что ты вернешься из своего путешествия невредимым. Но ихтианы приближаются с каждым днем, а я уже старая женщина. Я бы с радостью покинула наш дом, но не могу защищать его с помощью кастрюль и сковородок. \n\n Я пишу в надежде, что ты еще вернешься, найдешь эту записку и присоединишься ко мне в анклаве под защитой ополчения.\n\n Пусть Зевс, повелитель странников, благополучно вернет тебя домой.",""
"dt_lore_IchthianChapter_FloodedFarmlands.EranaRuins.Heading","НАДПИСЬ",""
"dt_lore_IchthianChapter_FloodedFarmlands.EranaRuins.TextBody","На камне высечено следующее:\n«КАМЕННЫЙ ЗВЕРИНЕЦ ДОСТОПОЧТЕННОЙ КОРОЛЕВЫ ЭРАНЫ\nТО, ЧТО ОДНАЖДЫ ЖИЛО, ТЕПЕРЬ ВЕЧНО ЖДЕТ МЕНЯ»",""
"dt_lore_IchthianChapter_FloodedFarmlands.IchthianCampSouthofEnclave.Heading","Кровавый камень",""
"dt_lore_IchthianChapter_FloodedFarmlands.IchthianCampSouthofEnclave.TextBody","Ихтианы отвергают богов Олимпа, так что этот пропитанный кровью камень должен служить какой-то другой цели. Вы с содроганием думаете, какой.",""
"dt_lore_IchthianChapter_FloodedFarmlands.TeleporterShrine.Heading","Тайна святилищ",""
"dt_lore_IchthianChapter_FloodedFarmlands.TeleporterShrine.TextBody","Некоторые предполагают, что эти святыни когда-то были входом на небесную дорогу, как и остров, где умный Одиссей сделал привал, чтобы отправиться в подземный мир.\n\nИстория о храбром Аристомене, который вместе со своими воинственными спутниками неустрашимо противостоял ихтианам, описывает героя, передвигающегося по земле с божественной скоростью. Возможно, в этой святыне хранится ключ.\n\nНо время богов и героев уходит. Остались только чудовища. Боюсь, секреты этой святыни потеряны навсегда.",""
"dt_lore_IchthianChapter_FloodedFarmlands.StolosNote.Heading","Пропитанный вином свиток",""
"dt_lore_IchthianChapter_FloodedFarmlands.StolosNote.TextBody","Нижеследующее написано дрожащей рукой:\n\n«Поэт говорит, что \""время — лекарь всех ненужных зол\"", но он лжец.\n\nТы была половиной меня, той половиной, которая велела моему сердцу биться, а легким дышать.\n\nЗачем нужна богиня Возмездия? Сама Немезида не могла и мечтать о более страшном наказании, чем горе».",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_BetweenShrineAndEnclave.Heading","Указатель",""
