"Key","SourceString"
"dt_lore_arkadian_plains_mainline.chiron_lore_other_centaurs.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_lore_other_centaurs.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_on_achilles.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_on_achilles.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_on_poison.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_on_poison.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_on_nemesis_plans.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_on_nemesis_plans.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_translated_prophecy.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_translated_prophecy.TextBody",""
"dt_lore_arkadian_plains_mainline.pegaea_diary.Heading",""
"dt_lore_arkadian_plains_mainline.pegaea_diary.TextBody",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor_fragment.Heading",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor_fragment.TextBody",""
"dt_lore_arkadian_plains_mainline.03_ap_m_cc_unfinished_letter.Heading",""
"dt_lore_arkadian_plains_mainline.03_ap_m_cc_unfinished_letter.TextBody",""
"dt_lore_arkadian_plains_mainline.skirion_orders_start_of_chapter.Heading",""
"dt_lore_arkadian_plains_mainline.skirion_orders_start_of_chapter.TextBody",""
"dt_lore_arkadian_plains_mainline.looter_orders.Heading",""
"dt_lore_arkadian_plains_mainline.looter_orders.TextBody",""
"dt_lore_arkadian_plains_mainline.skirion_fighting_style.Heading",""
"dt_lore_arkadian_plains_mainline.skirion_fighting_style.TextBody",""
"dt_lore_arkadian_plains_mainline.helm_of_fridolinos.Heading",""
"dt_lore_arkadian_plains_mainline.helm_of_fridolinos.TextBody",""
"dt_lore_arkadian_plains_mainline.helm_of_phaedo.Heading",""
"dt_lore_arkadian_plains_mainline.helm_of_phaedo.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_royal_orders.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_royal_orders.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_defectors_note.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_defectors_note.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_flaming_pit.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_flaming_pit.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_breaking_wheel.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_breaking_wheel.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_zeus_statue.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_zeus_statue.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_statue_of_hera.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_statue_of_hera.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_note_about_hera.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_note_about_hera.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_crushed_skeleton.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_crushed_skeleton.TextBody",""
"dt_lore_arkadian_plains_mainline.open_world_centaur_butchery_leavings.Heading",""
"dt_lore_arkadian_plains_mainline.open_world_centaur_butchery_leavings.TextBody",""
"dt_lore_arkadian_plains_mainline.open_world_centaur_stone_carvings.Heading",""
"dt_lore_arkadian_plains_mainline.open_world_centaur_stone_carvings.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_palace_wine_storeroom.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_palace_wine_storeroom.TextBody",""
"dt_lore_arkadian_plains_mainline.ixion_palace_brittle_towels.Heading",""
"dt_lore_arkadian_plains_mainline.ixion_palace_brittle_towels.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_georgios_letter.Heading","Скомканное письмо"
"dt_lore_arkadian_plains_sideline.03_ap_georgios_letter.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_food_1.Heading","Выброшенные продукты"
"dt_lore_arkadian_plains_sideline.03_ap_food_1.TextBody","Отличная еда, оставленная в грязи."
"dt_lore_arkadian_plains_sideline.03_ap_food_2.Heading","Выброшенные продукты"
"dt_lore_arkadian_plains_sideline.03_ap_food_2.TextBody","Кто-то откусил один кусочек и бросил его на землю."
"dt_lore_arkadian_plains_sideline.03_ap_food_3.Heading","Выброшенные продукты"
"dt_lore_arkadian_plains_sideline.03_ap_food_3.TextBody","На этой еде нет ни следа плесени или разложения."
"dt_lore_arkadian_plains_sideline.03_ap_food_4.Heading","Выброшенные продукты"
"dt_lore_arkadian_plains_sideline.03_ap_food_4.TextBody","Свежая еда рядом со свежим конским навозом"
"dt_lore_arkadian_plains_sideline.03_ap_s_as_corpses_1.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_corpses_1.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_broken_cart.Heading","Сломанная тележка"
"dt_lore_arkadian_plains_sideline.03_ap_s_as_broken_cart.TextBody","Дерево повозки и ящиков разлетелось на куски, и их разбросало."
"dt_lore_arkadian_plains_sideline.03_ap_s_as_tracks_1.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_tracks_1.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_signs_of_sacrifice.Heading",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_signs_of_sacrifice.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_as_ares_lore.Heading","Стелла Ареса"
"dt_lore_arkadian_plains_sideline.03_ap_s_as_ares_lore.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_m_ts_coded_note.Heading","Хрустящий пергамент"
"dt_lore_arkadian_plains_sideline.03_ap_m_ts_coded_note.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_entry_inscryption.Heading","Опрокинутый надгробный камень"
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_entry_inscryption.TextBody",""
"dt_lore_arkadian_plains_sideline.03_ap_s_wg_dead_adventurer.Heading","Скелет"
