"Key","SourceString","DevComment"
"active_quests","Активные задания",""
"completed_quests","Завершенные задания",""
"main_quests","Судьбоносные задания",""
"side_quests","Мировые задания",""
"quest_log","Журнал заданий",""
"quest_objective","Цели",""
"quest_optional_objective","Дополнительные цели",""
"quest_completed_objective","Завершенные цели",""
"quest_summary","Пересказ",""
"notification_started_quest","Задание начато",""
"notification_updated_quest","Задание обновлено",""
"notification_completed_quest","Задание завершено",""
"SyncState.FatedQuestsBehind","<red>Хост завершил больше сюжетных заданий, чем вы. Судьбоносные задания не будут для вас сохраняться, пока вы не станете хостом или не сыграете в одиночку, чтобы наверстать упущенное.</>",""
"SyncState.FatedQuestsAhead","Вы завершили больше сюжетных заданий, чем хост. Любой ваш новый прогресс будет сохраняться.",""
"SyncState.WorldQuestsBehind","<red>Хост завершил большую часть прогресса этого задания, чем вы. Это задание не будет для вас сохраняться, пока вы не станете хостом или не сыграете в одиночку, чтобы наверстать упущенное.</>",""
