"Key","SourceString","DevComment"
"da_quest_01_ff_m_bs_prehub.m_Title","На странном берегу",""
"da_quest_01_ff_m_bs_prehub.m_HighVisionGoal","Я должен узнать, куда меня отправили Судьбы.",""
"da_quest_01_ff_m_bs_prehub.m_CompletedGoal","Я добрался до Пиргоса, деревни, осажденной ихтианами. Местный бог Главк должен помочь мне добраться до Мойр — если, конечно, я смогу их найти.",""
"da_quest_01_ff_m_bs_prehub.m_Summary","Моя наставница Аристоноя мертва. Богиня Немезида убила ее, а затем преследовала меня через море. Я бы утонул, если бы не амулет, который дала мне моя наставница. Я понятия не имею, где нахожусь и как найти Мойр, как того желала Аристоноя.",""
"da_quest_01_ff_m_bs_prehub.m_CompletedSummary","Меня выбросило на берег, но я не один. В амулете Аристонои живет дух божественного коня Ариона. Он дружит с богом Главком, который может помочь мне добраться до храма Мойр. Возможно, боги все-таки улыбаются мне.",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(0).m_Objectives.Description","Найдите бога, который поможет достичь Мойр",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(1).m_Objectives.Description","Главк может вам помочь",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(2).m_Objectives.Description","Исследуйте пляж",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(3).m_Objectives.Description","Следуйте за голосом",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(4).m_Objectives.Description","Спасите Ариона от крабов",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(5).m_Objectives.Description","Следуйте по дороге",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(6).m_Objectives.Description","Пройдите через пещеру",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(7).m_Objectives.Description","Продолжайте идти по дороге",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(8).m_Objectives.Description","Победите ихтианов",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(9).m_Objectives.Description","Уничтожьте мост",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(10).m_Objectives.Description","Отправляйтесь к деревне Пиргос вместе с Филоном",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(11).m_Objectives.Description","Победите ихтианов у святилища Главка",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(12).m_Objectives.Description","Поговорите с Филоном",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(13).m_Objectives.Description","Войдите в деревню Пиргос",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Ко мне воззвал голос из амулета, подаренного Аристоноей. Должно быть, его выбросило на берег неподалеку. Надо поискать.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(1).m_QuestInformation.HighVisionGoal","Мне следует поискать деревню, чтобы узнать, как добраться до храма Мойр.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(2).m_QuestInformation.HighVisionGoal","На главной дороге я нашел незнакомца, на которого напали ихтианы. Возможно, он поможет мне найти Мойр.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(3).m_QuestInformation.HighVisionGoal","Арион считает, что бог Главк может помочь нам добраться до Мойр. Я должен продолжить путь в деревню Пиргос и найти храм Главка.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Title","Город на холме",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_HighVisionGoal","Найдите путь через Пиргос, чтобы разыскать Главка",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_CompletedGoal","Я вступил в ополчение Пиргоса и получил доступ к лифту.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Summary","Из-за ихтианской угрозы лифт Пиргоса закрыт для всех, кроме ополченцев. Мне нужно вступить в ополчение, если я хочу найти Главка.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_CompletedSummary","Я проявил себя перед лохагосом Ризоном и вступил в ополчение Пиргоса.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(0).m_Objectives.Description","Найдите дальнейший путь через Пиргос",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(1).m_Objectives.Description","Найдите способ добраться до лифта из Пиргоса",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(2).m_Objectives.Description","Поговорите с лохагосом Ризоном о вступлении в ополчение",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(3).m_Objectives.Description","Победите ихтиана-дикаря",""
