"Key","SourceString","DevComment"
"da_quest_02_nb_m_mr_friendly_priest.m_Title","Измученный жрец",""
"da_quest_02_nb_m_mr_friendly_priest.m_HighVisionGoal","Поглотите энергию Немезиды в Замученном жреце",""
"da_quest_02_nb_m_mr_friendly_priest.m_CompletedGoal","Я поглотил энергию Немезиды из тела замученного жреца.",""
"da_quest_02_nb_m_mr_friendly_priest.m_Summary","В древнем храме я встретил жреца Кроноса, которого мучила сила Немезиды.",""
"da_quest_02_nb_m_mr_friendly_priest.m_CompletedSummary","Я освободил жреца Кроноса, которого мучила сила Немезиды, и он рассказал, что Немезида стремится воскресить Кроноса.",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(0).m_Objectives.Description","Поговорите с замученным жрецом",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(1).m_Objectives.Description","Убедите замученного жреца выпустить энергию Немезиды",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(2).m_Objectives.Description","Поглотите энергию Немезиды в Замученном жреце",""
"da_quest_02_nb_m_mr_hostile_priest.m_Title","Невменяемый жрец",""
"da_quest_02_nb_m_mr_hostile_priest.m_HighVisionGoal","Поглотите энергию Немезиды в Озлобленном жреце",""
"da_quest_02_nb_m_mr_hostile_priest.m_CompletedGoal","Я поглотил энергию Немезиды из Невменяемого жреца.",""
"da_quest_02_nb_m_mr_hostile_priest.m_Summary","Я наткнулся на жреца Кроноса, которому, должно быть, удалось выжить в храме на протяжении столетий. Похоже, Немезида наполнила его своей божественной энергией.",""
"da_quest_02_nb_m_mr_hostile_priest.m_CompletedSummary","Я наткнулся на жреца Кроноса, который дал Немезиде знание о том, как использовать Ихор титана, чтобы воскресить Кроноса, а взамен она наполнила его своей темной энергией.",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(0).m_Objectives.Description","Поговорите с невменяемым жрецом",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(1).m_Objectives.Description","Поглотите энергию Немезиды в Невменяемом жреце",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(2).m_Objectives.Description","Поглотите энергию Немезиды в святилище",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(3).m_Objectives.Description","Исследуйте надпись на камне",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Title","Надзиратели времени",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_HighVisionGoal","Поглотите энергию Немезиды в разрушенном храме Кроноса",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_CompletedGoal","Я поглотил энергию Немезиды в Храме Кроноса.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Summary","Главк сказал мне, что в разрушенном храме Кроноса сосредоточена сила Немезиды. Я должен проникнуть в руины и впитать все, что смогу.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_CompletedSummary","Храм Кроноса содержал не только энергию Немезиды, которую я должен был поглотить, — там были спрятаны запретные знания о том, как воскресить Кроноса.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(0).m_Objectives.Description","Войдите в храм Кроноса",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(1).m_Objectives.Description","Найдите энергию Немезиды внутри храма",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(2).m_Objectives.Description","Поглотите энергию Немезиды",""
"da_quest_02_nb_m_ds_digsite.m_Title","Украденная сила",""
"da_quest_02_nb_m_ds_digsite.m_HighVisionGoal","Поглотите энергию Немезиды в месте раскопок",""
"da_quest_02_nb_m_ds_digsite.m_CompletedGoal","Я применил амфору, чтобы поглотить энергию Немезиды.",""
"da_quest_02_nb_m_ds_digsite.m_Summary","Мойры преподнесли мне могущественный дар: божественную амфору, с помощью которой я могу поглощать энергию, оставленную Немезидой. Главк рассказал мне об ихтианских раскопках, где я могу испытать ее.",""
"da_quest_02_nb_m_ds_digsite.m_CompletedSummary","Я применил амфору, чтобы поглотить энергию Немезиды, и обнаружил, что при этом мой разум на короткое время соединяется с разумом Немезиды.",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(0).m_Objectives.Description","Достигните места ихтианских раскопок",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(1).m_Objectives.Description","Поглотите отголосок энергии Немезиды в месте раскопок",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(2).m_Objectives.Description","Поглотите отголосок энергии Немезиды в старом гнезде сирен",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(3).m_Objectives.Description","Поглотите отголосок энергии Немезиды на приморском форту",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(4).m_Objectives.Description","Исследуйте центр раскопок",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(5).m_Objectives.Description","Поглотите энергию Немезиды",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(6).m_Objectives.Description","Победите предвестников Немезиды",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(7).m_Objectives.Description","Поглотите энергию Немезиды",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(8).m_Objectives.Description","Поговорите с Главком",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(9).m_Objectives.Description","Найдите Главка",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(10).m_Objectives.Description","Поговорите с Главком",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Title","Король ихтианов",""
"da_quest_02_nb_m_if_ichthian_fortress.m_HighVisionGoal","Поглотите энергию Немезиды в сердце ихтианской твердыни",""
"da_quest_02_nb_m_if_ichthian_fortress.m_CompletedGoal","Я поглотил энергию Немезиды в Ихтианской твердыне.",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Summary","Главк почувствовал крупный источник энергии Немезиды в самом сердце военной мощи ихтианов. Несмотря на опасность, я должен найти его.",""
"da_quest_02_nb_m_if_ichthian_fortress.m_CompletedSummary","Я пробился в ихтианскую твердыню, победил их короля и поглотил энергию Немезиды.",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(0).m_Objectives.Description","Найдите ихтианскую твердыню",""
