"Key","SourceString","DevComment"
"da_quest_03_ap_m_ts_tegea_city.m_Title","",""
"da_quest_03_ap_m_ts_tegea_city.m_HighVisionGoal","",""
"da_quest_03_ap_m_ts_tegea_city.m_CompletedGoal","",""
"da_quest_03_ap_m_ts_tegea_city.m_Summary","",""
"da_quest_03_ap_m_ts_tegea_city.m_CompletedSummary","",""
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(0).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(1).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(2).m_Objectives.Description","Поговорите со Сциллой",""
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(3).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(4).m_Objectives.Description","Встретьтесь со Сциллой",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Title","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_HighVisionGoal","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_CompletedGoal","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Summary","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_CompletedSummary","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(0).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(1).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(2).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(3).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(4).m_Objectives.Description","",""
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(5).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Title","",""
"da_quest_03_ap_m_ca_centaur_camp.m_HighVisionGoal","",""
"da_quest_03_ap_m_ca_centaur_camp.m_CompletedGoal","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Summary","",""
"da_quest_03_ap_m_ca_centaur_camp.m_CompletedSummary","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(0).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(1).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(2).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(3).m_Objectives.Description","Зайдите в палатку",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(4).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(5).m_Objectives.Description","Войдите на арену",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(6).m_Objectives.Description","Победите Скирона",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(7).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(8).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(9).m_Objectives.Description","Поговорите с Кентавросом",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(10).m_Objectives.Description","",""
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(11).m_Objectives.Description","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Title","",""
"da_quest_03_ap_m_cc_chirons_cave.m_HighVisionGoal","Найдите Хирона",""
"da_quest_03_ap_m_cc_chirons_cave.m_CompletedGoal","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Summary","",""
"da_quest_03_ap_m_cc_chirons_cave.m_CompletedSummary","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(0).m_Objectives.Description","Достигните пещеры Хирона",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(1).m_Objectives.Description","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(2).m_Objectives.Description","Войдите в пещеру Хирона",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(3).m_Objectives.Description","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(4).m_Objectives.Description","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(5).m_Objectives.Description","Поговорите с прячущимся человеком",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(6).m_Objectives.Description","Следуйте за Пегеей",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(7).m_Objectives.Description","",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(8).m_Objectives.Description","Поговорите с Пегеей",""
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(9).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Title","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_HighVisionGoal","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_CompletedGoal","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Summary","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_CompletedSummary","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(0).m_Objectives.Description","Встретьтесь с Кентавросом у ворот в священные земли",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(1).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(2).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(3).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(4).m_Objectives.Description","Откройте секретный проход",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(5).m_Objectives.Description","Следуйте по секретному проходу",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(6).m_Objectives.Description","Найдите выход из канализации",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(7).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(8).m_Objectives.Description","",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(9).m_Objectives.Description","Поговорите с Иксионом",""
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(10).m_Objectives.Description","",""
