"Key","SourceString","DevComment"
"active_quests","Активные задания",""
"completed_quests","Завершенные задания",""
"main_quests","Судьбоносные задания",""
"side_quests","Мировые задания",""
"quest_log","Журнал заданий",""
"quest_objective","Цели",""
"quest_optional_objective","Дополнительные цели",""
"quest_completed_objective","Завершенные цели",""
"quest_summary","Пересказ",""
"notification_started_quest","Задание начато",""
"notification_updated_quest","Задание обновлено",""
"notification_completed_quest","Задание завершено",""
"quest_progress_blocked_warning","<b_red>Задание не синхронизировано с хостом. Прогресс не будет сохранен.</>",""
