"Key","SourceString","DevComment"
"reset","Сбросить настройки","Reset all settings to their default value"
"discard_title","Сбросить изменения?",""
"discard_description","Хотите отменить изменения?",""
"press_any_key_modal_text_one","Нажмите любую клавишу, чтобы назначить ее на выбранное вами действие.",""
"press_any_key_modal_text_two","Нажмите ESC, чтобы отменить.",""
"key_already_bound_modal_text_one","{InKey} уже назначен на {ActionNames}, вы действительно хотите перезначить клавишу?",""
"key_already_bound_modal_text_two","Нажмите Esc, чтобы отменить, или {InKey} снова, чтобы подтвердить переназначение.",""
"key_already_bound_modal_titel","Клавиша уже назначена.",""
"keybinding_display_category_gameplay","Геймплей",""
"keybinding_display_category_interface","Интерфейс",""
"apply","Применить",""
"value_on","Включено",""
"value_off","Выключено",""
"quality_low","Низкое",""
"quality_medium","Среднее",""
"quality_high","Высокое",""
"quality_epic","Эпическое",""
"quality_custom","Особое",""
