"Key","SourceString","DevComment"
"VolumeCollection_Name","Громкость",""
"AudioGameplayCollection_Name","Геймплей",""
"SoundCollection_Name","Звук",""
"MasterVolume_Name","Общая громкость",""
"MasterVolume_Description","Регулирует общую громкость.",""
"MusicVolume_Name","Музыка",""
"MusicVolume_Description","Регулирует громкость музыки.",""
"AmbientVolume_Name","Окружение",""
"AmbientVolume_Description","Регулирует громкость окружения.",""
"VoiceOverVolume_Name","Диалоги",""
"VoiceOverVolume_Description","Регулирует громкость голоса и диалогов игровых персонажей.",""
"EffectsVolume_Name","Эффекты",""
"EffectsVolume_Description","Регулирует громкость звуковых эффектов.",""
"UIVolume_Name","Интерфейс",""
"UIVolume_Description","Регулирует громкость интерфейса.",""
"CinematicsVolume_Name","Видеоролики",""
"CinematicsVolume_Description","Регулирует громкость видеороликов.",""
"AudioOutputDevice_Name","Устройство вывода звука",""
"AudioOutputDevice_Description","Изменяет устройство вывода звука для игрового аудио.",""
"BackgroundAudio_Name","Фоновый звук",""
"BackgroundAudio_Description","Включает или выключает звук игры, когда игра находится в фоновом режиме. Если звук включен, он будет продолжать воспроизводиться, когда игра свернута или фокус переведен на другое окно.",""
