"Key","SourceString","DevComment"
"GameplayGeneralSection_Name","Основное",""
"GameplayUISection_Name","Интерфейс",""
"OverHeadVisibilitySection_Name","Информация над головой",""
"FloatingCombatTextSection_Name","Всплывающий текст в бою",""
"LootPlateVisibilitySection_Name","Выпадающие предметы",""
"LootPlateInteractabilitySection_Name","Взаимодействие с предметами",""
"LootTooltipVisibilitySection_Name","Окно выпадающих предметов",""
"TelemetrySection_Name","Аналитика игрового процесса",""
"HideHelmet_Name","Скрывать шлем",""
"HideHelmet_Description","Определяет отображение шлема на персонаже.",""
"EnableAutoEquip_Name","Автонадевание предметов",""
"EnableAutoEquip_Description","Определяет, нужно ли автоматически надевать подбираемые предметы, если слот под них пустует.",""
"TelemetryConsent_Name","Отслеживание аналитики",""
"TelemetryConsent_Description","Контролирует, разрешено ли игре собирать и отправлять данные в THQ Nordic для аналитических целей.\nМы будем рады, если вы поможете нам улучшить игру, предоставив данные об использовании. Эти данные включают только информацию о том, как вы играете в игру, и не содержат никаких личных идентификационных данных или уникальной информации об устройстве.",""
"TelemetryConsent_Yes","Да",""
"TelemetryConsent_No","Нет",""
"OverrideCursorScale_Name","Размер курсора",""
"OverrideCursorScale_Description","Определяет размер курсора мыши. \n\nАвтоматически - оптимальный размер курсора для выбранного разрешения интерфейса игры.",""
"OverrideCursorScale_Value_Auto","Автоматически",""
"OverrideCursorScale_Value_Small","Маленький",""
"OverrideCursorScale_Value_Big","Большой",""
"ItemColorScheme_Name","Цветовая гамма предметов",""
"ItemColorScheme_Description","Определяет используемую цветовую схему.\nПо умолчанию: новая цветовая схема, призванная сделать цвета предметов более отчетливыми и соответствующими традициям жанра ARPG.\nНаследие: цвета предметов из классической Titan Quest",""
"ItemColorScheme_Default","По умолчанию",""
"ItemColorScheme_Legacy","Наследие",""
"AlwaysShowStatsOnOrbs_Name","Всегда показывать значения на сферах",""
"AlwaysShowStatsOnOrbs_Description","Определяет, нужно ли всегда отображать значения на сферах здоровья и маны.",""
"ShowReservationOnOrbs_Name","Отображать занятую энергию на сферах",""
"ShowReservationOnOrbs_Description","Отображать значение постоянно занимаемой энергии на сферах.",""
"EnableTutorials_Name","Обучающие подсказки",""
"EnableTutorials_Description","Определяет отображение обучающих подсказок.",""
"ResetTutorials_Name","Сбросить подсказки",""
"ResetTutorials_Action","Сбросить увиденные подсказки",""
"ResetTutorials_Description","Сбрасывает все увиденные подсказки.",""
"ResetTutorials_Popup_Title","Внимание",""
"ResetTutorials_Popup_Description","Это сбросит все увиденные подсказки, позволяя вновь увидеть их во время игры.",""
"AllowQuickDialogueSkipping_Name","Быстрый пропуск диалогов",""
"AllowQuickDialogueSkipping_Description","Определяет возможность быстрого и беспрепятственного пропуска диалогов.\nВключив эту опцию, вы сможете пропускать диалоги с одним вариантом ответа. Это может привести к тому, что при пропуске диалогов вы упустите некоторый контекст, что не рекомендуется игрокам, интересующимся сюжетом.",""
"TQ2HealthBarVisibilityPreference_Never","Не показывать",""
"TQ2HealthBarVisibilityPreference_Damaged","При получении урона",""
"TQ2HealthBarVisibilityPreference_Hover","При наведении",""
"TQ2HealthBarVisibilityPreference_DamagedOrHover","При получении урона или наведении",""
"TQ2HealthBarVisibilityPreference_Always","Показывать всегда",""
"LocalPlayerHealthBarVisibilityPreference_Name","Полоска здоровья игрока",""
"LocalPlayerHealthBarVisibilityPreference_Description","Когда именно показывать полоску здоровья игрока над головой.",""
"RemotePlayerHealthBarVisibilityPreference_Name","Полоска здоровья других игроков",""
"RemotePlayerHealthBarVisibilityPreference_Description","Когда именно показывать полоску здоровья других игроков над головой.",""
"EnemyHealthBarVisibilityPreference_Name","Полоска здоровья врагов",""
"EnemyHealthBarVisibilityPreference_Description","Когда именно показывать полоску здоровья врагов над головой.",""
"NPCHealthBarVisibilityPreference_Name","Полоска здоровья NPC",""
"NPCHealthBarVisibilityPreference_Description","Когда именно показывать полоску здоровья дружественных и нейтральных неигровых персонажей над головой.",""
"LocalPlayerNameVisibilityPreference_Name","Имя игрока",""
"LocalPlayerNameVisibilityPreference_Description","Когда именно показывать имя персонажа игрока над головой.",""
"RemotePlayerNameVisibilityPreference_Name","Имя других игроков",""
"RemotePlayerNameVisibilityPreference_Description","Когда именно показывать имя персонажа игрока над головой.",""
"EnemyNameVisibilityPreference_Name","Имя врагов",""
"EnemyNameVisibilityPreference_Description","Когда именно показывать имя врагов над головой.",""
"NPCNameVisibilityPreference_Name","Имя NPC",""
"NPCNameVisibilityPreference_Description","Когда именно показывать имя дружественных и нейтральных неигровых персонажей над головой.",""
"ColorBlindMode_Name","Режим цветовой слепоты",""
"ColorBlindMode_Description","Используя предоставленные изображения, протестируйте различные режимы цветовой слепоты, чтобы найти наиболее подходящий для вас вариант цветокоррекции.",""
"ColorBlindRotatorSettingOff","Выключено",""
"ColorBlindRotatorSettingDeuteranope","Дейтеранопия",""
"ColorBlindRotatorSettingProtanope","Протанопия",""
"ColorBlindRotatorSettingTritanope","Тританопия",""
"ColorBlindStrength_Name","Сила цветовой слепоты",""
"ColorBlindStrength_Description","Используя предоставленные изображения, протестируйте различные варианты, чтобы подобрать наиболее подходящий для вас вариант цветокоррекции.",""
"FCTShowDamage_Name","Показывать урон",""
"FCTShowDamage_Description","Определяет отображение всплывающего текста об уроне в бою.",""
"FCTShowHeal_Name","Показывать лечение",""
"FCTShowHeal_Description","Определяет отображение всплывающего текста о лечении в бою.",""
"FCTShowImmune_Name","Показывать неуязвимость",""
"FCTShowImmune_Description","Определяет отображение всплывающего текста о неуязвимости в бою.",""
"FCTShowXP_Name","Показывать опыт",""
"FCTShowXP_Description","Определяет отображение всплывающего текста о полученном опыте в бою.",""
"TQ2LootPlateMode_Always","Показывать всегда",""
"TQ2LootPlateMode_Toggle","Переключатель",""
"TQ2LootPlateMode_Hold","Удерживание",""
"TQ2GameplayUserSettings_Hotkey","Клавиша",""
"LootPlateVisibility_Name","Выпадающие предметы",""
"LootPlateVisibility_Description","Определяет, когда показывать лежащие предметы и как изменить их видимость.",""
"LootPlateVisibleInCombat_Name","Предметы видно в бою",""
"LootPlateVisibleInCombat_Description","Следует ли показывать лежащие предметы в бою?",""
"LootPlateInteractability_Name","Взаимодействие с предметами",""
"LootPlateInteractability_Description","Определяет, когда с лежащими предметами можно взаимодействовать и как изменить их взаимодействие.",""
"LootPlateInteractableInCombat_Name","Взаимодействие в бою",""
"LootPlateInteractableInCombat_Description","Следует ли делать возможность взаимодействия с лежащими предметами в бою?",""
"TQ2LootTooltipMode_Always","Показывать всегда",""
"TQ2LootTooltipMode_Toggle","Переключатель",""
"TQ2LootTooltipMode_Hold","Удерживание",""
"TQ2LootTooltipMode_Never","Не показывать",""
"LootTooltipVisibility_Name","Окно выпадающих предметов",""
"LootTooltipVisibility_Description","Определяет, когда показывать всплывающего окна лежащих предметов и как изменить их видимость.",""
"LootTooltipVisibleInCombat_Name","Окно видно в бою",""
"LootTooltipVisibleInCombat_Description","Должно ли всплывающее окно лежащих предметов показываться в бою?",""
"EnableFailedAbilityFeedback_Name","Реплики об ошибке применения",""
"EnableFailedAbilityFeedback_Description","Определяет, нужно ли давать обратную связь, когда умение не может быть применено, например из-за идущей перезарядки или нехватки энергии.",""
"LanguageSection_Name","Язык",""
"LanguageSetting_Name","Язык",""
"LanguageSetting_Description","Язык игры.",""
"LanguageChanged_Title","Смена языка",""
"LanguageChanged_Message","Необходимо полностью перезапустить игру, чтобы все языковые изменения вступили в силу.",""
"TooltipComparisonModeSection_Name","Сравнение",""
"TooltipComparisonMode_Name","Окно сравнения",""
"TooltipComparisonMode_Description","Определяет, когда показывать окно сравнения.",""
"TQ2TooltipComparisonMode_Toggle","Переключатель",""
"TQ2TooltipComparisonMode_Hold","Удерживание",""
"LanguageSetting_CommunityTranslation","{0} - ПЕРЕВОД СООБЩЕСТВА",""
"DistanceUnits_Name","Единицы измерения",""
"DistanceUnits_Description","Определяет, в каком виде показывать отображаемые единицы измерения.",""
"DistanceUnits_Metric","Метрические","Meters, Centimeters, etc."
"DistanceUnits_Imperial","Имперские","Yards, Feet, etc."
"ShowSeasonalContent_Name","Сезонный контент",""
"ShowSeasonalContent_Description","Определяет, нужно ли показывать игровой контент, относящийся к текущим сезонным событиям.",""
