"Key","SourceString","DevComment"
"DisplaySettingsCollection_Name","Экран",""
"FrameRateLimitCollection_Name","Ограничения частоты кадров",""
"GraphicsSettingsCollection_Name","Графика",""
"AdvancedGraphicsSettingsCollection_Name","Продвинутое",""
"WindowMode_Name","Режим отображения",""
"WindowMode_Description","В оконном режиме вы можете легче взаимодействовать с другими окнами и перетаскивать края окна, чтобы задать его размер. В оконном полноэкранном режиме вы можете легко переключаться между приложениями. В полноэкранном режиме вы не сможете так же легко взаимодействовать с другими окнами, но игра будет работать немного быстрее.",""
"WindowModeFullscreen","Полный экран",""
"WindowModeWindowedFullscreen","Без рамок",""
"WindowModeWindowed","В окне",""
"Resolution_Name","Разрешение",""
"Resolution_Description","Разрешение дисплея определяет размер окна в оконном режиме. В полноэкранном режиме разрешение дисплея определяет выходное разрешение видеокарты, что может привести к появлению черных полос в зависимости от монитора и видеокарты. В оконном полноэкранном режиме Display Resolution неактивно.",""
"ResolutionWindowedFullscreen_Disabled","Когда режим отображения установлен на <strong>Без рамок</>, разрешение должно соответствовать родному разрешению рабочего стола.",""
"VerticalSync_Name","Вертикальная синхронизация",""
"VerticalSync_Description","Включение вертикальной синхронизации устраняет разрывы экрана, поскольку всегда отображает полный кадр. Отключение вертикальной синхронизации может обеспечить более высокую частоту кадров и лучший отклик на ввод, но может привести к горизонтальному разрыву экрана.",""
"Brightness_Name","Яркость",""
"Brightness_Description","Регулирует громкость яркость.",""
"BrightnessFormat","{0}%",""
"SafeZone_Name","Безопасная зона",""
"SafeZone_Description","Устанавливает безопасную зону интерфейса для платформы.",""
"SafeZone_Action","Установить безопасную зону",""
"CameraShake_Name","Дрожание камеры",""
"CameraShake_Description","Включает дрожание камеры. Некоторые игроки могут захотеть отключить эту функцию, чтобы избежать тошноты.",""
"FPSFormat","{0} FPS",""
"UnlimitedFPS","Без ограничений",""
"FrameRateLimit_Always_Name","В игре",""
"FrameRateLimit_Always_Description","Ограничение частоты кадров устанавливает максимальную допустимую частоту кадров. Установите этот параметр ниже для более стабильной частоты кадров или выше для лучшей работы на более быстрых машинах. Для достижения максимальной частоты кадров может потребоваться отключить Vsync.",""
"FrameRateLimit_WhenBackgrounded_Name","В фоновом режиме",""
"FrameRateLimit_WhenBackgrounded_Description","Ограничение частоты кадров, когда приложение не находится в фокусе. Понизьте этот показатель, чтобы экономить энергию, пока игра свернута или работает в фоновом режиме.",""
"DeviceProfileSuffix_Name","Пресет качества",""
"DeviceProfileSuffix_Description","Выбирайте между различными предустановками качества, чтобы найти компромисс между качеством и скоростью.",""
"DeviceProfileSuffix_Invalid","Неправильное",""
"AutoSetQuality_Name","Автоматическое качество",""
"AutoSetQuality_Description","Автоматическая настройка параметров качества графики на основе эталонного тестирования оборудования.",""
"AutoSetQuality_Action","Автоматически",""
"GraphicsQualityPresets_Name","Пресет качества",""
"GraphicsQualityPresets_Description","Предварительная настройка качества позволяет настроить сразу несколько параметров видео. Попробуйте несколько вариантов, чтобы понять, что соответствует вашим предпочтениям и производительности устройства.",""
"GlobalIlluminationQuality_Name","Глобальное освещение",""
"GlobalIlluminationQuality_Description","Глобальное освещение регулирует качество динамически просчитываемых отражений непрямого освещения, теней неба и окклюзии окружения. «Высокое» значение и выше используют более точные методы трассировки лучей для решения проблемы освещения, но могут снизить производительность.",""
"Shadows_Name","Тени",""
"Shadows_Description","Качество теней определяет разрешение и расстояние просмотра динамических теней. Тени улучшают качество изображения и обеспечивают лучшее восприятие глубины, но могут снижать производительность.",""
"AntiAliasingQuality_Name","Сглаживание",""
"AntiAliasingQuality_Description","Сглаживание уменьшает неровные артефакты по краям геометрии. Увеличение этого параметра делает края более гладкими, но может снизить производительность. Более высокие настройки означают большее сглаживание.",""
"ViewDistance_Name","Дальность прорисовки",""
"ViewDistance_Description","Определяет, насколько далеко расположенные объекты будут упрощаться для повышения производительности.",""
"ViewDistanceNear","Близкое",""
"ViewDistanceMedium","Среднее",""
"ViewDistanceFar","Далекое",""
"ViewDistanceEpic","Эпическое",""
"TextureQuality_Name","Текстуры",""
"TextureQuality_Description","Качество текстур определяет разрешение текстур в игре. Увеличение этого параметра сделает объекты более детализированными, но может снизить производительность.",""
"VisualEffectQuality_Name","Эффекты",""
"VisualEffectQuality_Description","Эффекты определяют качество визуальных эффектов и освещения в игре. Увеличение этого параметра повышает качество визуальных эффектов, но может снизить производительность.",""
"ReflectionQuality_Name","Отражения",""
"ReflectionQuality_Description","Качество отражения определяет разрешение и точность отражений.  «Высокое» значение и выше использует более точные методы трассировки лучей для решения проблем с отражениями, но это может снизить производительность.",""
"PostProcessingQuality_Name","Постобработка",""
"PostProcessingQuality_Description","Эффекты постобработки включают размытие движения, глубину резкости и цветность. Увеличение этого параметра улучшает качество эффектов постобработки, но может снизить производительность.",""
"AnimationQuality_Name","Качество анимации",""
"AnimationQuality_Description","Влияет на частоту обновления анимации и других движений, а также на некоторые дополнительные функции анимации.\nПРЕДУПРЕЖДЕНИЕ: Не рекомендуется устанавливать значение «Полное», так как это резко увеличит нагрузку на процессор в обмен на очень незначительный визуальный выигрыш.",""
"AnimationQualityFull","Полное (НЕ РЕКОМЕНДУЕТСЯ)",""
"BrightnessAdjustInstructions","Используйте <text color=""FFFFFFFF"" fontface=""black"">{0}</>, чтобы настроить яркость.",""
"SafeZoneValue_Name","Значение безопасной зоны",""
"SafeZoneValue_Description","Процентное соотношение площади безопасной зоны.",""
"SafeZone_KeyToPress_Gamepad","Левый стик",""
"SafeZone_KeyToPress_Mouse","Колесико мыши",""
"SafeZoneEditorInstructions","Используйте <text color=""FFFFFFFF"" fontface=""black"">{0}</>, чтобы настроить углы так, чтобы они совпадали с краями вашего экрана.",""
"PerfStatDisplayMode_None","Нет",""
"PerfStatDisplayMode_TextOnly","Только текст",""
"PerfStatDisplayMode_GraphOnly","Только графика",""
"PerfStatDisplayMode_TextAndGraph","Текст и графика",""
