"Key","SourceString","DevComment"
"PerfStatsPage_Name","Производительность",""
"PerfStatsPage_Description","Определяет отображения статистики производительности.",""
"PerfStatsPage_Navigation","Открыть",""
"StatCategory_Performance_Name","Производительность",""
"PerfStat_ClientFPS","FPS клиента",""
"PerfStatDescription_ClientFPS","Частота кадров клиента (чем выше, тем лучше)",""
"PerfStat_ServerFPS","FPS сервера",""
"PerfStatDescription_ServerFPS","Частота кадров сервера (чем выше, тем лучше)",""
"PerfStat_FrameTime","Время кадров",""
"PerfStatDescription_FrameTime","Общее время кадра.",""
"PerfStat_IdleTime","Время простоя",""
"PerfStatDescription_IdleTime","Количество времени, затрачиваемое на ожидание в режиме ожидания при покадровой расстановке.",""
"PerfStat_FrameTime_GameThread","Игровое время CPU",""
"PerfStatDescription_FrameTime_GameThread","Количество времени, проведенного в основной игровой теме.",""
"PerfStat_FrameTime_RenderThread","Время рендеринга CPU",""
"PerfStatDescription_FrameTime_RenderThread","Количество времени, затраченного на поток рендеринга.",""
"PerfStat_FrameTime_RHIThread","Время работы CPU",""
"PerfStatDescription_FrameTime_RHIThread","Количество времени, затраченное на поток Render Hardware Interface.",""
"PerfStat_FrameTime_GPU","Время рендеринга GPU",""
"PerfStatDescription_FrameTime_GPU","Количество времени, затраченного на работу GPU.",""
"StatCategory_Network_Name","Сеть",""
"PerfStat_Ping","Пинг",""
"PerfStatDescription_Ping","Задержка в пути вашего соединения с сервером.",""
"PerfStat_PacketLoss_Incoming","Потеря входящих пакетов",""
"PerfStatDescription_PacketLoss_Incoming","Процент потерянных входящих пакетов.",""
"PerfStat_PacketLoss_Outgoing","Потеря исходящих пакетов",""
"PerfStatDescription_PacketLoss_Outgoing","Процент потерянных исходящих пакетов.",""
"PerfStat_PacketRate_Incoming","Скорость входящих пакетов",""
"PerfStatDescription_PacketRate_Incoming","Скорость входящих пакетов (в секунду)",""
"PerfStat_PacketRate_Outgoing","Скорость исходящих пакетов",""
"PerfStatDescription_PacketRate_Outgoing","Скорость исходящих пакетов (в секунду)",""
"PerfStat_PacketSize_Incoming","Размер входящего пакета",""
"PerfStatDescription_PacketSize_Incoming","Средний размер (в байтах) пакетов, полученных за последнюю секунду.",""
"PerfStat_PacketSize_Outgoing","Размер исходящего пакета",""
"PerfStatDescription_PacketSize_Outgoing","Средний размер (в байтах) пакетов, отправленных за последнюю секунду.",""
