"Key","SourceString","DevComment"
"UpscalerMethod_Off","Off (No Upscaling)",""
"UpscalerMethod_UnrealTSR","Unreal TSR",""
"UpscalerMethod_FSR","AMD FSR",""
"UpscalerMethod_XeSS","Intel XeSS",""
"UpscalerMethod_DLSS","NVIDIA DLSS",""
"UpscalerMethod_Undefined","Неизвестный",""
"UpscalerPage_Name","Настройки масштабирования",""
"UpscalerPage_Description","Настраивает различные апскейлеры",""
"UpscalerPage_Navigation","{0} (Нажмите для изменения)","0: current upscaler name"
"UpscalerMethod_Name","Метод масштабирования",""
"UpscalerMethod_Description","Включение апскейлера позволяет рендерить с более низким разрешением, сохраняя текущее разрешение. Это повышает производительность. Доступные методы повышения разрешения зависят от вашей видеокарты. Ниже приведены отдельные настройки качества для каждого метода повышения разрешения.",""
"AAMethod_Name","Метод сглаживания",""
"AAMethod_Description","Сглаживание уменьшает неровные артефакты по краям геометрии. Различные методы сглаживания дают разные визуальные эффекты. Обычно более ранние позиции в списке быстрее, а более поздние выглядят лучше.",""
"AAM_None","Нет",""
"AAM_FXAA","Fast Approximate Anti-Aliasing (FXAA)",""
"AAM_TemporalAA","Temporal Anti-Aliasing (TAA)",""
"AAM_MSAA","Multisample Anti-Aliasing (MSAA)",""
"AAM_TSR","Temporal Super-Resolution (TSR)",""
"AAOptionDisable","Работает только в том случае, если метод масштабирования выставлен на «Выключено».",""
"ResolutionScale_Name","Разрешение рендеринга",""
"ResolutionScale_Description","Масштаб разрешения определяет разрешение, в котором объекты рендерятся в игре, но не влияет на масштаб пользовательского интерфейса. Более низкие разрешения могут значительно увеличить частоту кадров.",""
"FSRQuality_Name","Режим FSR",""
"FSRQuality_Description","Настройка качества для апскейлинга AMD FSR.",""
"FSRQuality_NativeAA","Нативное (1.0x)",""
"FSRQuality_Quality"," Качество (1.5x)",""
"FSRQuality_Performance","Производительность (2.0x)",""
"FSRQuality_UltraPerformance","Ультра производительность (3.0x)",""
"FSRFrameGen_Name","Генерация кадров FSR",""
"FSRFrameGen_Description","Включает функцию AMD FSR Frame Generation для генерации дополнительных кадров и увеличения частоты кадров. Для этого требуется совместимый графический процессор AMD.",""
"FSRFrameGen_Incompatible","Не поддерживается на платформах, поддерживающих Nvidia DLSS Frame Generation.\nЕсли вы хотите использовать эту функцию, вы можете добавить -slno в опции запуска игры\. Это отключит поддержку Nvidia DLSS Frame Generation.",""
"AMDAntiLag2_Name","AMD Anti-Lag 2",""
"AMDAntiLag2_Description","Уменьшает задержку в графических процессорах AMD Radeon.""",""
"AMDAntiLag2_Incompatible","Поддерживается только на графических процессорах AMD.",""
"XeSSQuality_Name","Режим Intel XeSS",""
"XeSSQuality_Description","Настройка качества для апскейлинга Intel XeSS.",""
"XeSSQuality_Off","Выключено (без апскейлинга)",""
"XeSSQuality_UltraPerformance","Ультра производительность",""
"XeSSQuality_Performance","Производительность",""
"XeSSQuality_Balanced","Баланс",""
"XeSSQuality_Quality","Качество",""
"XeSSQuality_UltraQuality","Ультра качество",""
"XeSSQuality_UltraQualityPlus","Супер-ультра качество",""
"XeSSQuality_AA","Сглаживание (нативное)",""
"DLSSQuality_Name","Режим NVIDIA DLSS",""
"DLSSQuality_Description","Настройка качества для апскейлинга NVIDIA DLSS.",""
"DLSSQuality_Off","Выключено (без апскейлинга)",""
"DLSSQuality_UltraPerformance","Ультра производительность",""
"DLSSQuality_Performance","Производительность",""
"DLSSQuality_Balanced","Баланс",""
"DLSSQuality_Quality","Качество",""
"DLSSQuality_DLAA","DLAA (Сглаживание)",""
"DLSSTransformerModel_Name","Использовать модель DLSS Transformer",""
"DLSSTransformerModel_Description","Заставляет DLSS использовать модель Transformer (Preset K).\nЭто обеспечивает повышенное визуальное качество в обмен на небольшое снижение производительности.",""
"DLSSTransformerModel_NotUsed","Требует включенного DLSS.",""
"DLSSGMode_Name","Генерация кадров NVIDIA DLSS",""
"DLSSGMode_Description","Включает генерацию кадров на базе NVIDIA DLSS-FG. Эта функция использует искусственный интеллект для генерации дополнительных кадров между кадрами рендеринга игры. Это будет иметь больший эффект, если узким местом вашей производительности является CPU (процессор), и меньший, если вы ограничены GPU (графикой). Требуется GPU NVIDIA 40-й серии и аппаратное ускорение планирования GPU.",""
"DLSSGQuality_Off","Выключено",""
"DLSSGQuality_Auto","Автоматически",""
"DLSSGQuality_On","2x",""
"DLSSGQuality_On3X","3x",""
"DLSSGQuality_On4X","4x",""
"DLSSG_NotSupported","Генерация кадров не поддерживается.",""
"ReflexMode_Name","NVIDIA Reflex",""
"ReflexMode_Description","Включает NVIDIA Reflex, чтобы уменьшить задержку рендеринга",""
"ReflexMode_Off","Выключено",""
"ReflexMode_On","Включено",""
"ReflexMode_OnPlusBoost","Включено + Boost",""
"Reflex_NotSupported","NVIDIA Reflex не поддерживается.",""
"Reflex_Auto","NVIDIA Reflex нельзя отключить, поскольку оно необходимо для генерации кадров.",""
