"Key","SourceString","DevComment"
"modifiers","Модификаторы",""
"ability_cost_none","Нет",""
"ability_ailment_chance","Шанс хвори",""
"ability_cast_time","Время сотворения",""
"ability_cooldown","Перезарядка",""
"ability_cost","Стоимость",""
"ability_crit_chance","Крит. шанс",""
"ability_summon_abilities","Умения",""
"ability_summon_attack","Атака",""
"ability_total_damage","Общий урон",""
"ability_approach_activate","Всегда применять без движения",""
"ability_approach_deactivate","Всегда применять без движения",""
"ability_cost_initial","Изначально",""
"ability_cost_recurring","Повторно",""
"ability_cost_sustained","Занято",""
"application_type_instant","мгновенно",""
"application_type_overtime","за",""
"ability_cast_time_none","Мгновенно",""
"ability_cast_time_format","{Value} сек.",""
"ability_cooldown_none","Нет",""
"damage_type_pierce","колющего урона",""
"damage_type_strike","дробящего урона",""
"damage_type_cold","урона холодом",""
"damage_type_fire","урона огнем",""
"damage_type_lightning","урона молнией",""
"damage_type_poison","урона ядом",""
"damage_type_true","истинного урона",""
"damage_type_divine","божественного урона",""
"damage_type_energy_drain","похищения энергии",""
"damage_type_vitality_drain","похищения жизни",""
"ability_format_wip","[WIP] {0}","Indicates that an ability is an internal work in progress"
"ability_format_beta","[BETA] {0}","Indicates that an ability is only available in closed beta"
"damage_total","Общий урон",""
"damage_over_time","Периодический урон",""
"dps_label","УВС","DPS = Damage Per Second"
"keyword_separator"," - ","Used for the list of ability tags/flags shown at the top of ability tooltips"
"damage","Урона",""
"attack_speed","Attack Speed",""
"attack_speed_value","{Value}/сек.",""
