"Key","SourceString","DevComment"
"Ailment_Weakened_0Name","Слабость",""
"Ailment_Weakened_1Desc","<b>+2%</> получаемого урона за каждый заряд.\nШанс наложения снижается сопротивлением прерыванию.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Chilled_0Name","Охлаждение",""
"Ailment_Chilled_1Desc","<b>-5%</> общей скорости за каждый заряд.\nНаносит истинный урон каждую секунду.\nШанс наложения снижается сопротивлением холоду.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Bleeding_0Name","Кровотечение",""
"Ailment_Bleeding_1Desc","Наносит истинный урон каждую секунду. \nШанс наложения снижается сопротивлением здоровью.",""
"Ailment_Staggered_0Name","Ошеломление",""
"Ailment_Staggered_1Desc","<b>-10%</> общей скорости за каждый заряд.\nШанс наложения снижается сопротивлением оглушению.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Frozen_0Name","Заморозка",""
"Ailment_Frozen_1Desc","Замороженные персонажи не могут двигаться и применять умения",""
"Ailment_Shocked_0Name","Шок",""
"Ailment_Shocked_1Desc","Наносит истинный урон каждую секунду и снижает скорость сотворения.\nШанс наложения снижается сопротивлением молнии.",""
"Ailment_Plagued_0Name","Чума",""
"Ailment_Plagued_1Desc","Наносит истинный урон каждую секунду.\nШанс наложения снижается сопротивлением яду.",""
"Ailment_Burning_0Name","Горение",""
"Ailment_Burning_1Desc","Наносит истинный урон каждую секунду. \nШанс наложения снижается сопротивлением здоровью.",""
"Ailment_Rooted_0Name","Опутывание",""
"Ailment_Rooted_1Description","Опутанные персонажи не могут двигаться и применять умения движения.",""
"Ailment_Slowed_0Name","Замедление",""
"Ailment_Slowed_1Description","Замедленные персонажи двигаются медленнее",""
"Ailment_Silenced_0Name","Немота",""
"Ailment_Silenced_1Description","Немые персонажи не могут применять умения, кроме основной атаки и уклонения.",""
"Ailment_Stunned_0Name","Оглушение",""
"Ailment_Stunned_1Description","Оглушенные персонажи не могут двигаться и применять умения.",""
