"Key","SourceString","DevComment"
"settings_screen_title","Настройки",""
"settings_no_editor_found","No Editor Found","Error text displayed in the settings menu if a settings entry was not configured properly by our coders"
"settings_available_options","Доступные настройки","Header for settings entry explanation that lists all possible values for multi-select fields"
"changelog","Патчноут",""
"pause_menu_title","Меню",""
"pause_menu_resume","Продолжить","Button to resume game / leave the pause menu"
"pause_menu_save","Сохранить",""
"pause_menu_main_menu","Главное меню","Button to return to main menu"
"dev_info_about_this_map","Об этой карте:","Shows some information about the current map"
"pause_menu_exit","Выход","Button to exit to Desktop"
"pause_menu_settings","Настройки","Open the settings / options menu"
"demo_press_any_button","Нажмите любую кнопку",""
"pause_menu_restart","Перезапустить",""
"pause_menu_exit_warning","Вы уверены, что хотите выйти из игры?","Warning when clicking on button to exit to Desktop"
"pause_menu_tutorials","Справочник",""
