"Key","SourceString","DevComment"
"attribute_points","Очки атрибутов",""
"attribute_agility","Ловкость",""
"attribute_cunning","Коварство",""
"attribute_knowledge","Интеллект",""
"attribute_resolve","Решимость",""
"attribute_might","Сила",""
"attribute_fitness","Храбрость",""
"attribute_vigor","Живучесть",""
"attribute_agility_short","Лов",""
"attribute_cunning_short","Ков",""
"attribute_knowledge_short","Инт",""
"attribute_resolve_short","Реш",""
"attribute_might_short","Сил",""
"attribute_fitness_short","Хра",""
"attribute_vigor_short","Жив",""
"attribute_agility_value","Ловкость {Value}",""
"attribute_cunning_value","Коварство {Value}",""
"attribute_knowledge_value","Интеллект {Value}",""
"attribute_resolve_value","Решимость {Value}",""
"attribute_might_value","Сила {Value}",""
"attribute_fitness_value","Храбрость {Value}",""
"attribute_vigor_value","Живучесть {Value}",""
"attribute_agility_short_value","Лов {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_cunning_short_value","Ков {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_knowledge_short_value","Инт {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_resolve_short_value","Реш {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_might_short_value","Сил {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_fitness_short_value","Хра {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_vigor_short_value","Жив {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_agility_description","Мера вашей скорости и проворства.\r\n• Позволяет носить легкую или среднюю броню и оружие\r\n• Идет в счет Храбрости и Коварства, увеличивающие некоторые типы урона.",""
"attribute_cunning_description","• Влияет на урон ядом и молнией",""
"attribute_fitness_description","• Влияет на дробящий и колющий урон",""
"attribute_knowledge_description","Мера вашего ума и проницательности.\r\n• Позволяет носить волшебные или плакированные робы и оружие\r\n• Идет в счет Коварства и Решимости, увеличивающие некоторые типы урона.",""
"attribute_might_description","Мера вашей силы и агрессии.\r\n• Позволяет носить тяжелую или узорчатую броню и оружие\r\n• Идет в счет Храбрости и Решимости, увеличивающие некоторые типы урона.",""
"attribute_resolve_description","• Влияет на урон огнем и холодом",""
"attribute_vigor_description","Мера вашего здоровья и упорства.\r\n• Идет в счет всех вторичных атрибутов\r\n• Повышает базовый запас здоровья",""
"attribute_screen_available_gold","Золото:",""
"attributes_title","Атрибуты",""
"attributes_description","Ваши основные физические и умственные способности, которые определяют ваши общие возможности и позволяют вам использовать различное снаряжение.","This description explains the concept of attributes - what they are used for and what they affect."
"attributes_experience","Опыт",""
"attributes_experience_short","Опыт",""
"attribute_popup_info","{AttributeValue} {AttributeLabel}","Utilized in floating combat text - damage numbers, experience, etc."
"attributes_experience_tooltip","{CurrentExperience} / {RequiredExperience}",""
