"Key","SourceString","DevComment"
"title","Сообщение об ошибке",""
"summary","Сводка",""
"description","Описание",""
"repro_rate","Легкость воспроизведения ошибки",""
"bug_type","Тип ошибки",""
"send_error_description","Не удалось отправить сообщение об ошибке для THQ Nordic.\r\n{detail_error}",""
"send_error_title","Ошибка при отправке",""
"error_reason_failed_to_connect","Не удалось подключиться или пройти аутентификацию.",""
"bug_reporter","Сообщить об ошибке",""
"api_key_tooltip","Under \""My Account\"" and \""API Access Key\"" press \""Show\""",""
"password","Пароль",""
"user","Имя пользователя",""
"api_key","Ключ доступа к API",""
"login","Redmine Login for Devs",""
"use_default","Гостевой вход",""
"show_password","Показать пароль",""
"uploading_throbber","Загрузка...",""
"send_success_title","Успех",""
"auto_open_in_browser","Открыт тикет в браузере?",""
"send_success_description","Ваше сообщение об ошибке было успешно отправлено. Спасибо за отчет! Вложения (например, скриншоты) будут загружаться в фоновом режиме.",""
