"Key","SourceString","DevComment"
"00_proti_beach","Пляж Проти",""
"00_wolf_den","Волчье логово",""
"00_proti_island","Остров Проти",""
"00_widows_cave","Пещера вдовы",""
"00_temple_crypt","Храмовый склеп",""
"00_temple_of_proteus","Храм Протея",""
"00_village_outskirts","Окрестности деревни",""
"00_mysterious_cave","Таинственная пещера",""
"00_proti_village","Деревня Проти",""
"00_ruins_passage","Проход через руины",""
"00_upper_cliffs","Верхние скалы",""
"00_gryphons_nest","Гнездо грифона",""
"00_gryphon_cult_camp","Лагерь грифонопоклонников",""
"00_mountain_descent","Горный спуск",""
"00_secluded_grotto","Уединенный грот",""
"01_desolate_shore","Покинутый берег",""
"01_altar_of_benevolence","Алтарь милосердия",""
"01_old_smugglers_cave","Пещера контрабандистов",""
"01_cliffside_overlook","Обзорная на холме",""
"00_proti_beach_alt","Пляж Проти",""
"01_broken_road","Разрушенная дорога",""
"01_the_great_dam","Великая плотина",""
"01_shrine_of_glaukos","Святилище Главка",""
"01_pyrgos_outskirts","Окрестности Пиргоса",""
"01_pyrgos","Пиргос",""
"01_southern_flooded_farmlands","Южные угодья",""
"01_foggy_hideout","Туманное убежище",""
"01_shrieking_ruins","Визжащие руины",""
"01_forlorn_garden","Заброшенный сад",""
"01_whispering_falls","Шепчущие водопады",""
"01_bronze_lions_camp","Лагерь бронзовых львов",""
"01_raiders_landing","Высадка мародеров",""
"01_great_shrine_of_glaukos","Великое святилище Главка",""
"01_western_flooded_farmlands","Западные угодья",""
"01_lookouts_vantage","Смотровая площадка",""
"01_butchers_fort","Форт мясника",""
"01_statue_shrine","Статуя",""
"01_eastern_flooded_farmlands","Восточные угодья",""
"01_crab_nest","Гнездовье крабов",""
"01_the_enclave","Анклав",""
"01_pyrgos_graveyard","Кладбище Пиргоса",""
"01_graveyard_tomb","Гробница",""
"01_secluded_beach","Уединенный пляж",""
"01_clifftop_outpost","Наскальный форпост",""
"01_erana_ruins","Руины Эраны",""
"01_northern_flooded_farmlands","Северные угодья",""
"01_serpents_cave","Змеиная пещера",""
"01_roadside_encampment","Придорожный лагерь",""
"01_ruined_watchtower","Разрушенная сторожевая башня",""
"01_northern_road","Северная дорога",""
"01_overgrown_vineyard","Заросший виноградник",""
"01_vineyard","Виноградник",""
"01_pans_sanctum","Святыня Пана",""
"01_family_crypt","Семейный склеп",""
"01_outlaws_perch","Насест разбойников",""
"01_mountain_path","Горная тропа",""
"01_howling_stone_ruins","Руины воющих камней",""
"01_moirai_gate","Врата Мойр",""
"02_gates_of_fate","Врата судьбы",""
"02_coral_reef","Коралловый риф",""
