Key,SourceString,DevComment
"fast_travel_destinations","Назначения:",""
"move_portal_confirmation","Хотите перенести свой личный портал?",""
"portal_button_tooltip","Открыть портал","The button in the HUD next to the minimap that opens a players personal portal"
"map_title","Карта мира",""
"fallback_location_description","Дикая местность","This will be displayed as location name if no suitable named area can be found"
"portal_button_toolip_disabled","Нельзя открыть портал",""
"portal_unknown_destination","Неизвестное назначение",""
"travel_input_hint","Отправиться",""
"portal_type_town_hub","Фонтан возрождения",""
"portal_type_minor","Путевая точка",""
"portal_type_ally","Союзник",""
"portal_type_personal","Личный портал",""
"portal_type_death","Место смерти",""
"confirm_travel_title","Отправиться",""
"confirm_travel_content","Вы уверены, что хотите воспользоваться этим порталом?",""
"confirm_travel_warning_use_once","Портал закрывается после использования.",""
"confirm_travel_ally_in_combat","Нельзя отправиться к союзнику в бою.",""
"cannot_travel","Нельзя отправиться",""
"fast_travel_destination","Назначение:",""
"death_portal_tooltip_main","Телепортирует обратно в то место, где вы ранее погибли. Одновременно может быть активен только такой портал.",""
"portal_title","Порталы",""
"fast_travel_teleport","Отправиться",""
"other_players","Другие герои",""
"portal_type_direct_to_player","Герой",""
"confirm_travel_direct_to_hero","Вы уверены, что хотите телепортироваться прямо к этому герою?",""
"fast_travel_in_combat","В бою",""
"map","Карта",""
"marker_dungeon","Вход",""
"0_Intro","Остров Проти - Пролог",""
"1_Ichtians","Затопленные угодья",""
"2_NorthernBeaches","Северные пляжи",""
"chapter_selection","Сюжетная глава",""
"minimap_area_label","{AreaName} (Ур. {AreaLevel})",""
"minimap_current_area_level_label","Текущий уровень области",""
"marker_ritual_shrine","Ритуальное святилище",""
"marker_dungeon_exit","Выход",""
"marker_jump_point","Прыжок",""
"marker_boss_fight","Память",""
"marker_boss_fight_ritual","Узел памяти",""
"marker_traversable","Подъем",""
"portal_unknown_player","Неизвестный игрок",""
"marker_destructible_wall","Разрушенная стена",""
"map_quests","Карта",""
"world_greece","Греция",""
