"Key","SourceString","DevComment"
"Overload_0Name","Перегрузка","615"
"Overload_1Description","Длительность: <b>5 сек.</> (независимая)\r\n\r\nНекоторые умения дают перегрузку, заряды которой можно <me_Cleanse>очистить</>.\r\nПерегрузка каждую секунду наносит вам комбинированный урон <me_FireDam>огнем</> и <me_LightningDam>молнией</> в размере <b>1.5%</> от макс. здоровья за каждый заряд.\r\n<me_Cleanse>Очищает</> <b>1</> заряд за каждые <b>15</> потраченной энергии на иные умения, кроме огненных или электрических.\r\nЗа каждый <me_Cleanse>очищенный</> заряд восстанавливает <b>5</> энергии в течение <b>1 сек.</>","No Maximum
Duration: <b>5s</> (independent)

Take <b>1%</> Maximum Health per stack as combined Fire and Lightning Damage per second.
Cleanse <b>1</> stack for every <b>15</> Energy spent on Non-Fire/Non-Lightning skills."
"Overwhelm_0Name","Сокрушение",""
"Overwhelm_1Description","Предел зарядов: <b>3</>\r\nДлительность: <b>8 сек.</>\r\n\r\n<b>Базовые</> умения дают заряды <b>сокрушения</> при ударе.\r\nПри предельном значении заряды могут быть потрачены <b>сокрушающими умениями</> на более сильные эффекты.",""
"Overwhelm_1BuffDescription","Предел зарядов: <b>3</>\r\nПредельное количество зарядов можно потратить на усиление сокрушающего умения.",""
"Rage_0Name","Ярость",""
"Rage_1Description","Предел зарядов: <b>10</>\r\nЗаряды распадаются каждые <b>3 сек.</>, причем делают это на <b>20%</> быстрее за каждый заряд.\r\n\r\n<b>+1%</> общего урона от атак за каждый заряд\n<b>+1%</> скорости атаки за каждый заряд",""
"SpellRage_0Name","Ярость магии",""
"SpellRage_1Description","Ярость также дает:\r\n<b>+1%</> общего урона чарами за каждый заряд\r\n<b>+1%</> скорости сотворения за каждый заряд",""
"Exhaust_0Name","Усталость",""
"Exhaust_1Description","При примении утомляющего умения регенерация энергии снижается на <b>75%</>.","While using an Exhaust skill you have Exhaust.

Causes <b>75%</> less Energy Regeneration."
"EtherShield_0Name","Эфирный щит",""
"EtherShield_1Description","При запасе энергии в <b>50%</> или более, <b>10%</> получаемого урона поглощается энергией.",""
"LightningStrike_0Name","Грозовая кара",""
"LightningStrike_1Description","Враг поражается молнией.\r\nНаносит урон молнией в зависимости от уровня вашего персонажа.",""
"Overflow_0Name","Переполнение",""
"Overflow_1Description","Переполнение происходит, когда дается заряд эффекта при уже предельном его количестве.",""
"DefaultAbility_0Name","Базовое умение",""
"DefaultAbility_1Description","Базовые умения можно применять даже в том случае, если у вас недостаточно энергии, но не меньше ее <me_Reserve>незанятого значения</>.",""
"Channeling_0Name","Поддерживание",""
"Channeling_1Description","Поддерживающие умение враги отмечаются иконкой над их головами.",""
"Incapacitated_0Name","Выведен из строя",""
"Incapacitated_1Description","Оглушенные или замороженные. Неспособные действовать.",""
"Disruption_0Name","Прерывание",""
"Disruption_1Description","Прерывающие умения разделяют между собой одно и то же время перезарядки.",""
"Amplify_0Name","Усиление",""
"Amplify_1Description","Некоторые умения генерируют заряды усиления.\r\nЭти заряды считаются отдельно под каждое умение.\r\nЭффект от усиления и метод его получения разнятся в зависимости от умения.","old: Amplify stacks are stored on abilities individually instead of on the character.
Effects and method of stacking are unique to the ability."
"Doom_0Name","Рок",""
"Doom_1Description","Предел зарядов: <b>20</>\r\nДлительность: <b>3 сек.</>\r\n\r\nКогда длительность <me_Doom>рока</> заканчивается, враг получает <me_VitalityDam>урон здоровьем</> за каждый заряд.","A status effect/debuff you can apply to enemies in various ways."
"Rupture_0Name","Разрыв",""
"Rupture_1Description","Разрыв наносит <me_TrueDam>истинный урон</> в размере <b>30%</> от максимального здоровья врага.\r\nБолее сильные враги получают меньше урона.\r\nСрабатывает не чаще раза в <b>0.4 сек.</>",""
"Flow_0Name","Поток",""
"Flow_1Description","Предел зарядов: <b>1</>\r\nДлительность: <b>2.5 сек.</>\r\n\r\nНекоторые умения или модификаторы генерируют <b>поток</>, а другие умения тратят его на более сильные эффекты.","Duration: <b>2.5s</>

Can be consumed by abilities for stronger effects."
"Blessing_0Name","Благословение",""
"Blessing_1Description","Благословенные умения разделяют между собой одно и то же время перезарядки.","You cannot benefit from the same modifier from multiple Blessings at the same time."
"Aura_0Name","Аура",""
"Aura_1Description","Ауры распространяют свое действие на вас и каждого <me_Ally>союзника</> вокруг.\r\nВы не сможете получить усиления от того же самого модификатора при наличии нескольких действующих аур одновременно.",""
"BleedRupture_0Name","Кровотечение - Разрыв",""
"BleedRupture_1Description","При наложении <me_Bleed>кровотечения</> вы с <b>+1%</> шансом за каждый заряд <me_Bleed>кровотечения</> на враге вызываете <me_Rupture>разрыв</>.",""
"ChillFreeze_0Name","Охлаждение - Заморозка",""
"ChillFreeze_1Description","При наложении <me_Chill>охлаждения</> вы с <b>+1%</> шансом за каждый заряд <me_Chill>охлаждения</> на враге <me_Freeze>замораживаете</> его на <b>1.5 сек.</>.",""
"Glancing_0Name","Скользящие атаки",""
"Glancing_1Description","Шанс на снижение получаемого урона от атаки на <b>50%</>.",""
"Mark_0Name","Метка",""
"Mark_1Description","Некоторые умения наложить на врага метку.\r\nДругие умения могут вызывать различные эффекты на отмеченном враге.\r\nТолько одна метка может быть активной в одно и то же время.",""
"Ailments_0Name","Хвори",""
"Ailments_1Description","Хвори накладываются зарядами и обладают самыми разными эффектами в зависимости от их типа. \r\nБольшинство наносит периодический урон, некоторые замедляют или снижают <me_Resistance>сопротивления</>.\r\nКаждая хворь вызывается соответствующим ей типом урона.",""
"Retaliate_0Name","Отражение",""
"Retaliate_1Description","Наносит урон в размере вашего отражаемого урона врагам, которые атакуют вас поблизости.",""
"BarrierConversion_0Name","Конверсия барьера",""
"BarrierConversion_1Description","Определяет расход энергии на энергобарьер.\r\n\r\nМожет быть увеличен экипировкой и мастерствами.",""
"EnergyBarrier_0Name","Энергобарьер",""
"EnergyBarrier_1Description","Добавляет прочность барьера, <b>затрачивая энергию</> на это.\r\n\r\nВ основном повышается благодаря определенным типам брони и мастерствам.",""
"FreeBarrier_0Name","Барьер",""
"FreeBarrier_1Description","Добавляет прочность барьера <b>без затрат</> энергии на это.\r\n\r\nВ основном повышается благодаря щитам и мастерствам.",""
"VitalityDamage_0Name","Урон здоровьем","outdated, use Damage_Vitality_0Name"
"VitalityDamage_1Description","Похищает 10% от урона в виде здоровья.","outdated, use Damage_Vitality_0Description"
"ElementalInfusion_0Name","Стихийная инфузия",""
"ElementalInfusion_1Description","Длительность: <b>30 сек.</> \r\n\r\nПрименение умения огня, холода или молнии дает инфузию того же типа, если у вас есть активное умение инфузии. \r\nТолько одна инфузия может существовать одновременно. Создание новой заменяет старую. \r\nСтихийные инфузии применяются для усиления умений.",""
"ElementalInfusion_1BuffName_Fire","Инфузия огня",""
"ElementalInfusion_2BuffDescription_Fire","Усиливает ваше следующее умение инфузии, позволяя ему нанести дополнительный урон огнем.",""
"ElementalInfusion_1BuffName_Cold","Инфузия холода",""
"ElementalInfusion_2BuffDescription_Cold","Усиливает ваше следующее умение инфузии, позволяя ему нанести дополнительный урон холодом.",""
"ElementalInfusion_1BuffName_Lightning","Инфузия молнии",""
"ElementalInfusion_2BuffDescription_Lightning","Усиливает ваше следующее умение инфузии, позволяя ему нанести дополнительный урон молнией.",""
"Armor_0Name","Броня",""
"Armor_1Description","Броня снижает получаемый физический урон в зависимости от типа.\r\nНапример, дробящая броня снижает получаемый <me_StrikeDam>дробящий урон</>.",""
"Resistance_0Name","Сопротивление",""
"Resistance_1Description","Сопротивление снижает урон соответствующего типа.\r\nТакже оно помогает противостоять соответствующим хворям.",""
"AilmentChance_0Name","Шанс хвори",""
"AilmentChance_1Description","Вероятность того, что атака или чары наложат хворь. Тип хвори зависит от типа нанесенного урона, и каждый удар может наложить только одну хворь одновременно. При нанесении нескольких типов урона вероятность выбора хвори зависит от величины соответствующего типа урона.","not super happy with this description yet, but adding it for now to iterate later."
"Conversion_0Name","Конверсия",""
"Conversion_1Description","Урон преобразовывается в другой до применения каких-либо повышающих урон эффектов.\r\nЕсли активны несколько преобразований, их эффекты разделяются.\r\nНапример, если атака имеет 100% конверсии в огонь и еще 100% конверсии в холода, то атака нанесет 50% урона огнем и 50% урона холодом.","needs iteration. early text."
"Ally_0Name","Союзники",""
"Ally_1Description","Союзниками считаются призванные существа, дружественные персонажи и другие игроки.",""
"Stun_0Name","Оглушение",""
"Stun_1Description","Оглушение считается <me_Impairment>недугом</>.\r\nОглушенные существа лишаются возможности предпринимать какие-либо действия в течение всего времени оглушения.",""
"Impairment_0Name","Недуг",""
"Impairment_1Description","Недуги взаимодействуют с тем, какие действия существо может выполнять и как.\r\nПрименению любых ослаблений препятствует <me_Resistance>сопротивление недугам</>.\r\nПримеры недугов: <me_Silence>немота</>, <me_Slow>замедление</>, <me_Freeze>заморозка</> и <me_Stun>оглушение</>.",""
"Slow_0Name","Замедление",""
"Slow_1Description","Замедление считается <me_Impairment>недугом</>.\r\nУ замедленного существа снижается скорость движения, атаки и сотворения.",""
"Silence_0Name","Немота",""
"Silence_1Description","Немота считается <me_Impairment>недугом</>.\r\nПораженное ей существо не может творить чары и применять большинство умений.",""
"Freeze_0Name","Заморозка",""
"Freeze_1Description","Заморозка считается <me_Impairment>недугом</>.\r\nЗамороженное существо не может своершать никаких действий.",""
"Ailment_Bleed_0Name","Кровотечение",""
"Ailment_Bleed_1Description","Кровотечение считается <me_Ailment>хворью</>.\r\nКаждый заряд кровотечения наносит высокий <me_DoT>периодический урон</>.\r\nКровотечение вызывается <me_PierceDam>колющим уроном</> и ухудшается <me_Resistance>колющим сопротивлением</>.",""
"Ailment_Chill_0Name","Охлаждение",""
"Ailment_Chill_1Description","Охлаждение считается <me_Ailment>хворью</>.\r\nКаждый заряд охлаждения наносит средний <me_DoT>периодический урон</> и <me_Slow>замедляет</>.\r\nОхлаждение вызывается <me_ColdDam>уроном от холода</> и ухудшается <me_Resistance>сопротивлением холоду</>.",""
"Ailment_Shock_0Name","Шок",""
"Ailment_Burn_0Name","Горение",""
"Ailment_Burn_1Description","Горение считается <me_Ailment>хворью</>.\r\nКаждый заряд горения наносит высокий <me_DoT>периодический урон</>.\r\nГорение вызывается <me_FireDam>уроном от огня</> и ухудшается <me_Resistance>сопротивлением огню</>.",""
"Ailment_Plague_0Name","Чума",""
"Ailment_Plagued_1Description","Чума считается <me_Ailment>хворью</>.\r\nКаждый заряд чумы наносит высокий <me_DoT>периодический урон</>.\r\nЧума вызывается <me_PoisonDam>уроном от яда</> и ухудшается <me_Resistance>сопротивлением яду</>.",""
"Ailment_Shock_1Description","Шок считается <me_Ailment>хворью</>.\r\nКаждый заряд шока наносит высокий <me_DoT>периодический урон</>.\r\nШок вызывается <me_LightningDam>уроном от молнии</> и ухудшается <me_Resistance>сопротивлением молнии</>.",""
"Ailment_Weak_0Name","Слабость",""
"Ailment_Weak_1Description","Слабость считается <me_Ailment>хворью</>.\r\nКаждый заряд слабости снижает <kw me=""Resistance"">сопротивления</>.\r\nСлабость вызывается <me_SpiritDam>уроном от духа</> и ухудшается <me_Resistance>сопротивлением духу</>.",""
"Ailment_Stagger_0Name","Ошеломление",""
"Ailment_Stagger_1Description","Ошеломление считается <me_Ailment>хворью</>.\r\nКаждый заряд ошеломления <kw me=""Slow"">замедляет</>.\r\nОшеломление вызывается <me_StrikeDam>дробящим уроном</> или <me_VitalityDam>уроном от здоровья</> и ухудшается соответствующим <me_Resistance>сопротивлением</>.",""
"Damage_Fire_0Name","Урон огнем",""
"Damage_Fire_1Description","Урон огнем повышается <me_Resolve>решимостью</> и ухудшается <me_Resistance>сопротивлением огню</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Burn>горения</>.",""
"Damage_Pierce_0Name","Колющий урон",""
"Damage_Pierce_1Description","Колющий урон повышается <me_Fitness>храбростью</> и ухудшается <me_Armor>колющей броней</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Bleed>кровотечения</>.",""
"Damage_Strike_0Name","Дробяший урон",""
"Damage_Strike_1Description","Дробящий урон повышается <me_Fitness>храбростью</> и ухудшается <me_Armor>дробящей броней</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Stagger>ошеломления</>.",""
"Damage_Cold_0Name","Урон холодом",""
"Damage_Cold_1Description","Урон холодом повышается <me_Resolve>решимостью</> и ухудшается <me_Armor>сопротивлением холоду</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Chill>охлаждения</>.",""
"Damage_Poison_0Name","Урон ядом",""
"Damage_Poison_1Description","Урон ядом повышается <me_Cunning>коварством</> и ухудшается <me_Armor>сопротивлением яду</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Plague>чумы</>.",""
"Attribute_Overall_0Name","Атрибуты",""
"Attribute_Overall_1Description","Атрибуты — это умственные и физические таланты персонажа.\r\nОни определяют его общие возможности и позволяют носить различное снаряжение.\r\nСуществует четыре основных атрибута, которые определяют силу трех вторичных атрибутов.\r\nОсновные атрибуты: <me_Agility>ловкость</>, <me_Knowledge>интеллект</>, <me_Might>сила</> и <me_Vigor>живучесть</>\r\nВторичные атрибуты: <me_Cunning>коварство</>, <me_Fitness>храбрость</> и <me_Resolve>решимость</>.",""
"Attribute_Agility_0Name","Ловкость",""
"Attribute_Agility_1Description","Ловкость считается <me_Attribute>основным атрибутом</>.\r\nОна повышает <me_Cunning>коварство</> и <me_Fitness>храбрость</>.",""
"Attribute_Might_0Name","Сила",""
"Attribute_Might_1Description","Сила считается <me_Attribute>основным атрибутом</>.\r\nОна повышает <me_Fitness>храбрость</> и <me_Resolve>решимость</>. ",""
"Attribute_Knowledge_0Name","Интеллект",""
"Attribute_Knowledge_1Description","Интеллект считается <me_Attribute>основным атрибутом</>.\r\nОн повышает <me_Cunning>коварство</> и <me_Resolve>решимость</>. ",""
"Attribute_Vigor_0Name","Живучесть",""
"Attribute_Vigor_1Description","Живучесть считается <me_Attribute>основным атрибутом</>.\r\nОна повышает все три вторичных атрибута (<me_Cunning>коварство</>, <me_Fitness>храбрость</> и <me_Resolve>решимость</>), но в меньшей степени, чем другие <me_Attribute>основные атрибуты</>.",""
"Attribute_Cunning_0Name","Коварство",""
"Attribute_Cunning_1Description","Коварство считается <me_Attribute>вторичным атрибутом</>.\r\nОно повышает <me_LightningDam>урон молнией</> и <me_PoisonDam>урон ядом</>.\r\nКоварство повышается <me_Agility>ловкостью</> и <me_Knowledge>интеллектом</>.",""
"Attribute_Resolve_0Name","Решимость",""
"Attribute_Resolve_1Description","Решимость считается <me_Attribute>вторичным атрибутом</>.\r\nОно повышает <me_FireDam>урон огнем</> и <me_ColdDam>урон холодом</>.\r\nРешимость повышается <me_Might>силой</> и <me_Knowledge>интеллектом</>.",""
"Attribute_Fitness_0Name","Храбрость",""
"Attribute_Fitness_1Description","Храбрость считается <me_Attribute>вторичным атрибутом</>.\r\nОна повышает <me_StrikeDam>дробящий урон</> и <me_PierceDam>колющий урон</>.\r\nХрабрость повышается <me_Agility>ловкостью</> и <me_Might>силой</>.",""
"Damage_Lightning_0Name","Урон молнией",""
"Damage_Lightning_1Description","Урон молнией повышается <me_Cunning>коварством</> и ухудшается <me_Armor>сопротивлением молнии</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Shock>шока</>.",""
"Damage_Physical_0Name","Физический урон",""
"Damage_Physical_1Description","Два типа физического урона это <me_StrikeDam>дробящий урон</> и <me_PierceDam>колющий урон</>.",""
"Damage_Vitality_0Name","Урон здоровьем",""
"Damage_Vitality_1Description","Урон здоровью обладает 10% <me_Lifesteal>похищением жизни</> и ухудшается <me_Resistance>сопротивлением здоровью</>.\r\nДает шанс наложить <me_Ailment>хворь</> <me_Stagger>ошеломления</>.",""
"Damage_Energy_0Name","Энергетический урон",""
"Damage_Energy_1Description","Энергетический урон нельзя ухудшить <me_Resistance>сопротивлениями</>.\r\nПри попадании он снижает текущую энергию существа.",""
"EnergyReserved_0Name","Занятая энергия",""
"EnergyReserved_1Description","Некоторые умения или эффекты (обычно постоянно активные <me_Aura>ауры</>) занимают энергию.\r\nЗанятая энергия изымается из вашего максимального запаса энергии.\r\nЗанять больше 100% энергии не получится.",""
"Unstoppable_0Name","Неудержимость",""
"Unstoppable_1Description","Пока вы неудержимы, вы невосприимчивы к эффектам контроля, вроде <me_Freeze>заморозки</> или <me_Stun>оглушения</>.",""
"Cleanse_0Name","Очищение",""
"Cleanse_1Description","Очищение снимает негативные эффекты.\r\nКоличество и тип очищенных эффектов обычно описываются в умении, вызвавшей очищение.",""
"Root_0Name","Опутывание",""
"Root_1Description","Опутывание считается <me_Impairment>недугом</>.\r\nОпутанное существо не может двигаться, но все еще может применять умения.\r\nОпределенные умения движения позволяют выбрать из опутывания, если это указано в их описании.",""
"DamageOverTime_0Name","Периодический урон",""
