"Key","SourceString","DevComment"
"checkbox_item_name","Показать названия предметов",""
"category_unique_items","Уникальные предметы",""
"category_masteries","Мастерство",""
"metaprogression_title","Кодейс Мойр",""
"subcategory_uniques_weapons","Уникальное оружие",""
"subcategory_uniques_armor","Уникальная броня",""
"subcategory_uniques_jewelery","Уникальная бижутерия",""
"masteries_locked","Завершите <b>{chaptername}</> с этой комбинацией мастерства, чтобы открыть.",""
"masteries_description","Открывайте значки, завершая главы <b>судьбоносных заданий</> игры с соответствующими комбинациями мастерства. Этот прогресс распространяется на всех ваших персонажей.",""
"uniques_description","Здесь представлены <b>редчайшие</> предметы, собранные вами в игре. Эта коллекция распространяется на всех ваших персонажей.",""
