"Key","SourceString","DevComment"
"locked","Закрыто","used to show gate is locked"
"unlocked","Открыто","used to show gate is unlocked"
"dye_phial_filled","Амфора заполнена",""
"death_message","Вам не суждено здесь умереть",""
"quest_completed","Задание выполнено",""
"level_up","Новый уровень",""
"death_message_hardcore","Ваша нить оборвана",""
"stash_full","Вкладка заполнена",""
"stash_not_selected","Нет открытой вкладки",""
"lever_handle_missing","Нет ручки","Used when lever handle not socketed in lever multi state actor"
"lever_handle_returned","Ручка вставлена","Used when lever is returned to the socket of lever multi state actor"
"gather_invitation","хочет собраться",""
"gather_party","Собрать отряд",""
"leave_the_area","хочет, чтобы вы покинули область",""
"cant_join_bossfight","Нельзя войти в этот бой повторно",""
"caravan_merged_title","Мы обновили ваше хранилище!",""
"caravan_merged_description","В недавнем обновлении мы объединили совместную и одиночную версии игры в одну.\r\nЭто означает, что все ваши персонажи из мультиплеера были перенесены.\r\nМы переместили все предметы из их общих вкладок хранилища в ваше текущее хранилище.\r\nВ процессе мы могли разблокировать для вас некоторые ранее закрытые вкладки хранилища.",""
"caravan_merged_not_complete_title","Слишком много предметов для объединения хранилища!",""
"caravan_merged_not_complete_description","При перемещении предметов из вашего общего хранилища из мультиплеера у вас закончилось место.\r\nВсё ещё {0} предметов ожидают перемещения.\r\nПожалуйста, освободите место в вашем хранилище. После того, как вы снова войдете в игру этим персонажем, оставшиеся предметы будут обработаны.\r\nПримечание: этот процесс можно повторять несколько раз, поэтому не нужно делать всё сразу, если вам не хочется или не хватает места.\r\nВы также можете отказаться от предметов. Обратите внимание, что это удалит их без возможности восстановления.",""
"caravan_merged_not_complete_yes","Продолжить",""
"caravan_merged_not_complete_no","Отказаться от предметов",""
