"Key","SourceString","DevComment"
"ritual_xyz_description","Описание моего ритуала",""
"ritual_xyz_name","Название ритуала",""
"ritual_attribute_reset_name","Сброс атрибутов",""
"ritual_attribute_reset_description","• Сбросить все вложенные очки атрибутов",""
"ritual_boss_respawn_name","Возродить босса",""
"ritual_boss_respawn_description","• Возродить босса этой арены",""
"ritual_adjust_difficulty_name","Сложность","Shown as name of the ritual"
"ritual_adjust_difficulty_description","• Поднять или снизить сложность","Shown in the description of the ritual"
"ritual_respawn_enemies_name","Возрождение врагов",""
"ritual_respawn_enemies_description","• Возродить врагов в области",""
"ritual_adjust_difficulty_short_description","• Поднять или снизить сложность","Shown in the ritual category's description"
"ritual_attribute_reset_short_description","• Сбросить все вложенные очки атрибутов",""
"ritual_boss_respawn_short_description","• Возродить босса этой арены",""
"ritual_respawn_enemies_short_description","• Возродить врагов в области",""
"shrine_name_default","Святилище",""
"ritual_successful","Ритуал прошел успешно",""
"ritual_spawn_fight_name","Ритуал сражения",""
"ritual_spawn_fight_description","• Начать сложный бой",""
"ritual_spawn_fight_short_description","• Начать сложный бой",""
"ritual_category_name_debug","Категория ритуала",""
"ritual_category_flavour_debug","<i>Много я страдал, долго и упорно трудился в волнах и войнах. Прибавьте это к общему числу - начинайте испытание!</>",""
"ritual_category_description_debug","Вот описание доступных ритуалов",""
"ritual_category_description_reweaving","<b>• Стоит разное количество золота</>",""
"ritual_category_flavour_reweaving","<i>Обращение к Афине, богине мастерства и стратегии, позволяет исследовать альтернативные тактики по сравнению с теми, которые были раньше.</>",""
"ritual_category_name_reweaving","Ритуалы Афины",""
"ritual_category_description_fateremembered","<b>• Стоит разное количество золота</>",""
"ritual_category_name_fateremembered","Ритуалы Ареса",""
"ritual_category_flavour_fateremembered","<i>Обращение к Аресу, богу битвы и славы, позволяет пройти еще более серьезные боевые испытания, а также встретиться со старыми врагами.</>",""
"ritual_category_choose_ritual","<b>• Выберите один из вариантов:</>",""
"shrine_name_major_shrine","Великое святилище",""
"shrine_name_minor_shrine","Малое святилище",""
"ritual_modal_adjust_difficulty","Настроить сложность",""
"ritual_modal_adjust_difficulty_description","Выберите, на сколько уровней вы хотите увеличить или уменьшить уровень врагов.\r\nСтоимость ритуала зависит от разницы в уровнях.",""
"ritual_modal_adjust_difficulty_current","Текущий уровень врагов:",""
"ritual_adjust_min_level_name","Уровень врагов",""
"ritual_adjust_min_level_description","• Поднять уровень врагов",""
"ritual_adjust_min_level_short_description","• Поднять минимальный уровень врагов",""
"ritual_modal_adjust_min_level_description","Повышает минимальный уровень врагов до вашего текущего уровня.\r\nСтоимость ритуала зависит от повышения.",""
"ritual_modal_adjust_min_level_current","Текущий минимальный уровень:",""
"ritual_modal_adjust_min_level_new","Новый минимальный уровень",""
"ritual_suffix_per_level","за ур.",""
"ritual_modal_generic_title","Подтвердить ритуал",""
"ritual_modal_generic_description","Вы уверены, что хотите активировать этот ритуал?",""
"ritual_easy_mode_description","• Поднять сложность до <b>Адепта</>",""
"ritual_easy_mode_name","Покинуть режим Неофита",""
"ritual_easy_mode_short_description","• Поднять сложность до <b>Адепта</>",""
"multiplayer_disclaimer","Ритуалы пока недоступны в совместной игре.",""
"multiplayer_title","Примечание",""
"ritual_boss_respawn_notification","Узел памяти открыт",""
"require_exit_from_boss_area","Попросить уйти",""
