"Key","SourceString","DevComment"
"ability_slot_1","Умение 2",""
"ability_slot_2","Умение 3",""
"ability_slot_3","Умение 4",""
"ability_slot_4","Умение 5",""
"ability_slot_5","Умение 6",""
"ability_slot_6","Умение 7",""
"ability_slot_7","Умение 8",""
"ability_slot_8","Умение 9",""
"potion_slot_1","Зелье 1",""
"ability_slot_9","Умение 10",""
"potion_slot_2","Зелье 2",""
"ability_slot_0","Умение 1",""
"weapon_swap","Сменить набор умений",""
"weapon_set_a","Набор оружия I",""
"weapon_set_b","Набор оружия II",""
"loadout_switch_button_description_1","Сменить на набор умений I\r\nи набор оружия I",""
"loadout_switch_button_description_2","Сменить на набор умений II\r\nи набор оружия II",""
