"Key","SourceString"
"IncreasedDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона"
"IncreasedPhysicalDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_Physical>физического урона</>"
"IncreasedElementalDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> стихийного урона"
"IncreasedBleedDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона <me_Bleed>кровотечением</>"
"IncreasedStaggerPower","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_AilmentPower>силы</> <me_Stagger>ошеломления</>"
"IncreasedRetaliationDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_Retaliate>отражаемого урона</>"
"IncreasedPhysicalRetaliationDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_Physical>физического</> <me_Retaliate>отражаемого</> урона"
"MoreRetaliationDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_Retaliate>отражаемого урона</>"
"SummonIncreasedDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона <me_Summon>прислужников</>"
"DeviceIncreasedDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона <me_Device>механизмов</> и их умениями"
"DeviceIncreasedActivationSpeed","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> скорости <me_Activation>срабатывания</> <me_Device>механизмов</>"
"DeviceIncreasedActivations","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> {Value}|plural(one=<me_Activation>срабатывание</>,other=<me_Activation>срабатывания</>) <me_Device>механизмов</>"
"DeviceAddDoubleActivationChance","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> шанса двойного <me_Activation>срабатывания</> <me_Device>механизмов</>"
"MoreDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона"
"SummonMoreDamage","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> урона <me_Summon>прислужников</>"
"AddCritChance","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> шанса <me_Critical>критического удара</>"
"SummonAddCritChance","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> шанса <me_Critical>критического удара</> <me_Summon>прислужников</>"
"IncreasedHealth","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> здоровья"
"SummonIncreasedHealth","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> здоровья <me_Summon>прислужников</>"
"IncreasedArmor","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> <me_Armor>брони</>"
"SummonIncreasedArmor","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> брони <me_Summon>прислужников</>"
"AddArmor","<b>+{Value}|floor()</> <me_Armor>брони</>"
"SummonAddArmor","<b>+{Value}|floor()</> <me_Armor>брони</> <me_Summon>прислужников</>"
"AddScrapMax","<b>+{Value}|floor()</> предела <me_DivineCore>ядер богов</>"
