"Key","SourceString","DevComment"
"abstract_personal_portal","Личный портал ({0})",""
"abstract_death_portal","Портал смерти ({0})",""
"00_start","Дом",""
"00_shrine1","Окрестности деревни Проти",""
"00_proti_village","Деревня Проти",""
"00_escape_cave","Горный спуск",""
"00_climb","Верхние скалы",""
"00_mountain_top","Гнездо грифона",""
"01_pyrgos","Деревня Пиргос",""
"01_prehub_beach_shore","Покинутый берег",""
"01_vineyard_entrance","Виноградник",""
"01_moirai_gate","Ворота храма Мойр",""
"01_moirai_realm","Царство Мойр",""
"01_enclave","Анклав",""
"01_moirai_cave","Вход храма Мойр",""
"01_center","Центральные угодья",""
"01_east","Восточные угодья",""
"01_south_east","Юго-восточные угодья",""
"01_south","Южные угодья",""
"01_moirai_cave_spartan","Заблокированные ворота",""
"01_moirai_cave_divine_challenge","Подземелье храма Мойр",""
"01_moirai_cave_mid_point","Галерея Лехесис",""
"01_moirai_cave_inner_sanctum","Портал судьбы",""
"01_prehub_beach_cliff","Возвышающаяся тропа",""
"01_prehub_cave_exit","Разрушенная дорога",""
"01_prehub_bridge","Великая плотина",""
"01_prehub_outskirts","Окрестности Пиргоса",""
"01_bandits","Смотровая площадка",""
"01_desecrated_shrine","Оскверненное святилище",""
"01_graveyard","Кладбище",""
"01_erana_ruins","Руины Эраны",""
"01_tavern_crossroads","Перекресток угодий",""
"01_ruined_tower_crossroads","Перекресток башен",""
"01_vineyard_cliffside","Скала виноградника",""
"02_moirai_cave_exit","Выход из пещеры Мойр",""
"02_explorer_camp","Приют путешественников",""
"02_digsite","Ихтианские раскопки",""
"02_digsite_burial_cave","Вход в могильники",""
"02_digsite_hill","Прибрежные предгорья",""
"02_gryphon_mountain","Подножие горы",""
"02_gryphon","Логово грифона",""
"02_sunken_temple_arrive","Вход в затонувший храм",""
"02_sunken_temple_nemesis","Залы затонувший храма",""
"02_sunken_temple_end","Логово Сциллы",""
"02_sunken_temple_portal","Древний портал",""
"02_ship_graveyard","Кладбище кораблей",""
"02_mycenaean_plateau","Разрушенные тропы",""
"02_fortress_outer","Окрстности твердыни",""
"02_fortress_cave","Проклятый проход",""
"02_fortress_inner","Твердыня ихтианов",""
"02_fortress_arena","Сердце твердыни",""
"02_south_road_crossing","Южная дорога",""
"02_east_roaming_cliffs","Восточная местность",""
"02_east_roaming_area","Предскальный мост",""
"02_south_west_coast","Коварный берег",""
"02_north_west_coast","Северное побережье",""
"03_tegea","Тегея",""
"03_outpost","Форпост повстанцев",""
"03_dried_lake_shore","Берега озера Така",""
"03_centaur_stronghold","Лагерь клеймоносцев",""
"03_south_roaming_sewer","Канализация Тегеи",""
"03_ixion_palace_outer","Руины внешнего дворца",""
"03_ixion_palace_throne","Тронный зал Иксиона",""
"03_ixion_palace_start","Дворец Иксиона",""
"03_intro_temple","Святилище Гефеста",""
"03_tegea_outskirts","Северные окраины Тегеи",""
"03_quarry","Карьер Долиана",""
"03_olymp","Олимп",""
