"Key","SourceString","DevComment"
"dodge_title","Уклонение",""
"dodge_text","Нажмите <gga id=\""bp_bga_player_generic_dodge\""/>, чтобы <b>уклониться</>.",""
"combat_basics_title","Атака",""
"combat_basics_text","Нажмите <gga id=\""bp_selector_player_standardWeaponAttack\""/>, чтобы <b>атаковать</>.",""
"inventory_title","Инвентарь",""
"inventory_text","Боги даровали вам добычу.\r\n\r\nnНажмите <gia id=\""ia_UI_window_inventory\""/>, чтобы открыть ваш <b>инвентарь</>.",""
"mastery_window_text","Боги даровали вам свое благословение. \r\n\r\nНажмите <gia id=\""ia_UI_window_masteries\""/>, чтобы открыть <b>экран мастерства</> и выбрать ваше первое мастерство.",""
"mastery_window_title","Выбор мастерства",""
"attribute_window_text","Вы получили <b>очки атрибутов</>. Нажмите <gia id=\""ia_UI_window_attributes\""/>, чтобы вложить их.",""
"attribute_window_title","Очки атрибутов",""
"mastery_passives_title","Пассивные способности",""
"mastery_passives_text","Вкладывайте <b>очки способностей</>, нажимая на <b>[+]</> под пассивной способностью.\r\nПассивные способности открывают мощные <b>модификаторы</> при вложении достаточного количества очков.",""
"mastery_actives_title","Умения и способности",""
"mastery_actives_text","Поднимайте уровень <b>активных умений</>, нажимая на <b>[+]</> под ними.\r\n\r\nЭто также повышает <b>вместимость</> умения, которая позволяет вложить в умение мощные <b>модификаторы</>.\r\nНе волнуйтесь, позже вы всегда сможете сбросить вложенные очки!",""
"equipping_modifiers_title","Добавление модификаторов",""
"equipping_modifiers_text","Вы можете применить модификаторы к вашим умениям и способностям, <b>кликнув на них</>.\r\nКаждый модификатор требует свободной <b>вместимости</>. Вы можете увеличить вместимость умения, повышая его уровень.\r\nБольшинство модификаторов обладает <b>рангами</>. Нажимайте на модификаторы <b>несколько раз подряд</>, чтобы повысить их ранг и затратить более количество <b>вместимости</>.",""
"potions_title","Зелья",""
"potions_text","Potions restore Health <gia id=\""ia_character_potion_a\""/> or Energy <gia id=\""ia_character_potion_b\""/>.\r\n\r\nYou re-gain <b>Health</> potions by <b>dealing damage</> to enemies.\r\n<b>Energy</> Potions restore <b>over time</>",""
"death_title","Смерть",""
"death_text","Вас одолели, но Судьбы распорядилась так, что вам еще не время умирать. \r\n\r\nПодойдите к <b>фонтану возрождения</> и выберите свой <b>портал смерти</>, чтобы телепортироваться обратно в место своей смерти.",""
"interactions_title","Взаимодействие",""
"interactions_text","<input>ЛКМ</> для взаимодействия с другими персонажами и объектами окружения",""
"open_map_title","Карта",""
"open_map_text","Press <gia id=\""ia_UI_window_map\""/> to open your Map.",""
"attribute_basics_title","Основы атрибутов",""
"attribute_basics_text","Вкладывайте очки в <b>основные атрибуты</>, нажимая на <b>[+]</> при наведении на них.\r\nЧем выше основные атрибуты, тем более сильную экипировку вы сможете надеть!\r\nОни также повышают <b>второстепенные атрибуты</>, которые увеличивают некоторые типы урона.",""
"mastery_core_title","Умения сути",""
"mastery_core_text","Вы также можете повышать уровень у ваших <b>умений сути</>!\r\nВыберите вкладку <b>Сути</> на экране мастерства.\r\nВаши <b>выбранные мастерства</> иногда даже <b>открывают новые уникальные модификаторы</> для умений Сути!",""
"exploration_title","Исследование",""
"exploration_text","Это <b>ваше приключение</>! Мир <i>Titan Quest II</> создан вручную и полон секретов, приключений и мифологических существ, которых можно обнаружить. \r\n\r\nНе все квестовые локации и встречи отмечены на карте. <b>Исследуйте</>, обращайте внимание на окружающую обстановку и разговаривайте с NPC, чтобы открывать новые локации, захватывающие встречи и <b>эпические награды</>.",""
"modifier_window_title","Модификаторы умений",""
"modifier_window_text","Вы можете <b>нажать на умение</>, чтобы открыть <b>окно модификаторов</>, где можно изменять и усилять умение <b>модификаторами</> так, как только пожелаете.",""
"personal_portal_title","Личный портал",""
"personal_portal_text","You can press <gia id=\""ia_character_place_portal\""/> to open your <b>personal portal</>.\r\n\r\nIt will allow you to  travel to <b>any other waypoints or portals</>, as long as no enemies are around.",""
"portal_return_title","Возвращение через порталы",""
"portal_return_text","Ваш <b>личный портал</> остается открытым после возвращения в город.\r\n\r\nПодойдите к <b>путевой точке</> и выберите свой <b>личный портал</> из списка, чтобы вернуться через него.",""
"rituals_title","Ритуалы",""
"rituals_text","<b>Ритуальные святилища</> позволяют вам провести ритуалы за <b>золото</>, которые дают различные эффекты.\r\n\r\nСейчас вы можете:\r\n\r\n• Сбросить вложенные очки атрибутов\r\n\r\n• Повысить уровень врагов,\r\n  чтобы увеличить сложность и награды",""
"barrier_title","Барьер",""
"barrier_text","You can use your <b>Barrier Skill</> to temporarily boost your defense.\r\n\r\nUse the <b>Barrier</> Skill (<gga id=\""bp_bga_player_generic_barrier_p\""/>)  to actively defend yourself, granting extra protection.\r\n\r\nEquipping a shield or wearing warded armor increases your ability to do this effectively.",""
"category_default","Разное",""
"category_mastery","Мастерство",""
"category_combat","Бой",""
"category_attributes","Атрибуты",""
"category_portals","Порталы",""
"ailments_apply_title","Хвори - Наложение",""
"ailments_apply_text","Ailments are <b>negative effects</> that can be applied as <b>stacks</> to enemies and players.\r\n\r\nThere are 3 steps when applying Ailments:\r\n• <b>Attack:</> Each attack has an Ailment-Chance, that defines if it would apply an Ailment. \r\n• <b>Resist:</> The target now resists the Ailment being applied by using its Resistances.\r\n• <b>Define Type:</> If an Ailment is applied and the creature doesn’t resist, the <b>type of Ailment</> is chosen. It depends on the attack’s <b>damage-types</>. The <b>more damage</> of a type is present, the <b>higher the chance</> of its Ailment being applied.\r\n\r\nShould Ailment-Chance be <b>above 100%</>, an <b>additional roll</> in the “Define Type” step is made to maybe apply a <b>2nd stack</> and so on.",""
"ailments_effect_title","Хвори - Эффект",""
"ailments_effect_text","Ailments are applied as <b>stacks</>.\r\nEach stack <b>expires</> after a certain <b>duration</>.\r\nThe <b>maximum amount</> of stacks per Ailment is <b>10</> per creature or player applying it. It can never exceed <b>20</>, even from multiple sources combined.\r\nEach Ailment has a <b>different effect</> once applied.\r\nThe <b>strength</> of this effect is defined by the <b>amount of stacks</> on the target.\r\n\r\nThe following Ailments exist:\r\n• <b>Stagger</> is caused by <b>Strike Damage</> and reduces the targets <b>move and attack-speed</>.\r\n• <b>Bleeding</> is caused by <b>Pierce Damage</> and causes the target to receive <b>Damage over Time</> (DoT).\r\n• <b>Burning</> is caused by <b>Fire Damage</> and causes the target to receive <b>DoT</>.\r\n• <b>Chilled</> is caused by <b>Cold Damage</> and causes the target to receive <b>low DoT (half compared to main-damaging Ailments) and be slowed</>.\r\n• <b>Plagued</> is caused by <b>Poison Damage</> and causes the target to receive <b>DoT</>.\r\n• <b>Shocked</> is caused by <b>Lightning Damage</> and causes the target to receive <b>DoT</> and be have a chance of being <b>disrupted</> when performing abilities.\r\n\r\nAny Ailment damage is dealt as <b>True Damage</> and is <b>not adjusted by Resistances</>.",""
"critical_strikes_title","Критические удары",""
"critical_strikes_text","Каждая атака с некоторым шансом может стать <b>критической</>. Критический удар наносит <b>больше урона</> и с <b>большим шансом накладывает хвори</>.\r\nШанс на подобные атаки складывается из следующих аспектов:\r\n\r\n• <b>Базовый шанс</> критического удара от атаки.\r\n• <b>Шанс критического удара оружием</> для атак при помощи него.\r\n• Любые модификаторы шанса критического удара от <b>экипировки или умений</>.\r\n\r\n<b>Ультра-криты:</> если шанс критического удара превышает <b>100%</>, он может превратиться в Ультра-крит.\r\nВсе %-процентные шансы выше 100 идут в счет шанса появления Ультра-критического удара.\r\nУльтра-критические удары наносят <b>еще больше урона и еще чаще накладывают хвори</>.",""
"defense_title","Концепты защиты",""
"defense_text","Существует <b>несколько способов</> защиты от вражеских атак.\r\n\r\nСледующие элементы работают <b>в перечисленном ниже порядке</>, когда наносится урон:\r\n• <b>Скользящий удар:</> %-процентная защита. Снижает входящий урон и атакующие эффекты.\r\n• <b>Снижение урона:</> любые снижающие урон эффекты от экипировки или умений. \r\n• <b>Сопротивление:</> снижает весь нефизический урон в зависимости от его типа.\r\n• <b>Броня:</> снижает весь физический урон в зависимости от его типа.\r\n• <b>Защитный эффект:</> и последнее - любые дополнительные эффекты щита, вроде барьера.",""
"attribute_window_text_gamepad","You have earned new <b>Attribute Points</>. Press <gia id=\""ia_UI_window_map\""/>, then navigate to the <b>Attribute-Tab</>.",""
"guides","Руководства",""
"category_mechanics","Механики",""
"divinity_title","Божественность",""
"divinity_text","You have earned <b>Divinity Points</>!\r\nUse them to <b>increase</> the power of your <b>Masteries</>.\r\n\r\nPress <gia id=\""ia_UI_window_masteries\""/> to open the <b>Mastery Screen</> and assign them.",""
"divinity_text_gamepad","You have earned <b>Divinity Points</>.\r\nUse them to <b>increase</> the power of your <b>Masteries</>.\r\nPress <gia id=\""ia_UI_window_map\""/>, then navigate to the <b>Mastery Screen</> to assign them.",""
"divinity_use_title","Божественность II",""
"divinity_use_text","<b>Divinity</> is used to unlock new <b>Mastery Tiers</>.\r\nYou can spend it by <b>clicking on the plus below the bar on the left</>.\r\n\r\nFrom now on you can gain Divinity in the following ways:\r\n• <b>Leveling Up</> rewards small amounts\r\n• <b>Divine Challenges</> reward large amounts\r\n• Some <b>Quests</> might also reward you with Divinity.",""
"boss_resummon_1stpickup_title","Пережитки",""
"boss_resummon_1stpickup_text","When you <b>defeat bosses</> for the first time, they will drop a <b>Remnant</>.\r\nRemnants can be offered at <b>Ritual Shrines</> found in towns.\r\nDoing so unlocks the ability to <b>revisit a memory of that battle</> whenever you wish.",""
"boss_resummon_1sthandin_title","Повторные битвы с боссами",""
"boss_resummon_1sthandin_text","You have offered your first <b>Remnant</>.\r\nWhen you <b>return to the boss\'s arena</>, you will find a <b>Memory Knot</>.\r\nFor a small price, you may <b>revisit a memory of that battle</> as often as you like.\r\nBe sure to offer any Remnants you find at a Ritual Shrine.",""
"mastery_2nd_SWA_text","You have two <b>Primary Attack</> abilities that contain the same modifiers.\r\nThey can be <b>customized individually</>. \r\nThis can be helpful when using different weapons via <b>weapon swap</>.\r\nThe points are <b>not shared</> between the two abilities and need to be assigned seperately.",""
"nemesis_energy_title","Nemesis Energy",""
"nemesis_energy_text","The power of the <b>Dye Phial</> allows you to absorb <b>Nemesis Energy</>.\r\nWhenever you do, the absored energy enters the phial.\r\nOnce it is full, the energy will disappear, leaving the phial empty and granting you <b>Divinity</>.",""
