"Key","SourceString","DevComment"
"vendor_category_all_items","Все предметы",""
"vendor_category_ranged_weapons","Дальнее оружие",""
"vendor","Торговец",""
"vendor_tooltip_price","Цена: {Gold}",""
"vendor_type_general","Торговец",""
"vendor_type_arcanist","Чародей",""
"vendor_type_armorer","Бронник",""
"vendor_type_jeweler","Ювелир",""
"vendor_type_caravan","Погонщик",""
"caravan_purchase_tab","Купить вкладку",""
"caravan_purchase_tab_description","Купить дополнительную вкладку каравана за {GoldAmount} золота?",""
"caravan_edit_tab","Изменить вкладку",""
"caravan_tab_name","Название вкладки",""
"caravan_tab_color","Цвет",""
"caravan_tab_icon","Значок",""
"caravan_tab_index","Индекс вкладки",""
"caravan_use_icon","Поменять значок",""
"caravan_base_tab","Основная вкладка",""
"caravan_move_tab","Переместить вкладку",""
"caravan_purchase_tab_disabled","Вы достигли предела\nкупленных вкладок.",""
"caravan_tab_max","Доступно вкладок: ",""
"caravan_default_numbered_tab_name","Вкладка {InventoryIndex}",""
"caravan_all_tabs","Все вкладки",""
"caravan_shared_tab_tooltip","Не делится\nмежду персонажами",""
"scavenger","Собиратель",""
"caravan_purchase_tab_disabled_short","Купить вкладку - Макс.",""
