"Key","SourceString","DevComment"
"DamageOverTimeRangeFormat","{0} - {1}","args: 0 = low range end; 1 = high range end"
"DamageOverTimeFormat","{0} за {1} сек.",""
"DamageOverTimeMainFormat","{0} периодического урона за {1} сек.",""
"DamageTypesListSeparator",", ",""
"CastTimeTitle_Neutral","Время применения",""
"CastTimeTitle_Attack","Время атаки",""
"CastTimeTitle_Cast","Время сотворения",""
"CastRangeDistance","{0} {0}|plural(one=Метр,other=Метров)",""
"CostPerSecondFormat","{0}/сек.",""
"CostFormat","{0} {1} ({2})","arguments: 0 = number; 1 = stat; 2 = cost type (e.g. over time)"
"TooltipAbilityDamageFormat","{0} {1}","args: 0 = number; 1 = damage type"
"TooltipAbilityDamageRangeFormat","{0}-{1} {2}","args: 0 = low range number; 1 = high range number; 2 = damage type"
"TooltipListDelimiter",", ","ability tooltips can use this to combine systemic labels in list"
"TooltipListConjunction"," and ","some languages might want the last combine token to be an and instead of another comma"
"TooltipWeaponDamage","{0} Weapon Damage",""
"TooltipWeaponDamageOverTime","{0} Weapon Damage over {1}s",""
