"Key","SourceString","DevComment"
"GamepadCollection_Name","Геймпад",""
"GamepadIcons_Name","Иконки геймпада",""
"GamepadIcons_Description","Определяет вид отображаемых иконок геймпада. Автоматическая настройка определяет их в зависимости от типа подключенного геймпада. Все остальные варианты устанавливают определенные виды иконок.",""
"GamepadIcons_Automatic","Автоматически",""
"StickDeadzone_Name","Мертвая зона стиков",""
"StickDeadzone_Description","Регулирует область вокруг стиков, которая не будет считаться нажимаемой. Слишком низкое значение может привести к тому, что персонаж продолжит двигаться даже после того, как вы уберете палец со стика.",""
"MiddleMouseButtonShort","СКМ",""
"ThumbMouseButtonShort","БКМ1",""
"ThumbMouseButton2Short","БКМ2",""
"LeftAltShort","Alt",""
"RightAltShort","R Alt",""
"LeftCtrlShort","Ctrl",""
"RightCtrlShort","R Ctrl",""
"InputIndicatorSeparator"," + ",""
