"Key","SourceString","DevComment"
"MustRecoverBackups","Предыдущая операция сохранения завершилась неудачей, и перед повторной попыткой сохранения необходимо восстановить резервные копии.",""
"CouldNotDeleteBackups","Не удалось удалить старые резервные копии. Проверьте права доступа к каталогу: {0}",""
"CouldNotCreateBackups","Не удалось создать резервные копии. Проверьте права доступа и наличие места на диске в каталоге: {0}",""
"CouldNotGenerateFileMarker","Не удалось создать маркер сохранения файла. Произошла неизвестная внутренняя ошибка.",""
"CouldNotCreateFileMarker","Не удалось создать маркер сохранения файла. Проверьте права доступа и наличие места на диске в каталоге: {0}",""
"CouldNotSave","Не удалось записать сохранения игр на диск. Проверьте права доступа и место на диске в каталоге: {0}\nВосстановление будет выполнено при следующей попытке сохранения.",""
"DataCorruptedWhenWriting","При попытке записи сохраненных данных на диск обнаружено повреждение данных.\nПроверьте целостность вашего SSD.",""
"CouldNotDelete","Не удалось удалить сохранённые игры с диска. Проверьте права доступа к каталогу: {0}\nПопытка восстановления частично удалённых файлов сохранения будет предпринята при следующем запуске игры.",""
"CouldNotDeleteFileMarker","Не удалось удалить маркер сохранения файла. Проверьте права доступа и удалите файл {0} вручную.",""
"FailedToAcquireWriteLock","Не удалось сохранить данные, так как другой процесс в данный момент записывает данные в папку сохранения. Убедитесь, что одновременно запущен только один экземпляр Titan Quest 2.\nПопытка сохранения будет повторена во время следующего автоматического сохранения.",""
"CouldNotLoadFileMarkerRecoverBackups","Не удалось проверить целостность сохраненной игры: маркер файла сохранения не удалось загрузить. Проверьте права доступа к каталогу: {0}",""
"CouldNotParseFileMarkerRecoverBackups","Не удалось проверить целостность сохраненной игры: маркер файла сохранения, по-видимому, поврежден.\nСоздайте вручную резервную копию каталога {0}, затем удалите файл {1}.sav и перезапустите игру, чтобы попытаться загрузить игру без проверки.",""
"CouldNotDeleteFileMarkerCheckAndRecoverBackups","Не удалось удалить маркер сохранения файла. Проверьте права доступа и удалите файл {0} вручную.",""
"FileMarkerAndBackupFilesMismatch","Ошибка восстановления из резервной копии. Маркер файла и файлы резервной копии не совпадают. Резервная копия может быть повреждена. \n\n {0}",""
"CouldNotRecoverBackup","Ошибка восстановления из резервной копии. Проверьте права доступа и место на диске в каталоге: {0}\nЧтобы вручную восстановить резервную копию, измените окончание файлов с расширением \'{1}\' на \'.sav\'. Если файл с таким именем уже существует, переместите или переименуйте его. После этого удалите файл \'{2}.sav\' из того же каталога.",""
"SaveGameErrorTitle","Ошибка сохранения.\nКод: {0}",""
"CorruptedRecoveryInstructions","Чтобы восстановить сохранённую игру, проверьте права доступа и место на диске в каталоге: {0}\n\n Для ручного восстановления сначала переместите все файлы с расширением \'{1}\' в другой каталог, затем удалите файл \'{2}.sav\' в том же каталоге.\n\nЕсли после этого ваша сохранённая игра не загружается или в ней отсутствуют данные, попробуйте вручную восстановить резервную копию.\n\nЧтобы восстановить резервную копию, измените окончание файлов с расширением \'{1}\' (которые вы переместили на первом шаге) на \'.sav\'. Затем переместите их обратно в каталог с сохранённой игрой. Если файл с таким именем уже существует, переместите или переименуйте его.",""
